pair	inflected_pair	Source Language
address question	address questions	I should now like to address some of the questions and comments made this afternoon more specifically .
address question	address question	I just want to address the question of why we on this side have chosen to propose a motion of rejection .
address question	address question	This piece of paper includes provision to make buses more accessible for disabled users , but it does not address the whole question of operating regulations for public transport systems across the European Union .
pose question	posed question	Mr Paasilinna , in his written contribution , posed the question who will regulate the regulator and I think that the role of the Commission is absolutely crucial in this .
pose question	posing question	Mr Clegg spent an enormous amount of time just last year on the local loop unbundling rules and I am posing a separate question to you , Commissioner , to ask if you will give an indication of where already we are seeing resistance at Member State level to implementing local loop unbundling .
address question	address question	Equatorial Guinea is notorious in relation to that and you did not address the question .
address question	addressing question	It seems extraordinary that this Parliament , which represents the people of Europe , is not addressing this question this week , given the deepening of the crisis since the Commission last spoke .
make remark	made remarks	I agree with the remarks to that effect made by several Members and I would like to thank in particular Mrs Langenhagen for her kind words of appreciation .
address problem	addressed problem	The scandalous exploitation of young African footballers is a problem which I would ask you to look at again , because it does not seem to me to be addressed by the ban on inter-club transfers .
address problem	address problem	I recognise that this was a difficult compromise which does address the problem - the potentially disastrous consequences of absolute freedom of movement - while at the same time recognising the need to respect the new law .
invest money	invest money	Clubs in my region are concerned that the money they invest in buying players will not give them a return on their investment and , as Mr Cushnahan said , they will not be interested in running football academies and in investing in the local community if they can not see a return on their investment .
address problem	addressed problem	Mrs Müller has addressed this problem .
make remark	made remarks	Some remarks were made earlier this evening to the effect that client identification might be unduly cumbersome and bureaucratic .
address question	addressed question	The second question is really more broadly addressed to Parliament : are we going to set up a permanent standing liaison committee of MEPs involved with development and cooperation to report to the General Assembly of the United Nations each year on our joint cooperation ?
address question	address questions	I would like to address the three key questions that I tried to answer in my report : Why is this so important ?
make remark	make remarks	I should like to make a few technical remarks about the report .
address question	address question	This is the first time that a broad-based international forum , like the OIE , has decided to address this question .
address question	address question	Finally , I would like to address the question of the location of the Authority .
make remark	make remarks	I should now like to make two remarks to Mr García-Margallo y Marfil and Mrs Kauppi .
make remark	made remark	Mrs Kauppi made a remark about the costs of electronic signatures , in particular for small and medium-sized enterprises .
pose question	posed questions	I have a further question - in fact I agree with all the questions posed by the honourable Member from the PPE-DE .
address problem	addressed problems	I understand that the recent FMD crisis has prompted Parliament to raise some horizontal problems related to animal health , which certainly need to be addressed .
address problem	address problem	We have tried to address the growing problem of cyber squatting by asking the registry to run a mediation and arbitration service , either free or on a cost-recovery basis to deal with speculative and abusive registration of domain names .
address problem	address problems	More systematic use of country-strategy papers will help to ensure the cogent use of Community instruments to address both the root causes of conflict and other human rights problems .
make remark	made remarks	Mr President , ladies and gentlemen , I should like to start by thanking Mrs Jackson for the question she has raised and the remarks she has made concerning this very serious issue indeed about which we are all concerned .
address problem	addressing problem	There are great opportunities for , and advantages in , addressing this problem by using technology which is in the process of being developed or has been developed to change our practices and reduce global warming .
make remark	make remarks	I am grateful for your indulgence , President , but this seemed to me to be a sufficiently important subject on which to make those remarks .
make remark	make remark	Madam President , allow me , without mentioning this proposal - of which I am in favour - to make just one small remark : I am campaigning somewhat for the respect of the large groups .
address problem	addressed problems	My report is in effect a final report on the performance of the last government and an indicator as to the problems that need to be addressed by the new administration .
address problem	addressing problems	Secondly , in addition to the aforementioned thematic strategies , the Commission intends to propose legislative initiatives addressing specific problems such as batteries and packaging waste .
address problem	addressing problem	This is not to say that we have a powerful and guaranteed effective instrument but it does mean that everything is out in the open and that we are addressing this problem .
address question	address question	As far as technologies used in Europolis and Eurint systems are concerned , the Commission is not in a position to address the question of the honourable Member .
address problem	address problems	Against the background of the current debate on globalisation it sends another political signal that the international community is able to address global problems to the benefit of all countries .
address problem	addressed problem	It was not exactly a direct question on fisheries policy , but I am sure the President-in-Office of the Council is kind enough to take very good note and that this problem will also be addressed in Council .
address problem	address problem	Up to now , very little has really been done to address the problem of harassment generally , so this report is especially welcome as it allows an open debate on an issue that has all too often been ignored .
address problem	address problems	The problems of people wanting asylum , the situation and the plight of the people of poor and troubled countries all over the world are our concerns and they manifest themselves on our doorsteps , on our shores and in our parliaments if we do not address them .
address question	address questions	Let me address some of the questions that have been asked .
make remark	make remarks	If you had questions about your and my and other people 's colonial past , then that was the moment to ask them , to make your remarks and to formulate your criticisms .
address problem	addresses problem	"My Amendment No 1 addresses this problem and I have inserted the word "" review "" to replace the word "" reduce "" , in order to cooperate with colleagues concerned about this issue ."
make remark	make remarks	Let me also congratulate the Committee on Development and Cooperation and the rapporteur for a clear and generally balanced analysis of this whole matter , although I need to make some remarks .
make remark	make remarks	I have remarks to make concerning two chapters of the proposal - financial aid and trade .
address question	addressed question	"The question whether participation in decision-taking should aim at the public at large or the "" public concerned "" is a key point , and it has been addressed by a number of Members who have just spoken ."
pose question	pose question	I would like to pose one other question in relation to the Convention .
address problem	address problem	So we must learn to detect early signs of conflict and have the courage to address the problem before it reaches its boiling point .
address problem	addressed problem	The positive point about the proposal made by the Committee on Citizens ' Freedoms in Amendment No 33 is that it recognises that unsolicited commercial messages to mobile phones are a real problem which can only be addressed by a harmonised opt-in approach .
address problem	addressed problem	Clearly , the problem with fisheries agreements has to be addressed .
damage confidence	damaged confidence	While the European food chain remains one of the safest in the world , recent scandals have damaged our consumers ' confidence in the food we eat and the methods we use to produce it .
address question	addressing question	Mrs Paulsen is your rapporteur for that particular piece of legislation and I identify that legislation as also being important in addressing the question of animal health as an influencing factor on human health .
understand meaning	understand meaning	Surely you now understand fully the meaning of my question and will reply to it and ensure that these monies , which were illegally removed by dictators and terrorists , are returned to the people in the various former colonies ?
address problem	address problems	The Commission has taken due note of the proposal submitted by the International Committee of the Red Cross to address the problems caused by cluster bombs and other ' explosive remnants of war ' at the review conference of the UN Convention on the Prohibition or Restriction on the Use of Certain Conventional Weapons .
address problem	address problems	It is imperative that we also address the underlying problems within the countries from which these desperate people flee .
address problem	address problem	And so we have this draft directive to address the problem .
address problem	address problem	Similarly , with respect to public procurement , greening public procurement is vitally important but there are currently obstacles in achieving that which should have been acknowledged more explicitly in the Paper , along with strategies to address the problem .
address problem	addressing problems	In reducing the environmental impact of products throughout their life cycle , the objective of IPP is fundamental to addressing our environmental problems .
make remark	make remarks	Two questions have been put very clearly and I would like to answer them before I make my final remarks .
address question	addressed questions	However , the report also raises some serious questions that are to be addressed if we are to maintain the efforts to improve food safety .
address problem	address problem	It gives me the opportunity to address the wider problem : the threat of war again between India and Pakistan .
address question	address question	We must try to address that question , or at least get the Council to address it .
pose question	posed question	The question was then posed by Mrs Wemheuer .
invest money	investing money	That is particularly important in the context of insurance companies investing their pension funds money .
invest money	invest money	These provisions , as drafted , would make it almost impossible for an insurance company or bank to invest pension funds money in other financial institutions because of the harshness of the deductions .
address problem	addressing problem	As he so rightly highlighted , that is the bulk of the problem in terms of the surplus that this Parliament is addressing .
make remark	make remarks	I should like to make one final point and I am provoked - or encouraged - to do so by the interesting remarks made by Mr Brok .
address question	address question	There are real risks if we simply address this question from an economic point of view , regarding and valuing citizens simply for the contribution they can make to the economy or the workforce .
improve economy	improve economy	We must get the balance right : protect the natural beauty , heritage and environment that give an area its attraction , while at the same time make the most of natural assets to improve the local economy .
address problem	addressing problems	The Commission considers that these are important steps towards addressing the problems raised by the Korean practices , both in connection with the TBR case and temporary defence mechanism and , in the long-term , the OECD agreement .
address problem	address problem	The first point is the importance of this issue being treated on a bottom-up basis rather than a top-down basis , that it is up to Member States as close as possible to the problem to address the problem most successfully .
address problem	addressed problem	All foot-and-mouth-affected countries represent a potential risk to Member States and therefore the problem must be addressed in a general way .
make remark	made remarks	I would warn colleagues about some of the remarks that have been made about security of supply .
reduce economy	reduced economies	Not only that , but he has reduced what was once one of the strongest economies in Africa to the depths of despair .
address problem	addressed problem	Finally , if there is continuing concern on this issue , the famine problem can be addressed by adopting a sensitive approach to the planting issue and milling the seeds involved , thereby eliminating the risk that some of the governments identified as being of paramount concern .
make remark	made remarks	In conclusion , I want to thank the Commissioner for the remarks he made in the commercial communication , where he said Parliament comes to rescue the internal market .
make remark	made remarks	Commissioner Nielson was not here when I made my opening remarks but one of them concerned the Global Health Fund .
address problem	address problem	Thus , as always , the Commission is looking for a European problem that does not exist on a European level and then failing to address it .
make remark	made remarks	Since some of these remarks have been made in public , I would like to take this opportunity to briefly react .
make remark	make remarks	I would first like to comment on that and then make some concluding remarks about our discussion on Johannesburg .
improve economy	improving economy	Providing humanitarian assistance can only be a short-term approach - improving the economy must be our goal .
make remark	make remarks	I would like to make some general remarks and then touch on my report .
address problem	address problems	I hope that its successor will address some of these problems because this programme is important , especially for the candidate countries .
make remark	making remarks	My question to the Commission President is this : in making your remarks to Le Monde - and you have said that you stand by every word - was it your intention to launch a debate on how to reform the Stability and Growth Pact ?
damage confidence	damaged confidence	It is timely because confidence in the integrity of market participants has been seriously damaged over the last two years as a result of various cases of market abuse , chiefly in the United States .
make remark	make remarks	I will have to make further remarks on the resolution .
address question	addressed question	The question of European defence policy was also addressed by the European Council .
address question	addressed questions	The Hänsch working group and later the plenary Convention meeting noted that this raises horizontal questions in the area of comitology , such as the role of the European Parliament , which go beyond the terms of reference of the Hänsch working group and should therefore be addressed by other groups .
address problem	address problems	Mr President , I do not believe the Commission has done enough to address the problems in different Member States .
address problem	addressed problems	It is good that the Commission has addressed the socio-economic problems but the measures so far seem like prescribing a couple of aspirins to cure a severe case of pneumonia .
pose question	pose question	I will pose the question here that I posed in Committee : what value should we place upon whether a person in their 40s or 50s can actually hear and communicate with their infant grandchildren ?
address problem	address problem	Unless we address the very serious problem of the declining age profile in European agriculture , in the not too distant future Parliament will be sitting in an emergency session to address what has turned out to be a very serious problem .
invest money	investing money	As the Commissioner himself pointed out , investing money earlier is much more effective and more economical than spending money to pick up the pieces afterwards .
address problem	address problem	Would you not accept that we need an adequate response mechanism and that the only way to address the problem would be to establish an EU coastguard ?
invest money	invest money	The complexity of this operation was quite extraordinary , but given that caviar is currently fetching about a third of the price of gold , one can readily understand why people are prepared to invest the necessary time and money to achieve these results .
improve economy	improve economy	It can be complementary to the activities going on there and can help to improve the economy of the European Union at a time when unemployment is once again becoming a problem .
make remark	make remark	I would like to make one remark at the outset : I think it is fair to say that , on the whole , since the Second World War , we have managed to create global institutions and international agreements which have helped make the world a much more prosperous and peaceful place .
address problem	address problems	Plainly , if the international community is once again willing to help North Korea to address its enormous internal problems of shortages of energy , food and all other basic needs , this could also assist to get the country out of the crisis .
make remark	made remarks	Mr President , I would just like to clarify , in the light of the remarks I made earlier this morning , that the Commission can not agree to the EUR 351 million , given the realities of budget constraints as they are .
make remark	made remarks	Therefore , Mr President , could you contact the editors concerned in the Independent Newspaper Group and ask them to carry a correction of the remarks you made ?
address problem	address problems	This shows that we have to address these issues and problems more speedily when they arise and not let women suffer in the way they have in the past .
address question	address question	The whole question about the importance of services and opening up service markets is one we are about to address seriously within our own internal market .
address problem	address problem	On what other basis is it possible , indeed , to address the problem of weapons of mass destruction ?
make remark	make remark	I should like to make one final personal remark .
suggest idea	suggested idea	They suggested , in particular , the idea of a framework directive on unfair commercial practices .
make remark	made remarks	My honourable friend , Mr Evans , who alas is not able to be with us , claimed to detect a difference between the remarks I made last week on reconstruction and humanitarian assistance and what I said today .
address problem	addressed problems	The European Union must carry out its moral political duties in ensuring that the humanitarian problems of Iraq are addressed with vigour and determination .
address problem	addressed problem	We need exceptions and the problem of using nonylphenol ethoxylate as a co-formulant in pesticides is one that we addressed .
address question	address questions	I would just like very much to thank the Members of the House for the views they have expressed and very briefly to address two or three questions that were raised .
address question	addressed question	This question has already been addressed in the framework of research .
address problem	address problem	Two recent communications from the Commission , on rural development and on trade and development , provide a clear policy framework to address the problem of commodity dependence .
end investigation	end investigations	It is for Egypt to show us here in this House , that it takes the rights of their minorities seriously , to call for an end to discrimination against those minorities and to release from prison and end immediately the investigations and the arrests of gay men throughout Egypt which worry us here in this House .
address question	address questions	Finally , I would like to address some of the questions raised by a number of Members such as Mrs Corbey , who asked who is responsible for FMD vaccination .
address problem	addressed problem	This problem is being addressed .
make remark	made remarks	Mr President , I endorse the remarks that have just been made .
pose question	pose question	I pose the question , and not for the first time , what happens following decoupling if the projected price increase in the market place does not materialise ?
address question	address question	Further amendments address the question of Member States ' ability to take action , in relation to their own fleets , which exceeds the minimum required under EU regulation .
improve economy	improve economies	It is necessary for textile workers within the EU and those many in other parts of the world who seek to earn their living and improve their own economies and their own lives through the textiles industry .
address problem	address problem	Unless we can address the problem of contamination , that can not be guaranteed .
address problem	addresses problem	There is the ' Red Card to Child Labour ' action being taken by FIFA and the ILO to jointly combat child labour , a very good campaign that directly addresses exactly the problem we are talking about here .
address problem	address problem	Is DG SANCO taking any specific action to address this problem ?
address problem	address problem	As you know we are trying to work in international fora to address this problem .
address question	addressed question	This question should be addressed and I am happy that the President-in-Office agrees with me that this is an issue which the European Union should take up .
address question	addressed questions	One of the questions which has to be addressed is the relationship between the Ebro transfer and the Júcar-Vinalopó transfer .
address problem	addressed problems	I am convinced that the difficult political problems in Iraq can only be effectively addressed in Iraq under the auspices of the United Nations .
make remark	make remarks	Finally , I would make two remarks .
address problem	address problem	The documentation coming from these centres is the most necessary element in our attempt to address the problem we are up against and deal with the terrible regimes that carry out torture .
pose question	posed questions	Because of the excellent work of Mr Sterckx and by way of a compromise , we can now drop that demand in favour of a request to the Conference of Presidents for a temporary committee to carry on the work of Mr Sterckx and to find the answers to the questions that he and others have posed .
address question	address question	There is a need for us to address the question of funding of pensions .
make remark	make remarks	I should also like to make a few general remarks .
address problem	addressing problems	It is now a balanced compromise which allows a significant pre-trade transparency requirement to go ahead whilst at the same time addressing some of the practical problems with the original proposal - as Mr Bolkestein says , ' in a pragmatic way ' .
make remark	make remarks	Mr President , ladies and gentlemen , after congratulating the rapporteurs on their work , I believe that it is necessary to make some preliminary remarks .
pose question	pose question	The key question that the petitioners pose is this : does Lloyd 's have the reserves to cover their liabilities , as Directive 73/239/EEC requires ?
damage confidence	damage confidence	We should bear in mind that public information is important if we are going to have public confidence , and the blue flag has gained that confidence : we should be careful not to damage it .
invest money	investing money	Mr President , as several people have said , this year is of course the first time that we are working with a budget designed to be activity-based , the idea being that the budget should be far better at reflecting the political priorities and that it should also be easier to see where we are investing our money .
address problem	address problems	Last year Parliament voted to allocate resources to help address the continuing health problems in the Republic of Belarus as a direct result of the Chernobyl incident of April 1986 .
address problem	address problems	We need to address the problems in a country that is going to be on our borders in July next year .
address problem	address problem	But that is going to be the case if we do not realise what the problem is and how to address it .
reduce price	reduce prices	Add to this the fact that our Kyoto CO2 emissions are now at 1990 levels plus 22 % already 10 % over target for 2010 , and the fact that there will be little or no decrease in car prices even if there is a removal or reduction in VRT because car manufacturers have had to reduce their prices to offset our high tax regime - and they will revert their prices if the tax burden is lightened - and you have altogether a very complicated field of play .
address problem	addressed problem	Moreover , the problem of road accidents could be better addressed by other instruments such as speed cameras , fines , education , separate bicycle lanes and so on .
make remark	make remark	I wish to make a remark about the Commission reforms which , as you have said , Mr President , were the reason for the Commission coming into office .
address problem	address problem	In addition , we have set aside EUR 2 million -- on the horizontal demining budget line -- to help address the huge problem posed by land mines and unexploded ordnance in Iraq .
address problem	addressing problems	. -- The Commission considers that addressing developing countries ' debt problems is an important means of achieving the Community 's development cooperation policy objectives .
make remark	made remarks	Mr President , I am pleased that Mr Tannock has expressed his regret at the offence caused by the remarks he made last week at a meeting of the Committee on Foreign Affairs , Human Rights , Common Security and Defence Policy .
address problem	address problem	We all know that we are very good at talking about it and we are equally bad at doing anything material to address the problem .
make remark	made remarks	These are remarks he made on the BBC broadcasting in the United Kingdom .
pose question	poses questions	This proposal is not perfect : it poses many questions in regard to existing legislation and highlights areas where existing legislation is inadequate .
make remark	make remark	. -- I am sure Mr Busquin would be more able to reply in more detail , but I shall make a general remark on how the Community research budget functions .
address problem	address problem	Our Labour Government has failed to address the problem of the postcode lottery , which means that the levels of care and availability of drugs can vary from street to street .
reduce price	reduced prices	Through tiered pricing and the untying of aid we have managed to contribute to a process whereby prices on medicines have been reduced by up to 90 % .
make remark	made remarks	The President-in-Office made a few remarks about human rights , which I think are a very important part of our agenda .
address problem	addressed problem	There must be no cover-up and the problem must be addressed directly by this Parliament and the European Union .
make remark	made remarks	-- Mr President , we can fully endorse two remarks about the draft Constitution and the Intergovernmental Conference made by the President-in-Office of the Council .
address problem	addressed problems	This not only undermines the founding principles of NEPAD and the ACP-EU relationship , but also means that major problems burdening Africa -- external debt , AIDS , food security , conflict prevention , good governance and human rights -- can not be properly addressed .
address question	addressed question	The question of EU representation at the United Nations will certainly need to be addressed in the light of the final outcome of the negotiations on the Constitution , which will confer a legal personality on the European Union .
address question	address question	The High-Level Panel appointed by the Secretary-General will address this question , among others .
address problem	addressing problems	They are the important issues we should be addressing and our amendments try to focus on those issues , because we have to try to resolve the very clear problems that the Court of Justice has raised .
address question	addressed question	The question of extending its mandate subsequently should be addressed on the basis of experience .
address question	addressing question	In conclusion , I congratulate the rapporteur on his initiative in addressing this very timely and important question .
make remark	make remarks	It is perhaps in that context we have the opportunity to make one or two remarks , rather than the specific points contained in this relatively short report .
make remark	made remark	Mr President , quite right , I made a totally ridiculous remark and I would like to correct it immediately .
address problem	address problem	The link between human health and the quality of our environment is indeed a top priority and we need to understand this link better in order to assess the effectiveness of existing policies and ensure that we address the problem adequately .
address problem	address problems	We know that there are serious problems Romania has to address .
pose question	pose question	-- Mr President , I should like to pose a supplementary question to the minister .
address problem	address problems	There is a pressing need for action to address the various problems and challenges to peace and prosperity throughout the Middle East .
address question	address question	That is the key question that the Commissioner is seeking to address this week with colleagues .
address problem	addresses problem	In particular , I congratulate the Commission on the way it addresses the problem of waste .
suggest idea	suggested idea	We have suggested the idea of the first European university .
address problem	addressed problems	These problems are significant and typified by Eurostat and have failed to be addressed .
make remark	make remarks	Therefore , I have three remarks to make .
address problem	address problems	What we have achieved together is something rather remarkable : we have changed the political discourse in Europe , we have established a constitutional framework for a Europe that can stand on its own feet in world affairs and deliver effective common policy to address our shared problems .
make remark	made remarks	This is a view that has perhaps been endorsed by the remarks recently made by the Dutch Foreign Minister , suggesting that we need to engage in a process of self-reflection with a view to deciding whether some policy areas should not be transferred back from European to national level .
pose question	poses questions	Every attack poses new questions which require new answers and pose new challenges that we have to address jointly through concrete action .
address question	address question	It does not address the question of how the current situation in Iraq evolved over the last two years and therefore fails to criticise the Bush Administration 's defiance of the UN in its rush to invade Iraq .
make remark	make remarks	Could you answer that before I make my other remarks ?
address question	address questions	Madam President , let me briefly address three questions .
address problem	addressing problems	A good start has been made in addressing the structural problems facing Georgia , tackling for example endemic corruption , which has harmed every facet of life in Georgia .
make remark	made remark	I should like to ask the Commissioner if he could expand on the remark he made on the Council taking decisions regarding investment in state -- owned companies .
address problem	addressing problem	The Commission is carefully studying the types of information that should be provided in addressing this problem .
make remark	made remarks	. Mr President , I very much agree with all those who made critical remarks about the situation and expressed concern about developments .
make remark	make remarks	At this point I would like to make some more specific remarks on the draft report and on the motion for a resolution .
make remark	made remarks	I thank Members of Parliament for their contributions and I agree with most of the remarks that were made .
address problem	address problem	The Commission is endeavouring to address the problem through support for NGO projects in Eritrea in the areas of human and civil rights awareness , strengthening of civil society organisations and independent media .
address problem	addressing problems	The Turkish authorities are committed to adopting a law addressing these structural problems .
address problem	addressed problems	I should like to ask him , in relation to competitiveness and economic capacity -- aspects of the Lisbon Agenda -- if he would confirm that he shares my view that structural labour problems need to be addressed , especially when Europe is compared to the United States ?
make remark	made remark	A remark was made about the exaggerated figure .
address problem	address problem	The Royal Government of Cambodia has recently taken a number of positive initiatives to address the problem , including the signature of memoranda of understanding with Thailand on trafficking in women and children and on the management of migrant labour between the two countries , participation in the Coordinated Mekong Ministerial Initiative against Trafficking and the establishment of a Department of Anti-Human Trafficking in the Ministry of Interior in 2002 .
make remark	making remarks	I want to point out that President McAleese apologised fulsomely and without reservation within hours of making the remarks .
make remark	make remarks	At this point , however , and less diplomatically than the President of the Commission , I must also make some remarks about the World Social Forum , which proved to be something of a disappointment by comparison .
