pair	inflected_pair	Source Language
find way	found way	Any restriction of the present legislation needs to be duly justified and proportionate ; the least intrusive way has to be found to serve this goal .
find way	find ways	As I have said , we had to find ways not only to express tangibly the political will of all the institutions involved and the citizens , but also to do so in a legally sound way that would ensure that this will could face and withstand any challenges arising in the future .
find way	find way	We are just trying to find the best possible way to make it legally sound to be able to withstand any challenges before the court .
find way	find way	Anybody you speak to from the Palestinian area will tell you that it has always been the women and the children who have suffered most , but they have also been the most resilient in trying to find a way forward to challenge the failure to negotiate , the failure to respect and the failure to find a solution ; indeed , the failure of both Israel and Palestine to live up to their commitments , to agreements that they voluntarily signed up to , the failure of the United States of America and the European Union to live up to their commitments with regard to clear and open negotiations , the failure of other states bordering Israel and Palestine to take a more proactive and positive role with regard to , ultimately , achieving a two-state solution , which must be based on viability and equality .
find way	finds way	I sincerely hope that the Commission finds another way forward to test the safety culture .
find way	find way	I hope that the Commissioner will find a way - because she is a very practical , competent and capable person - of ensuring that the rules will be applied properly .
find way	found way	Please ensure in the fifth framework programme that a way is found to help research into diabetes .
find way	find way	Among other things , we wanted to find a way to enable women to have the number of children that women said they wanted .
find way	find ways	We will have to find many different ways - perhaps unexpected ways - of solving the logistical problems of getting assistance to the people who need it , but it is difficult to promise specific action on this one .
find way	finding way	When the EU is once again in deadlock , we need to concentrate all our attention on finding a way to save the Treaty of Lisbon .
find way	find ways	Could I ask whether the Commissioner would meet with Ms Morgan and myself specifically to try to find practical ways forward here .
find way	find way	Let us never lose sight of our common goal , and let us work together with the Arctic states and the international community to find the best and most effective way of preserving and protecting the Arctic for future generations .
find way	find way	We should find a way for negotiations to be very fair to everyone and not at the expense of the European agriculture sector .
find way	finds way	Between 20 % and 40 % of global industrial wood production is estimated to come from illegal sources , and up to 20 % of that finds its way into the EU .
find way	find way	Drugs grown and produced in Afghanistan find their way to the streets of Europe .
find way	find way	The Commission is open to discuss with Parliament in order to find a way forward that addresses Parliament 's concerns .
find way	find way	However , an incentive to find a way out of this vicious circle would be if we had open reflection without taboos and where we could analyse not only spending , but also the revenue side of the European budget .
find way	find ways	In the Commission , we are trying to find legal ways that respect the treaties to solve this problem , to protect data , and to try and enhance the Community pillar of this situation .
find way	find way	They contribute enormously to society and society must find a way to pay them back .
find way	find way	So that is why we have to find the right way to make them move .
find way	find ways	The experience we gain from these initiatives will allow us to find even better and more efficient ways to collaborate at a European level , making full use of both national and Community research programmes .
find way	find way	While we are trying to find our way out of the crisis , we encourage creation of work , including that of independent workers .
find way	found way	One way of doing that has just been found , and that is to foster the participation of the citizens themselves in the democratic life of the Union .
find way	find way	Hopefully we can find a way to do that .
find way	find way	We are trying to find a way to mobilise and activate the different levels through which we can achieve the most efficient actions and the best possible course of events .
find way	find way	Ultimately of course only the Greeks themselves can sort out the problems of the Greek public sector debt and we wish them well in their efforts to find their way out of the crisis .
find way	find ways	We also need to encourage innovation and research into alternative solutions and find ways around materials that European companies find too expensive .
find way	find way	We very much want to maintain close cooperation with the European Parliament as we pursue our common goals of gradually building up an EU Arctic policy and we must work together with the Arctic states and the international community to find the most effective way of preserving and protecting the Arctic for future generations .
find way	find ways	As it is doing in the cases of Libya and Côte d'Ivoire , the EU must continue to find creative ways within existing rules to make sure that human rights violators can never escape accountability .
find way	find ways	We believe we have to take practical steps : a comprehensive test ban treaty should come into force ; the fissile material cut-off ; support for peaceful uses of nuclear energy to find safe ways of making sure that we avoid proliferation - for example , the contributions we make to the nuclear fuel bank - and support for a very strong and effective IAEA .
find way	find ways	Adequate financing remains a very big problem , and we need to find innovative ways to finance the bottlenecks .
find way	find way	I can also say that the French and the Czech Presidencies made efforts that were crucial to find a way to meet the concerns of the Irish people .
find way	find way	It is a process that started in Laeken many years ago and has involved different democratic bodies and discussions over the years to try to find a common way of taking decisions in a more modern , more democratic and efficient way .
find way	found way	Its economy is in a serious situation and it is clear that a way out of this crisis must be found .
find way	found way	Their economies are in a serious situation , and it is clear that a way out from this crisis must be found .
find way	finding ways	So the future is precisely as your question suggests , finding new ways and new technologies , namely the development of cleaner cars .
find way	find way	What I want to do is draw those two things together , to find a way in which we can enhance what we do , to support the work that is going on , to make the Quartet more effective , to bring together what has been , in a sense , the Council and Commission operating side by side , and to meld it into one so that what we do on the ground really makes a difference .
find way	found ways	My argument is that if there is n't enough funding after inflation-only increases in Member State contributions , ways should be found to re-allocate budget lines to meet any shortfalls .
find way	find way	A practical example of cooperation between the Commission services is the ' Practical Guide to EU funding opportunities for research and innovation ' published in 2007 , which was conceived to help potential beneficiaries to find their way through the three funding Community instruments and provides policy makers with advice on coordinated access to those instruments .
find way	find way	But , even with all that cover , it can still find its way to the bottom of the pile and the leaflet that comes in the door is not put on display .
find way	found way	Until then , however , we have found a way which allows us to continue to enforce our own stricter requirements under the transitional period before we move , in line with other EU Member States , to the general regime .
find way	find way	We need to find a way to protect climate migrants , as they have to flee because we cause climate change .
find way	find way	I hope we will find a way to talk informally or in committee later on the proper formula .
find way	find way	So the issue is to find the right way of responding to two important needs : the need for freedom and respect of data protection , but also the need for security , because without security , there is no possibility of freedom .
find way	finding way	This work is crucial for the establishment of a future state of Palestine and crucial to finding a way to a two-state solution .
find way	find way	We should also find a way to control what we are importing from other countries outside the EU , especially in some northern European ports .
find way	find way	The question is , can the European Union find a flexible way , through a joint action , of responding in a coordinated manner to any future situations that might arise where persons are temporarily in need of international protection ?
find way	find way	Finally , Ms Sargentini , I really wanted to find an inventive way of saying that correlation tables were extremely important .
find way	find way	Will you find an appropriate way to report back to Parliament on the responses given .
find way	finding ways	I am confident that the Heads of State and Government and the parliamentarians here in the European Parliament will look at it in the spirit in which it is designed : yes , it is something a little different , but something which can provide an example of Europe taking a fresh direction and finding new ways to work together .
find way	find ways	Because of reform of the EU financial systems and reductions in structural funding and cohesion funding to certain countries under the Agenda 2000 reform package , it is essential that we find new ways of financing these very essential projects .
find way	find way	What assurances can the Council therefore give us that any produce that is sent from the European Union to Russia will in fact find its way to the actual people who need help ?
find way	find ways	In addition , Israel must find more effective ways of reconciling its legitimate security concerns with the urgent need for genuine Palestinian development .
find way	find way	We strongly condemn it -- there is never any excuse for terrorism ; but at the same time we ask Turkey to try to find peaceful interlocutors , try to find a political way and invest in the social and economic development of the south-east .
find way	find way	We need to find a pragmatic way of moving forward to ensure that we get clarity and an assertion of the principle you have outlined here today : that when it comes to a conflict between the right of the citizen to public services and the market , that is set down in legislation .
find way	find way	We have to participate in those as fully as we are able and with all the contacts that we have in order to find a way forward , so that we can get on with distributing the tsunami aid properly and look to a peaceful future for all .
find way	find way	The European Union now has to find its own way forward .
find way	finding way	Yet even injured and diseased animals which die on the farm are finding their way into rendering plants and the tallow from these animals is finding its way into the pharmaceutical industry , into the cosmetic industry and therefore into the food chain .
find way	finding ways	However , we need to play our part in finding ways to create fresh enthusiasm and acceptance for the roadmap as the way forward and , in this regard , the difficult task of engaging with Syria will be necessary .
find way	find way	We regret that the Framework Directive for Services of General Interest did not gain majority support : we do need to find a way to differentiate core essential services provided for the public good from the services we choose as individuals .
find way	find way	Therefore it is up to the parties involved to decide whether to keep this issue within the framework of the comprehensive settlement or to discuss it separately or to find a way to include it in both concepts .
find way	find ways	Of course , it remains open to groups of MEPs to find other ways of working , this already happens and I would expect that process to continue and expand .
find way	find way	One hopes that eventually this poor developing country will gradually begin to find a decisive way to much-needed peace and prosperity , for the benefit of all its citizens .
find way	find way	If we could find some way not only of having a measure to take against former Commissioners who act in this way , but also against the companies who benefit from their knowledge , then I think that we might have two very powerful levers to use in future transgressions .
find way	find way	I know that coming up with a solution to this problem and implementing it is not at all easy , but somehow we must find a way whereby Member States can have the last word , after being fully informed , in clearly reasoned decisions to accept or not the transportation of nuclear material -- or any other hazardous material for that matter -- through their territory .
find way	find way	The best thing that we can do today in the European Parliament is to encourage Prime Minister Zapatero in his efforts to bring together what were previously irreconcilable peoples to find a common way forward in the Basque region .
find way	find way	In my view , Parliament 's contribution might have been to try to help find a way of combining protection of workers with a flexibility that enables Europe to retain its competitiveness .
find way	finding ways	Fighting them means finding creative ways to bridge the gap between security sector reform and development assistance .
find way	finding ways	My fear is that the Socialist-dominated governments of Europe are hell-bent on harmonising taxes , on raising tax levels and finding new ways of penalising industry and entrepreneurship .
find way	find way	However , we must find a way around the problems .
find way	find way	I would appeal to the Commission to soften the severity of these proposals and find a better way .
find way	found way	It is precisely because I agree that I believe this Parliament should use this occasion to signal to the Court of Auditors its intense disquiet at the fact that a document of substance of the sort prepared by the Court should , whether correct or incorrect in terms of its content , have found its way into Der Spiegel of 8 November .
find way	find way	We must find some way of having a dialogue between the institutions over the next 12 months to make sure that these reforms take place and that we have the right kind of criteria for making sure that we are getting value for money from the staff .
find way	find way	As a lawyer in private practice in the UK , I myself , have often wrestled with a pile of books to find the right rules and the right way to go forward for my clients in these circumstances .
find way	find way	I can envision with some confidence that key amendments regarding , in particular , references to the core values of the Community - democracy , the rule of law , respect for human rights ; the protection of the Community 's interests ; reinforced evaluation and reporting provisions for the specification of an indicative financial envelope for the period 2007-13 ; or the inclusion of the review clause - will find their way into the final text .
find way	find way	If I were to arrange a round table with the industry - with dealers and manufacturers - would you be willing to come along to it and discuss with them how we can find a way through the problem while , at the same time , resorting to competition instruments if we have to ?
find way	find way	Ultimately we will have to do that and get the institutional balance right and find a way forward .
find way	find way	It is now up to the oil industry and to the governments in the countries which have no contingency plan to find some way out to offer people who own these cars , either through the marketing of lead additives or through the marketing of re-formulated petrol .
find way	find way	The body will have to find a way to attain a politically significant text compatible with insertion into the Treaty .
find way	find way	I know that is covered by the Committee on Civil Liberties , Justice and Home Affairs , but we must find a way of bringing together what we are doing in the Committee on Civil Liberties and the Subcommittee on Human Rights .
find way	find way	Of course , it is a long way ahead , so we need to find a quicker way of ensuring that the directive is implemented .
find way	find way	I hope that we will soon be able to draw conclusions from that and find the best way forward in preventing such incidents in the future .
find way	found ways	We particularly welcome the Council 's invitation to the Commission to make proposals as to how new and creative ways can be found to support the fresh opportunities which the peace agreement will bring .
find way	find way	I know that the European Parliament shares the commitment of the European Commission to give full support to the work of the German Presidency to find the right way forward .
find way	find ways	The Commission can take note of this and find other ways to give short-term humanitarian aid to both these countries .
find way	finding way	At the moment , because of the bureaucracy and the procedures for application in some countries , the money is finding its way disproportionately into middle class and wealthy areas .
find way	finding way	The first , to which the Commissioner has referred , is the way in which we have moved from a process of confrontation in the budgetary procedure to one more like codecision , as if , by magic , we are finding a way of blurring the distinction between obligatory and non-obligatory expenditure without having to go through a treaty revision to do so .
float idea	floated ideas	They are close to my heart too , so I can understand why other ideas have been floated to give form to these principles through other possible mechanisms .
float idea	floated idea	The Commission has floated this idea of a high-level trade and environment meeting in Geneva in the autumn bringing together top-level policy-makers to push forward the debate on how to strengthen the CTE 's work .
float idea	floats idea	The resolution floats the idea of a solidarity contribution on air tickets , but that should not be the only avenue , and like Mrs Kinnock I should like to suggest other possibilities .
float idea	float idea	But , frankly , I find it extraordinary that Mr Solana and Mr Blair and several others can float the idea of creating an executive committee formed out of the Council presidency without referring to the role of the European Commission .
float idea	floated idea	The idea of a special Lebanon Summit within the Arab League framework has recently been floated .
float idea	floated idea	The first is the creation of a European Monetary Fund , which is absolutely necessary and was an idea also floated by Mr Schäuble , the German Minister for Finance .
float idea	floated idea	In this question we have also floated the idea of establishing a reserve compensation fund , but this must not be seen as a demand on our part or by the Commission .
float idea	floating idea	I am just floating the idea .
float idea	floated ideas	Many ideas have been floated on a comprehensive approach to peace in the Middle East .
float idea	floated ideas	I noted with interest the ideas being floated on the possibility of supplying fishing vessels from the Commission , that is to say , European Union fleets to the fishing communities in the affected countries .
flood market	flood market	Equally , in relation to sheepmeat , important to European , and particularly Irish , farmers - badly managed arrangements with New Zealand mean there are no controls to prevent a deliberate New Zealand policy to flood the EU market at peak production periods .
flood market	floods market	But in micro-economic terms at the level of the salmon industry consider the implications of Norway , a state outside the Union which produces a massive surplus for export - and has the potential to produce much more in the immediate future - and floods our market to such an extent that the anti-dumping case when it is examined will hold .
flood market	flooded market	It is a sensible solution allowing Member States to monitor and control the market and make sure it is not flooded .
flood market	flood market	It is paramount that these directories are given prominence in the UK market and are not expunged by allowing EU companies to flood the British market under the aegis of EU trade legislation .
follow activity	follow activities	This development should continue , and I know the Commission will continue to follow closely the Ombudsman 's activities and welcome his proposals .
frame debate	frame debate	Most importantly , we will have to further frame the international debate after 2012 .
fuel debate	fuel debate	Mr President , yes , I am indeed glad that the Commissioner has understood that we are calling for the drawing up of a Green Paper without delay in order to fuel a more in-depth debate on the Commission 's proposals .
grasp concept	grasp concept	Still unable to grasp the concept of the single market , such national authorities should be put to the test of Commissioner Monti 's single market scoreboard .
grasp point	grasp point	The Chinese seem unable to grasp the essential point , pointed out by Mr Watts and others , that it is not simply a money-making city ; its economic welfare depends on the wellbeing of its citizens , and that point has yet to be grasped .
grasp situation	grasp situation	We need a few days to grasp and to assess the situation in the Constitutional Court .
juggle life	juggling life	We can legislate against discrimination in the workplace , but we can not legislate against the pressures of juggling work , family life and managing a home .
kill process	kill process	I definitely do not want to lower expectations but I would be very careful not to raise expectations so high so that those who do not want the international negotiations to succeed could kill the process after Mexico if we do not achieve anything .
kill proposal	kill proposal	I think we should not kill the proposal , but it is obvious that there is no consensus at this stage .
leak report	leaked report	I would also like to take the opportunity to refute the untrue allegation made by the Pakistan ambassador in Washington that the EU/EOM leaked an interim briefing report .
mount campaign	mount campaign	It is equally clear that Europe does not have the resources for a European defence identity : we can not mount a campaign without American and NATO support .
mount exhibition	mounting exhibition	May I thank the Commission for that programme and Mrs Perez Latorre in particular for her help in mounting the exhibition .
mount exhibition	mount exhibition	It is normal practice , as Members of this House will recognize , for Council presidencies to mount an exhibition of a cultural , social or historical nature in the conference part of the Justus Lipsius building .
pour money	pour money	The UK will continue to pour increasing amounts of money into Brussels , yet the one area where some of that money is recouped - albeit very little - is the area the Commission are looking to axe .
pour money	pouring money	No nation should be pouring taxpayers ' money into a corrupt system .
pour money	pour money	I want the Commissioner to ensure that whatever is brought in is unified throughout the European Union and is financed in a unified way so that no one Member State can pour in more money than another to support their particular industry .
push drug	pushing drugs	Where the Pirker text puts the case for enforcement penalties for trafficking , pushing and consumption of synthetic drugs , the Greens seek to delete the reference to consumption .
shake confidence	shake confidence	It would encourage extremist forces and shake business confidence , and nothing would be achieved that can not be achieved by other means .
shake confidence	shaken confidence	The tragic events that took place in New York , Washington and Pennsylvania on 11 September have undoubtedly further shaken economic confidence .
shake confidence	shaken confidence	I can well understand why consumer confidence should be shaken at this moment .
shape outcome	shape outcome	I visited every capital , as the President kindly recalled , and everyone was listened to and helped to shape the outcome .
shape strategy	shaping strategy	We need the Member States ; we need the European institutions ; we need stakeholders and society at large ; and we need specifically the active involvement and support of this Parliament , the European Parliament , for shaping this strategy and for communicating it to the people .
suck worker	suck workers	We are therefore trying to suck in the health workers from other countries in order to deal with our own problems .
tackle challenge	tackled challenges	I am confident that the new Northern Dimension policy , with its future shared ownership by the European Union , Russia , Norway and Iceland , will substantially benefit the Baltic Sea region because none of the challenges faced by the Baltic Sea can be tackled without genuine Russian involvement , just as none of the challenges faced by the Barents Sea can be dealt with without Russia and Norway .
tackle challenge	tackle challenges	I would just like to add that , on a personal level , this debate has reinforced my long-standing conviction that , to tackle global challenges , such as hunger in the world , volatility of food and raw material prices , turbulence on the financial markets , regulation of financial products and services , there is a need for much more global governance and more global rule-making .
tackle challenge	tackling challenges	I am convinced that if we set up this new comprehensive and holistic strategy , continuing the political , diplomatic and operational development strands of our engagement in the Sahel , we will give a new impetus to tackling the multiple threats and challenges that this region faces .
tackle challenge	tackling challenges	A gender-equal labour market is a precondition for boosting jobs and for tackling the demographic challenges .
tackle challenge	tackle challenges	Only together , in a more effective way , can the European Union tackle the challenges of the globalised world .
tackle challenge	tackle challenges	This is a positive development because we need to work jointly with Libya to tackle all the challenges that it faces in relation to migration .
tackle challenge	tackling challenges	The EU and the US are the world 's most integrated economies ; we are each other 's largest trade and investment partners ; we share common values and responsibilities for tackling global challenges on a variety of issues , be it innovation or environmental challenges , energy security or access to raw materials .
tackle challenge	tackle challenges	In the age of globalisation , even the biggest Member States do not have the means to tackle those challenges .
tackle challenge	tackles challenges	However , I am confident that the regulation that we present today tackles many of the challenges that we could imagine during the preparation of the regulation .
tackle challenge	tackling challenges	The Presidency needed the help of the European Parliament in tackling the challenges we were facing .
tackle challenge	tackling challenges	We intend to be ambitious and comprehensive in tackling all challenges .
tackle challenge	tackle challenges	The sports movement is looking for assistance from the European institutions to tackle the challenges posed by agents .
tackle challenge	tackling challenges	The analysis of the answers we receive will guide us in developing strategies at EU level to support the Member States in tackling these challenges .
tackle challenge	tackling challenge	The Commission has presented its view on the cause of the recent rise in food prices in the recent communication ' Tackling the challenge of rising food prices : directions for EU action ' .
tackle challenge	tackled challenges	Croatia has come a long way over recent years but important challenges still remain to be tackled .
tackle challenge	tackle challenges	The green paper on the TEN-T policy review addresses these challenges and proposes measures to tackle them at both the network planning and the project implementation stages .
tackle challenge	tackling challenges	I hope that I do not have to say any further farewells as regards Turkey in this Chamber and that we can move on and start tackling the major economic and other challenges of the European Union .
tackle challenge	tackle challenges	Aware of these challenges , the European Commission has a development policy geared to fight poverty , promote sustainable development and tackle political challenges in order to help foster stability .
tackle challenge	tackle challenges	I fully agree with you , and I am sure that , with your support and with that of the governments of the Member States , the new Commission will be able to tackle the challenges ahead .
tackle challenge	tackling challenges	I also feel , Mr President , a very strong sensation in this House that Europe should move on to be a stronger , bigger player in the world and to show resolve when it comes to the economy , the fight against unemployment , tackling the challenges of globalisation and the climate issue .
tackle challenge	tackle challenges	Investment in education , research and innovation has the potential to create more wealth and jobs than it costs , and investment in innovation will help us tackle the great challenges that society faces .
tackle challenge	tackle challenge	Then let us tackle the challenge of external representation which will be another major step forward once agreed and implemented .
tackle concern	tackle concerns	I am sure that my colleagues , Mrs Malmström and Mrs Reding , will pay attention to how to tackle all these concerns , which have been raised both in this debate and in the structural dialogue they had with their respective committees .
tackle concern	tackle concerns	The Commission can not accept this amendment , since it would reduce the flexibility needed by several Member States to tackle other pressing environmental concerns .
tackle concern	tackle concerns	In order to tackle some of the concerns expressed by the European Parliament and the Member States - for instance , concerning security - several amendments have been made to the initial text .
tackle crisis	tackle crisis	Indeed , the international community should show commitment exceeding that shown to tackle the financial crisis .
tackle crisis	tackling crisis	Finally , we must continue to keep the focus on tackling the economic crisis .
tackle crisis	tackle crisis	The renewable energy resources that these countries have at their disposal are essential for their economic and social development , and allow them to move towards a state of energy independence , thus helping to tackle the global crisis .
tackle crisis	tackle crisis	Do we need more regulation to tackle the financial crisis ?
tackle crisis	tackle crises	Key priorities , such as transparency and consumer protection , will be pursued , while a bank crisis framework will aim to prevent and tackle future crises .
tackle crisis	tackling crisis	Poverty reduction , the fight against climate change and tackling the financial crisis require additional revenue of several hundred billion euro .
tackle crisis	tackle crisis	The President of the European Commission has dramatically announced that democracy could disappear in Greece , Spain and Portugal unless urgent action is taken to tackle the debt crisis .
tackle crisis	tackle crisis	These proposals from representatives of the fisheries sector have been on the table for a long time and were designed to tackle the current economic and social crisis , which has been exacerbated by the steep rise in fuel costs .
tackle inequality	tackle inequalities	It means partnership at all levels to tackle the greatest public needs and health inequalities most effectively , not least in the current process of enlargement of the Union , where a much-needed further Commission text is imminent .
