pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
address question	125	address question,address question,address question,addressed questions,address question,addressed questions,addressed question,addresses question,address question,addressed question,address question,addressed question,address questions,address question,address question,address question,addressing question,address questions,address question,address question,addressed question,address question,address questions,addressed question,addressed question,addressing question,addressed questions,address question,address question,addressed questions,address question,address questions,addressed question,address questions,address question,addressed question,addressed questions,address question,addressed question,address question,addressing question,addressed questions,address question,address question,address questions,address question,address questions,address question,address question,address question,address question,address questions,address question,address questions,address question,address question,address questions,addressed questions,address question,address question,addressed question,addressing questions,address question,address questions,address question,addressed question,addressed questions,addressed question,address question,address question,address questions,addresses question,address questions,addressed question,address questions,addressed question,address question,addressed question,address question,address question,address question,addressed question,addressed question,address questions,address question,address question,address question,address question,addressed question,address question,address questions,address question,addressed question,addressed questions,address question,addresses question,addressing question,address question,address questions,addressed question,address question,address question,address question,address question,address question,addressed questions,address question,addressed questions,addressed question,addresses question,address question,addressed question,address question,addressed question,address questions,address question,address question,address question,address questions,address question,address question,address question,address questions,addressing question,addressed questions	7	address address question question,question address,question address,questions have to be addressed,address question,questions addressed addressed,has been addressed addressed question,addresses question addresses,address address question address,addressed addressed addressed,address question address,question be addressed addressed addressed,address questions address,address question question address,address question,did address question address,addressing question,address questions address,address address question,address question address,is addressed addressed addressed question addressed,address question,address questions questions,has been addressed question addressed,has addressed question,addressing addressing addressing question,be addressed questions addressed addressed addressed addressed,address question address address,address question,questions be addressed,address address question address,address questions address,question has been addressed,address questions address address address,address question,question be addressed,questions be addressed addressed,address question address address,question be addressed,will address address question address,addressing question question addressing addressing,questions addressed addressed,question address,address question address address,questions address,question address address address,address questions address,address question address address,address question,address address address question question,address question,address questions,address address address question question,address questions,address question,address address question address,address questions address address address,questions having posed,address questions,address question,question be addressed addressed addressed,addressing addressing questions,address address question address,address questions,address address question,question be addressed addressed addressed,questions are addressed,have addressed question,will address address question address,address question,will address address questions address,question addresses,address address questions,is addressed addressed addressed question addressed,will address questions,addressed question,address address question,question will be addressed,question question question question address address address,address address address address question,address question question,question has addressed,has addressed addressed question question addressed,address questions,address address question question address,address question question address,address address address question question,address question,addressed addressed question question,question question address,questions address,address address question,question was addressed addressed addressed,have been addressed addressed addressed questions,will address question,addresses addresses question,addressing question question,question question question address,address questions,addressed question,address question,address question,address address address question question,question address,address address question question,be questions addressed,address address address question,be questions addressed,has been addressed addressed question,addresses addresses question question,address address question address,addressed addressed question,address address question,be question addressed addressed addressed,address address questions,address address question question,address question,address address question,address questions questions,address address question question,address address question,address question,address questions address,addressing addressing addressing question,be addressed addressed addressed addressed questions	64	mit auseinandersetzen der Frage,frage ansprechen,Frage zuwenden,Fragen werden werden werden behandelt,beschäftigen Frage,Fragen zu gehören,ist ist eingegangen auf Frage,auf Frage eingeht,uns mit Frage befassen,auf Frage einging,auf NULL einzugehen,Frage wird in Betracht gezogen,auf Fragen eingehen,mich der Frage zuwenden,behandelt Frage,NULL auf Frage eingegangen,erörtern Frage,mich fragen zuwenden,sich widmen Frage,zur Frage kommen,NULL auf die sich Frage bezog,beantworten Frage,auf Fragen eingehen,sind sind auf Frage eingegangen,hat beantwortet Anfrage,im Hinblick auf NULL,NULL für Probleme wir eine Lösung finden,mit Frage auseinander setzen,sehen Problem,Fragen werden behandelt,uns mit Frage beschäftigen,auf Fragen eingehen,Frage wurde wurde berücksichtigt,auf Fragen zu sprechen kommen,betreffen Frage,Frage werden angesprochen,Fragen NULL zu klärenden,mit Frage auseinander setzen,Frage werden behandelt,wird sich mit Frage befassen,sich dieser Frage gewidmet hat,Anfragen eingereicht wurden,Frage erörtern,auf Frage wird eingegangen,Fragen aufgreifen,Frage ins Spiel bringen,uns Fragen widmen,auf Problem verwendet werden,behandeln Frage,befasst sich mit der Frage,prüfen NULL,angehen Fragen,befassen uns mit der Frage,anzugehen Fragen,anzugehen Frage,sich mit Frage befassen,auf Fragen zu sprechen kommen,Frage habe gestellt,anzugehen Fragen,anzugehen Frage,Frage NULL einer Erörterung bedarf,komme zu Fragen,uns mit Frage befassen,angehen Fragen,auf einzugehen Anfrage,frage werden in Angriff genommen,Fragen werden behandelt,NULL NULL NULL,wird sich mit Frage beschäftigen,erörtere Frage,wird sich mit Fragen beschäftigen,Frage angeht,eingehen auf Fragen,NULL man sich mit Frage befasst,werde ansprechen Fragen,angeschnitten Frage,eingehen auf Frage,Frage wird wird angesprochen,Mir geht es um Frage,behandeln dieses Thema,Problem NULL behandelt,hat sich mit den Fragen befaßt,ansprechen Fragen,sich mit den Fragen befaßt,sich dieser Frage annehmen,geht ein auf die Frage,anzugehen Frage,wurde nachgegangen der Frage,der Frage nachzugehen,Fragen zusammenfassen,wird angesprochen Frage,Anfrage ist zur Sprache gekommen,hat hat sich befaßt mit Fragen,wird aufgreifen Frage,greift auf Problem,stellen Ihre Frage,mit diesem Problem auseinandersetzen,erörten Fragen,erwähnte Frage,klären Frage,Zur Frage,uns auseinandersetzen mit der Frage,frage ansprechen,uns zuwenden dieser Frage,werden Fragen behandelt,mich beschäftigen mit Frage,NULL Fragen gehören,ist ist eingegangen auf Frage,eingeht auf die Frage,uns mit Frage befassen,einging auf Frage,einzugehen auf NULL,wird Frage in Betracht gezogen,eingehen auf Fragen,mich zuwenden der Frage,behandelt Frage,eingehen auf Frage,zuwenden den fragen,sich widmen dieser Frage,komme zur Frage,beantworten Frage,auf Fragen eingehen,im Hinblick auf NULL,NULL eine Lösung finden für Probleme	105	sich mit Frage auseinandersetzen,sich mit Problem auseinandersetzen,Frage ansprechen,auf Frage zu sprechen kommen,sich Frage zuwenden,Frage behandeln,Thema behandeln,Problem behandeln,sich mit Frage befassen,Frage zusammenfassen,sich mit Frage beschäftigen,auf Frage eingehen,auf Anfrage eingehen,auf NULL eingehen,Frage erörtern,sich Frage widmen,zur Frage kommen,Anfrage zur Sprachen kommen,Frage berücksichtigen,Frage beantworten,Anfrage beantworten,für Problem Lösung finden,Frage angehen,sich Frage annehmen,Frage stellen,NULL NULL,Frage in Angriff nehmen,Problem sehen,Frage betreffen,auf Problem verwenden,zu Frage gehören,Frage in Betracht ziehen,sich auf Frage beziehen,NULL prüfen,im Hinblick auf NULL,Frage nachgehen,Frage aufgreifen,Problem aufgreifen,Frage klären,Jemandem geht es um Frage,Frage erwähnen,Frage Erörterung bedürfen,zu klärenden Frage,Frage anschneiden,Zur Frage	45	Literal,Literal,Literal,Literal,Figurative,Figurative,Literal,Literal,Literal,Literal,Literal,Literal,Figurative,-,Literal,Literal,Figurative,Figurative,Literal,Literal,Literal,Literal,Figurative,Literal,Literal,-,Figurative,Figurative,Literal,Figurative,Figurative,Figurative,Literal,-,-,Figurative,Figurative,Figurative,Literal,Literal,Literal,Literal,Literal,Figurative,-
address situation	9	address situation,addressing situation,address situation,address situation,addressing sitßuation,address situation,address situation,addresses situation,address situation	3	situation situation address address address,addressing situation situation,address address situation situation,address address,addressing addressing situation situation,situation situation address address address,address address address address situation,addresses situation addresses addresses,address situation situation	8	das Problem einer Lösung zuführen,Bewältigung der Probleme,Beschäftigung mit der Situation,Problem anpacken,Befassung mit der Situation,der Lage Herr zu werden,in den Griff bekommen situation,der Lage gerecht wird,Erörterung der Situation	9	Problem einer Lösung zuführen,Bewältigung Problem,Beschäftigung mit Situation,Problem anpacken,Befassung mit Situation,Situation in den Griff bekommen,Erörterung Situation,Lage Herr werden,Lage gerecht werden	9	Figurative,Literal,Literal,Figurative,Literal,Figurative,Literal,Figurative,Literal
address topic	2	address topics,address topic	2	topics address,address topic address address address	2	Themen anzusprechen,setzte Problematik auf die Tagesordnung	2	Thema ansprechen,Problematik auf die Tagesordnung setzen	2	Literal,Literal
affect decision	1	affected decision	1	affected decision decision	1	mir so gegangen	1	Jemandem mit etw. so gehen	1	Figurative
attract worker	3	attracted workers,attract workers,attract workers	2	workers be attracted,attract workers attract,workers attract	3	Arbeitnehmer werden gewonnen,auf Fachpersonal zurückgreifen,Fachkräfte anzuwerben	3	Arbeitnehmer gewinnen,auf Fachpersonal zurückgreifen,Fachkraft anwerben	3	Figurative,Figurative,Literal
cancel project	2	cancelled projects,cancel project	2	be projects cancelled,cancel project	2	werden Projekten gestrichen,stoppen Projekt	2	Projekt streichen,Projekt stoppen	2	Figurative,Literal
cause confusion	2	causes confusion,caused confusion	2	causes confusion,caused confusion confusion	2	schafft Verwirrung,riefe Verwirrung hervor	2	Verwirrung schaffen,Verwirrung hervorrufen	2	Literal,Figurative
cause death	2	cause death,caused death	2	cause cause death,death caused	2	führt zum Tod,Todesfälle verursachten	2	zu Tod führen,Todesfall verursachen	2	Literal,Literal
cause fear	1	causing fear	1	causing fear	1	ausgelöst Befürchtungen	1	Befürchtung auslösen	1	Literal
cause reaction	1	cause reaction	1	cause reaction	1	hervorrufen Reaktion	1	Reaktion hervorrufen	1	Figurative
cause violence	1	causing violence	1	causing violence	1	verursacht Gewalt	1	Gewalt verursachen	1	Literal
corrupt mind	1	corrupt minds	1	minds corrupt	1	Seelen verderben	1	Seele verderben	1	Figurative
damage confidence	9	damaged confidence,damaged confidence,damage confidence,damaged confidence,damage confidence,damaged confidence,damaged confidence,damage confidence,damage confidence	2	have damaged confidence,confidence confidence has been damaged damaged,confidence damage,confidence has been damaged,confidence damage,confidence be damaged damaged,confidence has been damaged damaged,will damage confidence confidence,damage confidence confidence	8	haben erschüttert Vertrauen,das Vertrauen hat hat Schaden genommen,Vertrauen beschädigen,vertrauen wurde wurde beschädigt,vertrauen erschüttert,Vertrauen wird Schaden nehmen,Vertrauen haben haben Schaden genommen,wird schaden dem Vertrauen,schaden dem Vertrauen	9	Vertrauen erschüttern,Vertrauen Schade nehmen,Vertrauen beschädigen,Vertrauen schaden	4	Figurative,Figurative,Literal,Literal
determine outcome	1	determine outcome	1	determine determine outcome	1	entscheiden über Anfechtung	1	über Anfechtung entscheiden	1	Literal
end agreement	2	end agreement,ending agreement	2	agreement end,ending ending agreement agreement	2	Vereinbarung kündigen,die Außerkraftsetzung eines abkommens	2	Vereinbarung kündigen,Außerkraftsetzung Abkommen	2	Literal,Literal
end contract	1	end contract	1	contract end end	1	Vertrag wurde aufgelöst	1	Vertrag auflösen	1	Figurative
end cycle	2	end cycle,ending cycle	2	end cycle,cycle cycle	2	durchbrechen Spirale,Kreislauf durchbrechen	2	Spirale durchbrechen,Kreislauf durchbrechen	2	Figurative,Figurative
end investigation	1	end investigations	1	end investigations	1	beenden Ermittlungen	1	Ermittlung beenden	1	Literal
finalise agreement	2	finalised agreement,finalised agreements	2	had agreement finalised,agreements finalised	2	ist Abkommen unterschriftsreif,abkommen abgeschlossen	2	Abkommen unterschriftsreif sein,Abkommen abschließen	2	Figurative,Literal
finalise deal	1	finalised deal	1	deal is finalised	1	Vereinbarung wurde abgeschlossen	1	Vereinbarung abschließen	1	Literal
finalise plan	1	finalised plan	1	was finalised plan	1	NULL vorgelegten plan	1	vorgelegten Plan	1	Literal
finalize deal	1	finalize deal	1	finalize deal deal finalize	1	zu einem Schlußergebnis gelangen	1	zu Schlußergebnis gelangen	1	Literal
forget problem	1	forget problems	1	forget problems	1	vergessen Probleme	1	Problem vergessen	1	Literal
get chance	2	get chance,get chance	1	get chance,chance chance chance	2	erhalten Möglichkeit,eine Möglichkeit haben	2	Möglichkeit erhalten,Möglichkeit haben	2	Figurative,Literal
get disease	2	gets disease,get diseases	2	gets disease,diseases get might	2	erkrankt erkrankt,Krankheiten bekommen kann	2	Krankheit bekommen,erkranken	2	Figurative,-
get idea	1	got ideas	1	got ideas	1	Ihre Konzepte	1	Konzept NULL	1	-
get information	6	get information,got information,get information,get information,get information,get information	2	get information get,have information got got,information get,get information,get information,information get	4	erfahren mehr über,NULL Einzelheiten liegen vor,informationen erhalte,ablesen Informationen,NULL Informationen,Informationen unzugänglich	6	Information erhalten,Information ablesen,Information NULL,Einzelheit vorlegen,erfahren mehr über,Information (un)zugänglich	6	Literal,Literal,-,Literal,-,Figurative
get message	1	got message	1	have got message	1	haben vernommen Botschaft	1	Botschaft vernehmen	1	Literal
get opportunity	3	got opportunity,get opportunity,getting opportunity	3	got opportunity,get opportunity,opportunity getting	3	erhielten Gelegenheit,erhalten Möglichkeit,Möglichkeit hatten	3	Gelegenheit erhalten,Möglichkeit erhalten,Möglichkeit haben	3	Figurative,Figurative,Literal
get problem	1	got problem	1	got got problem	1	steht vor Problem	1	Problem vorstehen	1	Figurative
get result	3	get results,getting result,get result	3	get get get results,getting getting result,get result	3	belohnt werden mit Ergebnissen,hat erzielt Ergebnis,erhalten Ergebnis	3	Mit Ergebnis belohnen,Ergebnis erziehlen,Ergebnis erhalten	3	Figurative,Literal,Figurative
improve economy	7	improve economy,improving economy,improve economy,improve economies,improve economies,improve economy,improve economies	3	improve improve improve economy,improving improving economy economy,improve economy,improve economies economies,improve economies,improve economy,economies improve improve	6	zum Wohle der Wirtschaft,die Stärkung der Wirtschaft,verbessern Wirtschaft,verbessern wirtschaftliche Lage,Wirtschaftsaufschwung Wirtschaftsaufschwung,verbessert Wirtschaft,Wirtschaften zu stärken	7	Wirtschaft verbessern,wirtschaftliche Lage verbessern,Wirtschaft stärken,Stärkung Wirtschaft,Wirtschaftsaufschwung NULL,zum Wohle der Wirtschaft	6	Literal,Literal,Figurative,Figurative,-,Figurative
improve service	3	improve services,improve services,improve services	1	improve services,improve services,improve services services	2	verbessern Leistungen,verbessern dienst,Verbesserung der Dienstleistungen	3	Leistung verbessern,Dienst verbessern,Verbesserung Dienstleistung	3	Literal,Literal,Literal
improve situation	17	improve situation,improve situation,improve situation,improving situation,improving situation,improve situation,improve situation,improved situation,improve situation,improving situation,improve situation,improve situation,improving situation,improve situation,improve situation,improved situation,improving situation	3	improve situation situation,improve improve improve situation,improve situation,improving situation situation,improving situation,improve situation,improve situation situation,situation has improved improved,improve situation situation,improving situation,improve improve improve situation,improve improve improve situation,improving situation,improve situation,situation will improve improve,situation had improved improved,improving situation situation	8	Verbesserung der situation,sich ändert an Situation,verbessern Lage,Verbesserung der Situation,verbessern Situation,verbessern Situation,Verbesserung des Umweltschutzes,Menschenrechtssituation hat sich verbessert,Verbesserung ihrer Situation,verbessert Situation,muss verbessert werden Sachlage,verbessert werden könnte Versorgungslage,verbessern situation,verbessert Lage,Lage wird sich verbessern,Situation hat sich verbessert,Verbesserung der Lage	16	Verbesserung Situation,Verbesserung Lage,Lage verbessern,Situation verbessern,Sachlage verbessern,sich an Situation ändern,Verbesserung Umweltschutz	7	Literal,Literal,Literal,Literal,Literal,Literal,Literal
improve system	9	improving system,improve system,improve system,improve systems,improve system,improved system,improve systems,improve systems,improved system	4	improving improving system system,improve system system,improve system,improve systems,improve system system,be system improved,improve systems systems,improve improve systems,system be improved	8	die Verbesserung des systems,verbessern das System,verbessern system,verbessern systeme,Verbesserung des Justizwesens,NULL System verbessern,Verbesserung der systeme,Verbesserung der Justizapparate,system werden verbessert	9	Verbesserung System,System verbessern,Verbesserung Justizwesen,Verbesserung Justizapparate	4	Literal,Literal,Literal,Literal
improve work	2	improve work,improve work	1	improve work work,improve work	2	Verbesserung unserer Arbeit,verbessern Arbeit	2	Verbesserung Arbeit,Arbeit verbessern	2	Literal,Literal
invest money	24	invested monies,invested money,invest money,invested money,investing money,invest money,investing money,invest money,invest money,invested money,investing money,invested money,invested money,investing money,invested money,investing money,invest money,invest money,invest money,invested money,invest money,investing money,invested money,invested money	4	invested monies,money being invested,money invest,money be invested,investing money,invest money,money money investing,invest money,money money,money be invested,money are investing,money be invested,have invested money,investing investing money money,money is invested,money investing,money invest invest,invest money money,invest money,have invested money,invest money,investing money,money is invested,money be invested	15	investierte Geld,Summe investierten investierten,Summen investieren,Summen werden investiert,investieren Geld,investieren Geld,finanzielle Unterstützung leisten,investieren Geld,investiertes Geld,Summe NULL Investition,Mittel werden eingesetzt,Geld werden investiert,haben investiert Summen,den Einsatz der Gelder,Investitionen NULL Investitionen,Gelder anzulegen,Geld in stecken,Investition dieses Geldes,investieren Geldes,haben investiert Geld,investieren Geld,investiert Geld,Gelder werden angelegt,Summe werden investiert	21	Geld investieren,Summe investieren,Investition Geld,finanzielle Unterstützung leisten,Summe Investition,Investition,Mittel einsetzen,Einsatz Geld,Geld anlegen,Geld in etw. stecken	10	Literal,Literal,Literal,Literal,Literal,-,Figurative,Literal,Literal,Figurative
make comment	33	make comments,made comments,making comments,make comments,make comments,make comments,make comments,make comments,made comment,made comments,make comment,make comment,made comments,made comments,made comments,made comments,make comment,make comments,made comment,make comments,make comment,make comment,make comments,make comments,make comment,make comments,make comments,made comment,made comments,made comments,make comments,made comments,make comment	5	make comments,made comments,comments making,make make make comments,comments make,make comments,make comments,comments make,was comment made,comments have made,make comment,comment comment make,comments made,has been comments made,have made comments,comments made,make comment,comments make comments,comment made,make make comments,make comment,make comment,make make comments,make make comments,make comment comment,make comments,make comments,made made comment,comments being made,comments have made,make make comments,comments made,make comment	18	NULL Bemerkungen,ihren Äußerungen,Kommentare NULL,eingegangen ist auf Bemerkungen,dazu äußern,machen Bemerkungen,ansprechen Punkte,Ausführungen NULL,NULL Bemerkung NULL,Bemerkungen NULL Bemerkungen,machen Bemerkung,die Frage stellen,Bemerkungen von,NULL NULL Aussagen gemachten,habe bemerkt etwas,Kommentare NULL,NULL Hinweis,etwas sagen zu,Bemerkungen NULL,eingehen auf Punkte,auf eingehen,nehmen Stellung,mit einbringen Gedanken,einzugehen auf Antrag,mich zu äußern,auf eingehen,NULL kommentieren,hat gemacht Bemerkung,Äußerungen NULL NULL,Ausführungen NULL meine,eingehen auf Bericht,Anmerkungen NULL,NULL Anmerkung	31	Bemerkung NULL,Kommentar NULL,Äußerung NULL,auf Bemerkung eingehen,äußern,Bermerkung machen,Punkt ansprechen,Ausführung NULL,Frage stellen,Aussage machen,bemerken,Hinweis NULL,zu etwas sagen,auf Punkt eingehen,auf NULL eingehen,Stellung nehmen,Gedanke einbringen,auf Antrag eingehen,sich zu etw. Äußern,kommentieren,auf Bericht eingehen,Anmerkung NULL	22	-,-,-,Figurative,-,Literal,Literal,-,Literal,Literal,-,-,-,Literal,-,Figurative,Literal,Figurative,Literal,-,Figurative,-
make connection	3	made connection,making connection,make connection	3	be made connection,connection making,make connection	3	ist bewiesen Zusammenhang,deutlich machen,herstellen Zusammenhang	3	Zusammenhang beweisen,Zusammenhang herstellen,deutlich machen	3	Literal,Literal,Literal
make excuse	1	make excuse	1	make excuse excuse	1	nehmen als Entschuldigung	1	als Entschuldigung nehmen	1	Figurative
make remark	138	make remarks,made remarks,make remarks,made remarks,make remarks,make remark,make remark,make remark,made remarks,made remarks,make remarks,make remarks,made remark,made remarks,make remarks,make remark,make remarks,make remarks,make remarks,make remark,make remarks,made remarks,made remarks,made remarks,made remarks,made remarks,make remarks,made remark,make remarks,making remarks,make remarks,make remark,made remarks,made remarks,make remark,made remarks,made remarks,make remarks,make remarks,make remarks,make remark,made remarks,made remarks,make remark,made remarks,made remarks,make remarks,made remark,make remarks,made remarks,make remarks,made remark,make remarks,made remarks,made remark,making remarks,make remarks,making remarks,made remarks,made remarks,made remarks,make remarks,made remarks,make remarks,makes remarks,made remarks,make remarks,made remarks,made remarks,made remarks,making remark,make remark,making remarks,make remark,make remarks,made remarks,made remarks,made remarks,make remarks,make remarks,make remarks,make remarks,make remarks,make remark,made remarks,made remarks,make remark,made remarks,made remarks,make remarks,make remarks,make remarks,made remarks,made remarks,make remarks,make remarks,make remarks,made remark,make remark,made remarks,make remarks,make remark,made remarks,made remarks,make remarks,make remarks,make remarks,make remarks,make remarks,make remarks,make remark,make remarks,made remarks,made remarks,made remark,made remarks,make remarks,make remarks,made remarks,made remarks,made remark,made remarks,made remarks,made remark,made remarks,making remarks,made remarks,make remarks,making remarks,make remark,make remarks,made remark,made remark,made remarks,make remark,make remarks,made remarks,make remark	7	make remarks,remarks has made,make remarks,remarks made,make remarks,make remark,remark make,make remark,remarks made,were made remarks,make remarks,make remarks,made made remark,remarks made,make remarks,make remark,make remarks,make remarks,remarks make,make remark,make remarks make,remarks made,have been made remarks,remarks made,made remarks,remarks have been made,make remarks make make,remark was made,make remarks,making remarks,make remarks,remark make,remarks remarks remarks remarks remarks made,remarks made,remark make,remarks remarks made made,remarks have been made,make remarks,make remarks,remarks make,make remark,remarks made,remarks made made,make remark,made made remarks,remarks made,remarks make,made remark made,remarks make,remarks made,remarks make,remark made,make remarks,remarks were made,remark was made,making remarks,make remarks,making making remarks,has made remarks,remarks have made,made made remarks,remarks make,remarks made,remarks make make,makes remarks,remarks made made,will make remarks,remarks remarks have made,remarks made made,remarks were made,remark making,did make remark,be making remarks,make remark,make remarks,remarks were made,remarks have been made,remarks were made,make remarks,make remarks,make remarks make,will make remarks,make remarks,make remark,remarks have been made,remarks have made,remark make,made remarks,remarks have been made,make remarks,make remarks,make remarks,remarks have been made,have made remarks,make remarks,make remarks,make remarks,made remark,remark make,remarks are made,remarks remarks,remark make,remarks have been made,made remarks made,make remarks,make remarks,remarks remarks,remarks remarks,make remarks,make remarks remarks,remark make,make remarks,remarks made,made made remarks,remark has made,have made remarks,make remarks,remarks make,made made made remarks,has made made made remarks,made remark,remarks has made,remarks have made,remark made made made,made made remarks,making remarks remarks,made made were remarks,make make,have been making making remarks remarks making,remark make make,make remarks,remark be made,remark having made,remarks are made,make remark,make make remarks remarks,made made remarks,remark make	50	NULL Anmerkungen,Ausführungen hat gemacht,eingehen auf,Bemerkungen NULL,anmerken NULL,machen Bemerkung,Erklärungen abzugeben,voranstellen Warnung,Ausführungen NULL,wurde hingewiesen darauf,machen Anmerkungen,NULL Bemerkungen,äußerte sich NULL,Bemerkungen NULL,NULL Bemerkungen,NULL Bemerkung,machen Anmerkungen,machen Bemerkungen,Bemerkungen NULL,NULL Bemerkung,zu Bemerkungen komme,Bemerkungen NULL,NULL NULL NULL Bemerkungen,Ausführungen NULL,NULL Bemerkungen,Äußerungen NULL NULL erfolgten,mit Anmerkungen auf eingehen,Anmerkung wurde gemacht,machen Anmerkungen,NULL Bemerkungen,machen Bemerkungen,eines anmerken,dessen was zu diesem Thema sagte,Bemerkungen gemachten,Anmerkung NULL,dem was gesagt habe,Äußerungen NULL NULL vorgebrachten,NULL Bemerkungen,treffen Feststellungen,Bemerkung vorausschicken,sagen etwas,Äußerungen NULL,Aussagen hat getroffen,eingehen darauf,hat erwähnt NULL,Bemerkungen gemacht,Dinge anzusprechen,habe etwas gesagt,Feststellungen treffen,Äußerungen NULL,Bemerkungen mache,Äußerung NULL,machen Anmerkungen,Äußerungen NULL NULL,Es wurde geäußert,NULL Äußerungen,machen Bemerkungen,äußerte sich NULL,hat gemacht Bemerkungen,Bemerkungen NULL geäußerten,hat gemacht Bemerkungen,Bemerkungen NULL,Bemerkungen dahingesagt,Worte an richten,wird dargelegt,Anmerkungen gemacht hat,werde machen Bemerkungen,das was habe gesagt,Äußerungen getätigt habe,Ausführungen NULL NULL,damit NULL,NULL machte Bemerkung,NULL eingehen auf,machen Anmerkung,machen Anmerkungen,Anmerkungen NULL NULL,Anmerkungen NULL NULL NULL,Äußerungen wurden gemacht,machen Bemerkungen,NULL Bemerkungen,zu Ihnen sprechen,werde machen Bemerkungen,machen Anmerkungen,mache Bemerkung,Bemerkungen NULL NULL NULL,Bemerkungen NULL NULL,etwas anmerken,sich äußerten,Bemerkungen wurden wurden vorgebracht,machen Bemerkungen,machen Anmerkungen,machen Bemerkungen,Anmerkungen wurden wurden gemacht,haben geübt Kritik,machen Anmerkungen,machen Bemerkungen,eingehen darauf,äußerte sich,Anmerkung machen,Bemerkungen werden gemacht,Bemerkungen machen,Bemerkung anbringen,Bemerkungen werden werden gemacht,brachte Bemerkungen vor,machen Anmerkungen,machen Bemerkungen,Anmerkungen machen,Bemerkungen machen,äußern Bemerkungen,machen einige Anmerkungen,Bemerkung machen,anzubringen Bemerkungen,Worte NULL,hat getätigt Aussagen,Bemerkungen NULL geäußerten,haben geäußert Bemerkungen,machen Bemerkungen,Bemerkungen machen,von ihm verfassten Kommentare,NULL sich mit anlegt NULL,hat erklärt,Ausführungen NULL NULL,Bemerkungen haben gemacht,was ich gesagt hatte,sich äußerte NULL,NULL seine Behauptungen,erhob seine NULL Anschuldigungen,Bemerkung NULL,haben haben sich zu diesem Thema geäußert,etwas anmerken zur,machen Bemerkungen,festzustellen NULL festzustellen,Vorbemerkungen NULL NULL,Bemerkungen NULL mache,machen Anmerkung,eingehen auf die Aspekte,mich geäußert für,Bemerkung machen	99	Bemerkung machen,Bemerkung NULL,Anmerkung machen,Anmerkung NULL,Bemerkung anbringen,Bemerkung vorbringen,Bemerkung vorausschicken,zu Bemerkung kommen,Bemerkung dahinsagen,Bemerkung äußern,Erklärung abgeben,erklären,sich äußern,Äußerung erfolgen,Äußerung vorbringen,Äußerung NULL,Äußerung tätigen,Äußerung machen,sich zu Thema äußern,NULL feststellen,Ausführung machen,Ausführung NULL,Warnung voranstellen,Ding ansprechen,etwas sagen,Kritik üben,etw. zu Thema sagen,auf etwas eingehen,Aussagen tätigen,Aussagen treffen,Festsellung treffen,etwas anmerken,Worte NULL,auf etwas hinweisen,auf Anmerkung eingehen,Anschuldigung erheben,etwas erwähnen,Wort anrichten,sich mit etwas anlegen,Behauptung NULL,etwas darlegen,Kommentar verfassen,auf Aspekt eingehen	43	Literal,-,Literal,-,Figurative,Figurative,Figurative,Figurative,Literal,Literal,Figurative,-,-,Literal,Figurative,-,Literal,Literal,Literal,-,Literal,-,Figurative,Literal,-,Figurative,Literal,-,Literal,Figurative,Figurative,-,-,-,Figurative,Figurative,-,Figurative,-,-,-,Literal,Literal
manage job	1	manage job	1	manage job job manage	1	mit dem Job klappt	1	Mit Job klappt es	1	Figurative
manage project	2	managing project,managed project	2	were managing project,project being managed	2	NULL verwalteten Projekt,Projekt wird gemanagt	2	Projekt verwalten,Projekt managen	2	Literal,Literal
misinterpret word	1	misinterpreted words	1	words be misinterpreted misinterpreted	1	Worte werden falsch ausgelegt	1	Wort falsch auslegen	1	Figurative
organise conference	6	organised conference,organising conference,organise conference,organised conference,organised conference,organise conference	3	conference was organised,are organising conference,conference organise,organised conference,conference was organised,conference organise	4	Konferenz wurde organisiert,werden veranstalten Konferenz,Konferenz durchzuführen,veranstaltete Konferenz,Konferenz wurde abgehalten,konferenz vorzubereiten	6	Konferenz organisieren,Konferenz veranstalten,Konferenz durchführen,Konferenz abhalten,Konferenz vorbereiten	5	Literal,Literal,Literal,Literal,Literal
organise event	1	organising events	1	organising events	1	organisiert Veranstaltungen	1	Veranstaltung organisieren	1	Literal
organise production	2	organise production,organise production	1	organise production,organise production	1	organisieren Produktion,organisieren Produktion	1	Produktion organisieren	1	Literal
pay fee	2	pay fee,pay fee	1	pay fee,pay fee	1	zahlen Gebühr,bezahlen gebühr	2	Gebühr zahlen,Gebühr bezahlen	2	Literal,Literal
pay tax	5	pay tax,paying taxes,pay taxes,paid tax,pay taxes	4	pay pay tax,paying taxes,pay taxes,tax be paid,pay taxes	4	wird erhoben Straßenbenutzungsgebühr,zahlen steuern,NULL Steuern,steuer NULL NULL,zahlen Steuern	5	Gebühr erheben,Steuer zahlen,Steuer NULL	3	Figurative,Literal,-
pose challenge	3	poses challenges,pose challenges,pose challenge	3	poses poses challenges,pose pose challenges,pose pose challenge	3	stellt vor Herausforderungen,stellt vor Herausforderungen,stellt dar Herausforderung	2	Herausforderung vorstellen,Herausforderung stellen	2	Figurative,Figurative
