pair	inflected_pair	alignments	Source Language	Target Language
('boost', 'economy')	('boost', 'economies')	[('boost', 'stimuler'),('economies', 'économies')]	This actually reduces the import of labour , and also immediately pumps in money to people who are likely to spend their money in rural areas and therefore boost rural economies .	En effet , cette formule offre l' avantage de réduire l' importation de main- d' ? uvre et d' augmenter directement le pouvoir d' achat des citoyens , lesquels pourraient dépenser leur argent dans les régions rurales et , partant , stimuler les économies rurales .
('boost', 'economy')	('boosting', 'economy')	[('boosting', 'relancer'), ('economy', 'économie')]	It has instead resulted in steady progress in terms of democracy and in your commitment , and the commitment of your country , to developing good neighbourly relations , respecting the rule of law , boosting the economy through trade and cooperation and working through the Ohrid Framework Agreement over time .	Au contraire , elle a débouché sur une progression constante de la démocratie et de votre engagement ( et de celui de votre pays ) à développer de bonnes relations de voisinage , à respecter l' État de droit , à relancer l' économie par le biais du commerce et de la coopération et à travailler conformément à l' accord-cadre d' Ohrid au fil du temps .
('boost', 'economy')	('boost', 'economies')	[('boost', 'favoriser'), ('economies', 'économies')]	While national governments implement drastic cuts , in some cases , with a short-term vision , the EU budget can provide stability and long-term planning to help - through funds such as the structural funds and cohesion funds - create jobs , provide job training and boost European economies through the recovery , particularly by providing structural funds to deprived areas hit the hardest .	Tandis que des gouvernements nationaux procèdent à des réductions drastiques avec , dans certains cas , une vision à court terme , le budget de l' UE peut offrir une stabilité et une planification à long terme , contribuant ainsi - par l' intermédiaire de fonds tels que les fonds structurels et les fonds de cohésion - à créer des emplois , proposer des formations professionnelles et favoriser les économies européennes grâce à la reprise , notamment en fournissant des fonds aux régions défavorisées les plus durement touchées .
('boost', 'economy')	('boost', 'economy')	[('boost', 'stimuler'), ('economy', 'économie')]	At the summit we agreed to make more concrete progress in a series of key areas : boosting research and development with the creation of a European research council ; improving our universities and their links with business ; creating a more competitive energy market ; examining how migration can boost our economy ; how we can use more extensive and better quality child care to give people a fairer balance between work and family life ; how we can re-skill workers to meet the global challenge , and how we can strengthen Europe 's place in the world and our collective security .	Lors du sommet , nous avons convenu de faire des progrès plus concrets dans une série de domaines clés : encourager la recherche et le développement par la création d' un Conseil européen de la recherche , améliorer nos universités et leurs liens avec les entreprises , créer un marché de l' énergie plus compétitif , examiner la manière dont la migration peut stimuler notre économie , la manière dont nous pouvons utiliser des services de garde d' enfants plus complets et de meilleure qualité afin de permettre aux citoyens de parvenir à mieux concilier vie professionnelle et vie familiale , la manière dont nous pouvons recycler les travailleurs afin de relever le défi mondial , ainsi que la manière dont nous pouvons renforcer la position de l' Europe sur la scène internationale et notre sécurité collective .
('boost', 'economy')	('boosting', 'economies')	[('boosting', 'stimuler'), ('economies', 'économies')]	Small local cottage industries have great scope for boosting local economies .	Les industries artisanales locales ont de grandes possibilités de stimuler les économies locales .
('boost', 'economy')	('boost', 'economy')	[('boost', 'relance'), ('boost', 'de'), ('economy', 'économie')]	Secondly , I want to turn to something that the Irish Prime Minister , Mr Bruton , said about the role of government in trying to create jobs and boost the economy .	Ensuite , je voudrais revenir sur les propos tenus par le premier ministre irlandais , M. Bruton , au sujet du rôle du gouvernement dans la génération d' emplois et la relance de l' économie .
('boost', 'economy')	('boost', 'economy')	[('boost', 'favoriser'), ('economy', 'économique')]	The UK has shown how free labour markets , coupled with proper social protection , can boost a prosperous economy .	Le Royaume-Uni a montré comment un marché du travail ouvert , allié à une protection sociale adaptée , peut favoriser la prospérité économique .
('boost', 'economy')	('boost', 'economies')	[('boost', 'dynamiser'), ('economies', 'économies')]	Targeted EU spending is one way in which we can boost local economies and bring jobs to our communities .	Cibler les dépenses européennes nous paraît le moyen de dynamiser les économies locales et de créer des emplois pour nos communautés .
('boost', 'economy')	('boosting', 'economy')	[('boosting', 'relancer'), ('economy', 'économie')]	Mr President , the European Heritage Label is , without doubt , a very important project , for at least two reasons : firstly , it enables European citizens to feel closer to their common and diverse history and heritage ; secondly it is a good tool for promoting cultural tourism and boosting the economy .	Monsieur le Président , le label du patrimoine européen est à n' en pas douter un projet très important pour deux raisons au moins : premièrement , il permet aux citoyens européens de se sentir plus proches de leur histoire et de leur patrimoine communs quoique différents ; ensuite , ce projet constitue un bon moyen de promouvoir le tourisme culturel et de relancer l' économie .
('boost', 'economy')	('boost', 'economy')	[('boost', 'donnent'), ('boost', 'du'), ('boost', 'tonus'), ('boost', 'à'), ('economy', 'économie')]	We need to protect these industries which create jobs and boost our economy - not just locally , but in the European domain .	Nous devons protéger ces industries qui créent des emplois et donnent du tonus à notre économie - non seulement dans le domaine local mais aussi européen .
('break', 'agreement')	('breaking', 'agreements')	[('breaking', 'déroger'), ('breaking', 'à'),('agreements', 'engagements')]	There is no case for breaking these agreements .	Il n' est pas question de déroger à ces engagements .
('break', 'agreement')	('break', 'agreement')	[('break', 'rupture'), ('break', 'de'), ('Agreement', 'accord')]	Right now , if we break the Interinstitutional Agreement , we go back to the Treaty , which gives Parliament a lot more power and a lot more authority .	À présent , en cas de rupture de l' accord interinstitutionnel , nous en revenons au Traité , qui confère au Parlement bien davantage de pouvoir et d' autorité .
('break', 'contract')	('broken', 'contract')	[('contract', 'contrat'), ('could', 'pouvait'), ('be', 'être'), ('broken', 'cassé')]	Because the contract had been signed by the previous Conservative Government , Mr Cook claimed it could not be broken .	Le contrat ayant été signé par le gouvernement conservateur précédent , M. Cook a déclaré qu' il ne pouvait pas être cassé .
('break', 'cycle')	('break', 'cycle')	[('will', 'brisera'), ('break', 'brisera'), ('cycle', 'cycle')]	On the economic side , the macro-economic framework presented in New York must be more rigorous and combined with a clear path towards employment and growth , which will break the cycle of poverty and inequality .	Sur le plan économique , le cadre macroéconomique présenté à New York doit être plus rigoureux et combiné à une orientation claire vers l' emploi et la croissance , qui brisera le cycle de la pauvreté et de l' inégalité .
('break', 'cycle')	('break', 'cycle')	[('break', 'briser'), ('cycle', 'cercle')]	We can break this vicious cycle by acknowledging that non-paid work is work indeed , by encouraging women to work and gain their economic independence , by attacking the structural causes of labour market segregation , and by paying attention to women 's problems when reforming our pension schemes .	Nous pouvons briser ce cercle vicieux en reconnaissant la légitimité du travail non rémunéré , en encourageant les femmes à travailler et à affirmer leur indépendance sur le plan économique , en nous attaquant aux causes structurelles de la ségrégation sur le marché du travail et en tenant compte de la situation des femmes dans le cadre de la réforme des régimes de retraite .
('breathe', 'life')	('breathing', 'life')	[('are', 'sommes'), ('are', 'en'), ('are', 'train'), ('are', 'de'), ('breathing', 'redonner'), ('life', 'vie')]	We are breathing new life into the Western European Union , which should have actually been defunct last year .	Or , nous sommes en train de redonner vie à l' Union de l' Europe occidentale , qui aurait dû rendre son dernier souffle l' an dernier .
('breathe', 'life')	('breathe', 'life')	[('breathe', 'insuffler'), ('life', 'vie')]	So we are pleased to have been able to breathe a little more life into this body .	Nous sommes donc satisfaits d' avoir pu insuffler un peu plus de vie dans cet organe .
('breathe', 'life')	('breathe', 'life')	[('breathe', 'insuffler'), ('life', 'vie')]	We need to breathe new life into the round .	Nous devons insuffler une nouvelle vie au cycle .
('breathe', 'life')	('breathe', 'life')	[('breathe', 'redonner'), ('life', 'vie')]	If Pörtschach can breathe new life into the vision of a united Europe by pointing the way forward on these three concepts - peace , prosperity and security - then it will be setting a new and relevant agenda for the coming years .	Si Pörtschach peut redonner vie à la vision d' une Europe unie en montrant le chemin vers ses trois concepts - paix , prospérité et sécurité - , elle fixera alors un calendrier à la fois nouveau et pertinent pour les années à venir .
('breathe', 'life')	('breathe', 'life')	[('breathe', 'insuffler'), ('life', 'vie')]	It would be easier for us to do that if we had some serious indications that Israel is really willing to breathe new life into the peace process .	Ce serait plus facile pour nous si nous disposions de quelque indication sérieuse de la véritable intention d' Israël d' insuffler une nouvelle vie dans le processus de paix .
('cast', 'doubt')	('casts', 'doubt')	[('casts', 'jettent'), ('doubt', 'doutes')]	Fresh information has come to light since the hearing in The Sunday Times this weekend which casts further doubt on whether Mr Busquin was truthful in his answers to Parliament .	Après cette audition , le Sunday Times a publié un article ce week-end qui jettent davantage de doutes sur la véracité des réponses de M. Busquin au Parlement .
('cast', 'doubt')	('cast', 'doubt')	[('cast', 'a'), ('cast', 'émis'), ('doubt', 'doutes')]	In the UK the previous Tory government cast a great deal of doubt on whether or not the euro would actually happen .	Au Royaume-Uni , le précédent gouvernement conservateur a émis de sérieux doutes sur l' avènement ou non de l' euro .
('close', 'case')	('closed', 'case')	[('case', 'affaire'), ('is', 'est'), ('closed', 'classée')]	The case is not closed .	L' affaire n' est pas classée .
('close', 'case')	('close', 'case')	[('close', 'clôture'), ('case', 'affaire')]	When a friendly solution is not possible , I close the case with a critical remark or make a draft recommendation .	Lorsqu'une solution à l' amiable n' est pas possible , je clôture l' affaire avec une remarque critique ou propose un projet de recommandation .
('close', 'case')	('closed', 'case')	[('case', 'affaire'), ('closed', 'clôturée')]	A case currently investigated by OLAF and closed in the last quarter of 2003 , involving external aid , is in judicial follow-up in Germany .	Une affaire concernant des aides extérieures , clôturée au dernier trimestre de 2003 et sur laquelle l' OLAF enquête actuellement , fait l' objet d' un suivi judiciaire en Allemagne .
('close', 'case')	('close', 'case')	[('close', 'clore'), ('case', 'dossier')]	We decided we are happy with what the French authorities gave us , but we can not close the case , because these promises , these elements of law , these proposed laws , are not yet implemented .	Nous avons décidé que nous étions satisfaits de la contribution française , mais nous ne pouvons pas clore le dossier , parce que ces promesses , ces éléments de droit , ces propositions de loi , n' ont pas encore été mis en œuvre .
('close', 'debate')	('close', 'debate')	[('close', 'vais'), ('close', 'clore'), ('debate', 'débat')]	Mr President , as spokesman for the Group of the European People 's Party , I would like to close this debate by saying , on behalf of my group , that we are going to support the report by Mr Barros Moura .	Monsieur le Président , en tant que porte-parole du groupe du parti populaire européen , je vais clore ce débat au nom de mon groupe en disant que nous allons appuyer le rapport de M. Barros Moura .
('close', 'debate')	('close', 'debate')	[('close', 'clore'), ('debate', 'débat')]	We welcome this but we would also like to ask that Members have the possibility of putting down motions for a resolution to close the debate .	Cependant , nous voudrions également demander que les députés aient la possibilité de déposer des propositions de résolution pour clore le débat .
('close', 'debate')	('close', 'debate')	[('close', 'NULL'), ('debate', 'NULL')]	Pursuant to Rule 37 of the Rules of Procedure , I have received six motions for resolution to close the present debate .	J' ai reçu , sur la base de l' article 37 du règlement , six propositions de résolution .
('close', 'debate')	('close', 'debate')	[('close', 'conclure'), ('debate', 'débat')]	I would like to remind you that the Raimon Obiols i Germà and Charles Tannock report will be put to the vote tomorrow morning , and that the texts submitted to close the debate on the Council and Commission statements will be put to the vote in Brussels on 29 November 2007 .	J' aimerais vous rappeler que le rapport Raimon Obiols i Germà et Charles Tannock sera soumis au vote demain matin , et que les textes présentés pour conclure le débat sur les déclarations du Conseil et de la Commission seront soumis au vote a Bruxelles le 29 novembre 2007 .
('close', 'debate')	('close', 'debate')	[('close', 'est'), ('close', 'clos'),  ('debate', 'débat')]	After this speech by the Commissioner , to whom we wish the best of luck , secure in the knowledge that he will do an excellent job , as he has done in the past , we close the debate .	Après cette intervention du commissaire , à qui nous souhaitons bonne chance , dans la certitude qu' il fera un excellent travail , comme il l' a fait dans le passé , le débat est clos .
('close', 'debate')	('closed', 'debate')	[('closed', 'ai'), ('closed', 'clos'), ('debate', 'débat')]	Mrs Kinnock , the Commission did not ask to reply on the last item and that is why I closed the debate , precisely because there was no request to speak .	Madame Kinnock , la Commission n' a pas demandé de répondre sur le point précédent et c' est la raison pour laquelle j' ai clos le débat .
('close', 'debate')	('close', 'debate')	[('close', 'clore'), ('debate', 'débat')]	Miss Lynne would have asked that we be allowed to close the debate on the question of British beef with motions for a resolution from the various political groups .	Mme Lynne aurait demandé de clore le débat sur la viande bovine britannique par des propositions de résolution émanant de divers groupes politiques .
('close', 'debate')	('close', 'debate')	[('to', 'en'), ('close', 'conclusion'), ('close', 'du'), ('debate', 'débat')]	I would like to make that proposal that the political groups be invited to submit motions for a resolution to close the debate on British beef .	Je voudrais proposer que les groupes politiques soient invités à introduire des propositions de résolution en conclusion du débat sur la viande bovine britannique .
('close', 'debate')	('close', 'debate')	[('am', 'clôturer'), ('going', 'clôturer'), ('to', 'clôturer'), ('close', 'clôturer'), ('debate', 'débat')]	I am going to close the debate .	Le moment est venu pour moi de clôturer le débat .
('close', 'debate')	('closing', 'debate')	[('closing', 'clore'), ('debate', 'débat')]	Thank you , Mrs Green , but I have no way of closing this debate today while people are still asking for the floor .	Merci , madame Green , mais aujourd'hui par contre je n' ai aucune possibilité de clore ce débat tant qu' il y a des demandes de parole .
('close', 'debate')	('closed', 'debate')	[('debate', 'débat'), ('to', 'clôture'), ('be', 'clôture'), ('closed', 'clôture'), ('closed', 'de')]	Madam President , I would simply like to point out that on Wednesday , on the initiative of the President , we voted for an adjournment of the urgent debate on Zaire , but not for the debate to be closed .	Madame le Président , je voulais simplement signaler que nous avions voté mercredi , à l' initiative de la présidence , en faveur d' une interruption du débat d' urgence sur le Zaïre , mais non en faveur d' une clôture de ce débat .
('close', 'project')	('closed', 'project')	[('project', 'projet'), ('had', 'a'), ('been', 'été'), ('closed', 'clôturé'), ('down', 'clôturé')]	What I have been hearing about the representative in Nicaragua is indicative that the project had not been properly closed down .	Ce que j' ai entendu au sujet du représentant au Nicaragua indique que le projet n' a pas été correctement clôturé .
('colour', 'judgement')	('colouring', 'judgement')	[('colouring', 'faussent'), ('judgement', 'jugement')]	We should see this Commission as a college and while the individual commissioners must be held accountable , nevertheless we must take an objective view of what is going on and beware of either European party politics or international politics colouring our judgement .	Nous devrions considérer cette Commission comme un collège et , alors que les commissaires individuels doivent être tenus pour responsables , nous devons toutefois apprécier objectivement la situation et veiller à ce que des politiques de partis européens ou des politiques internationales ne faussent notre jugement .
('digest', 'content')	('digest', 'contents')	[('digest', 'digérer'), ('contents', 'contenu')]	However , you may not all have had time to digest their contents and I will , therefore , briefly summarise the main issues .	Néanmoins , il se peut que vous n' ayez pas eu le temps d' en digérer le contenu , c' est pourquoi je résumerai brièvement les principaux points .
('find', 'excuse')	('finding', 'excuse')	[('finding', 'en'), ('finding', 'trouvant'), ('excuse', 'excuse')]	Can we really restore trust and generate inspiration among the voters if we continue to conduct our policies from one national election to another , finding in them a good excuse not to apply the common policies ?	Pouvons -nous réellement rétablir la confiance et susciter l' enthousiasme parmi les électeurs si nous continuons de mener nos politiques d' une élection nationale à l' autre , en trouvant dans celles-ci une bonne excuse pour ne pas appliquer les politiques communes ?
('find', 'excuse')	('found', 'excuse')	[('excuse', 'excuses'), ('have', 'avoir'), ('found', 'trouvé')]	It does not matter who you are or what excuse you think you have found for your perverse and nihilistic , violent ideology .	Peu importe qui tu es ou quelles excuses tu penses avoir trouvé pour ton idéologie perverse , nihiliste et violente .
('find', 'way')	('finding', 'way')	[('finding', 'arrive'), ('way', 'entrer'), ('into', 'dans')]	So we come to the situation of a vessel with a dangerous cargo finding its way into a port by manipulating these contradictions .	Dès lors , on en arrive à la situation d' un vaisseau transportant un chargement dangereux qui arrive à entrer dans un port en manipulant ces contradictions .
('find', 'way')	('find', 'way')	[('find', 'trouver'), ('way', 'moyen')]	on behalf of the GUE/NGL Group . - Ladies and gentlemen , it is generally obvious that we need to find a way to resolve the crisis afflicting Europe and other parts of the world at the present time .	au nom du groupe GUE / NGL . - ( CS ) Mesdames et Messieurs , il est évident que nous devons trouver un moyen de résoudre la crise qui frappe actuellement l' Europe et le reste du monde .
('find', 'way')	('find', 'way')	[('find', 'trouver'), ('way', 'solution'), ('forward', 'solution')]	We have worked with the Czech Presidency on this matter , and I very much appreciate the support of the Presidency in our efforts to find a viable way forward .	Nous avons travaillé avec la Présidence tchèque sur cette question , et je suis très reconnaissant à la Présidence du soutien qu' elle nous a apporté pour trouver une solution viable .
('find', 'way')	('find', 'ways')	[('find', 'trouver'), ('ways', 'moyens')]	It is our job , the job of politicians , not economists , to try to find ways - new ways and novel ways - of raising this particular issue .	Il est de notre devoir d' hommes politiques et non pas d' économistes , de trouver des moyens , nouveaux et innovateurs , pour faire face à ce problème .
('find', 'way')	('find', 'way')	[('find', 'NULL'), ('way', 'NULL')]	Many of us have been involved in trying to find some way out of the planetary catastrophe that could ensue .	Beaucoup d' entre nous ont tenté d' imaginer la catastrophe qui pourrait se jouer au niveau planétaire .
('find', 'way')	('find', 'way')	[('find', 'trouver'), ('way', 'moyen')]	There is also a gap that we have yet to fill for people for whom no return to their country of origin is possible - for example , to Zimbabwe - and who are often left legally destitute , as it were , and , therefore , need to find a way to keep themselves alive .	Il existe également un fossé que nous devons encore combler pour les personnes qui ne peuvent rentrer dans leur pays d' origine - le Zimbabwe par exemple - qui sont souvent juridiquement démunies et doivent , dès lors , trouver un moyen de survivre .
('find', 'way')	('found', 'way')	[('have', 'parviendront'), ('not', 'parviendront'), ('found', 'parviendront'), ('found', 'à'), ('way', 'fins'), ('forward', 'fins')]	So while we welcomed last night 's announcement from the American side of a six months delay , we are fundamentally opposed to this legislation in principle and we want to say that we think that the Americans , by bullying their allies , have not found the correct way forward .	Si nous nous sommes réjouis , la nuit dernière , à l' annonce américaine d' un moratoire de six mois , nous n' en sommes pas moins farouchement opposés à cette législation en principe et tenons à dire que ce n' est pas en tyrannisant leurs alliés que les Américains parviendront à leurs fins .
('find', 'way')	('find', 'way')	[('find', 'trouver'), ('way', 'moyen')]	We need to listen to that child as mothers do , and to help them find a way to reconcile home and work to the benefit of both .	Nous devons écouter cet enfant comme le ferait une mère , et aider celle-ci à trouver le moyen de concilier foyer et travail pour le plus grand profit des deux .
('find', 'way')	('find', 'way')	[('find', 'chercher'), ('way', 'issue')]	We must keep trying to find a way through the maze .	Nous devons continuer à chercher une issue dans le brouillard .
('find', 'way')	('find', 'way')	[('find', 'trouver'), ('way', 'solution'), ('forward', 'solution')]	But perhaps we could talk with you , Commissioner , and try to suggest ways forward with the associations that run hostels and similar activities internationally , and find a practical way forward so that parents can be sure of their children 's security when they send them abroad so that we have a quick practical solution to this problem rather than a theoretical one in the long term .	Entre-temps nous pourrions peut-être nous entretenir avec vous , Madame le Commissaire , pour tenter de progresser avec les associations qui gèrent les hôtels et autres activités semblables sur le plan international , et trouver une solution pratique permettant de rassurer les parents quant à la sécurité de leurs enfants en voyage à l' étranger ; cela nous permettrait de déboucher rapidement sur une solution pratique à ce problème plutôt que sur une solution théorique à long terme .
('find', 'way')	('find', 'way')	[('find', 'trouver'), ('way', 'manière')]	Open media can be intrusive and the problem with the Internet today is that we have to find a way of dealing with the various segments within which its operations take place .	Les médias ouverts peuvent être intrusifs et le problème inhérent au réseau Internet aujourd'hui est que nous devons trouver une manière de traiter les divers segments à l' intérieur desquels ses opérations ont lieu .
('find', 'way')	('find', 'way')	[('can', 'évolue'), ('find', 'évolue'), ('way', 'évolue'), ('around', 'facilement')]	I should like to give the Commissioner a hypothetical example : if a 62-year-old , registered blind official was working in an external office - in other words he is only three years from retirement - and he is comfortable in that office , can find his way around about it and there are no complaints about the quality of his work , would he think it a reasonable policy towards disabled people to consider compulsory transfer of that individual back to Brussels at that stage of his career ?	J' aimerais donner au commissaire un exemple hypothétique : prenons un fonctionnaire aveugle , âgé de 62 ans ( autrement dit à trois ans seulement de la retraite ) , travaillant dans un bureau extérieur où il est à l' aise et évolue facilement , et où son travail ne suscite aucune plainte ; trouverait -il raisonnable que l' on envisage le transfert obligatoire de cet individu à Bruxelles à ce stade de sa carrière ?
('find', 'way')	('find', 'way')	[('will', 'parviendra'), ('find', 'parviendra'), ('way', 'parviendra'),]	I would hope , too , that the European Commission will find some way of increasing the support to the programmes which will help children and young people as Romania begins in earnest its progress towards a closer relationship with the European Union .	J' ose également espérer que la Commission européenne parviendra à renforcer son soutien aux programmes d' aide aux enfants et aux jeunes dans la mesure où la Roumanie évolue sérieusement vers une relation plus étroite avec l' Union européenne .
('find', 'way')	('find', 'way')	[('will', 'NULL'), ('find', 'soient'), ('find', 'poussé'), ('way', 'poussé'), ('out', 'vers'), ('out', 'la'), ('out', 'sortie')]	Let us hope and pray that , for the sake of the American people as well as for the rest of the world , soon enough Mr Bush and his warmongering associates will also find their way out of office .	Prions , pleins d' espoir - pour le bien des Américains autant que pour celui du reste du monde - , pour que , très prochainement , M. Bush et ses associés bellicistes soient eux aussi poussé vers la sortie .
('find', 'way')	('find', 'ways')	[('find', 'recherche'), ('find', 'de'), ('ways', 'moyens')]	The main problem now is not food or medicaments but it is basically shelter and trying to find some ways of earning a living in the months to come .	Le problème principal à présent ce ne sont pas la nourriture et les médicaments mais surtout l' abri et la recherche de moyens pour ces gens de gagner leur vie pendant les mois à venir .
('find', 'way')	('found', 'way')	[('has', 'doit'), ('to', 'doit'), ('be', 'être'), ('found', 'poursuivi'), ('find', 'de'), ('find', 'manière'), ('way', 'NULL')]	Any restriction of the present legislation needs to be duly justified and proportionate ; the least intrusive way has to be found to serve this goal .	Toute restriction à la présente législation doit être dûment justifiée et proportionnée ; cet objectif doit être poursuivi de la manière la moins intrusive possible .
('find', 'way')	('find', 'ways')	[('find', 'trouver'), ('way', 'moyens')]	As I have said , we had to find ways not only to express tangibly the political will of all the institutions involved and the citizens , but also to do so in a legally sound way that would ensure that this will could face and withstand any challenges arising in the future .	Comme je l' ai dit , nous devons trouver les moyens non seulement d' exprimer concrètement la volonté politique de toutes les institutions concernées et des citoyens , mais cela doit aussi se faire d' une manière juridiquement solide , pour que cette volonté puisse résister aux défis à venir .
('find', 'way')	('find', 'way')	[('find', 'trouver'), ('way', 'moyen')]	We are just trying to find the best possible way to make it legally sound to be able to withstand any challenges before the court .	Nous tentons juste de trouver le meilleur moyen possible pour qu' elle soit solide sur le plan juridique afin de résister aux défis devant une Cour .
('find', 'way')	('find', 'way')	"[('find', 'recherche'), ('find', ""d'""), ('way', 'solution'), ('forward', 'solution')]"	Anybody you speak to from the Palestinian area will tell you that it has always been the women and the children who have suffered most , but they have also been the most resilient in trying to find a way forward to challenge the failure to negotiate , the failure to respect and the failure to find a solution ; indeed , the failure of both Israel and Palestine to live up to their commitments , to agreements that they voluntarily signed up to , the failure of the United States of America and the European Union to live up to their commitments with regard to clear and open negotiations , the failure of other states bordering Israel and Palestine to take a more proactive and positive role with regard to , ultimately , achieving a two-state solution , which must be based on viability and equality .	N' importe quelle personne à qui vous parlerez du côté palestinien vous dira que ce sont les femmes et les enfants qui ont toujours le plus souffert , mais que ce sont également eux qui ont été les plus persévérants dans la recherche d' une solution à l' absence de négociations , au non-respect des engagements , à l' incapacité de mettre fin au conflit , en d' autres mots au non-respect , tant par Israël que par la Palestine , de leurs engagements , des accords qu' ils ont signé volontairement , au non-respect par les États-Unis et l' Union européenne de leurs engagements en faveur de négociations claires et ouvertes , à l' absence de volonté de la part des autres États bordant Israël et la Palestine à jouer un rôle plus proactif et plus positif en vue de la mise en œuvre , à terme , d' une solution à deux États viable et équitable .
('find', 'way')	('finds', 'way')	[('finds', 'trouvera'), ('way', 'moyen')]	I sincerely hope that the Commission finds another way forward to test the safety culture .	J' espère sincèrement que la Commission trouvera un autre moyen d' assurer la prise en considération de la culture de la sécurité .
('find', 'way')	('find', 'way')	[('will', 'trouvera'), ('find', 'trouvera'), ('way', 'moyen')]	I hope that the Commissioner will find a way - because she is a very practical , competent and capable person - of ensuring that the rules will be applied properly .	J' espère que Madame le commissaire , dont le sens pratique rivalise avec les compétences et les capacités , trouvera le moyen de veiller à l' application correcte des lois .
('find', 'way')	('found', 'way')	[('way', 'moyen'), ('is', 'à'),  ('found', 'trouver')]	Please ensure in the fifth framework programme that a way is found to help research into diabetes .	Je vous demande donc instamment de veiller à trouver , dans le cadre du cinquième programme cadre , un moyen d' aider la recherche sur le diabète .
