pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
find way	102	finding ways,find way,find way,find way,find ways,find way,find way,finding ways,find way,find way,find way,find way,finding ways,find way,find way,find way,find way,find way,find way,found way,find ways,find way,find way,find way,finding way,find way,finding way,find way,find way,find way,find way,finds way,find way,find way,found way,found way,finding ways,find way,find way,found way,find way,find ways,find ways,find way,find way,find way,find way,find ways,find way,find ways,find way,find way,find way,find way,find way,found way,find way,find ways,find ways,finding way,find way,find way,find way,found ways,finds way,found way,find ways,find way,find ways,find way,found way,find way,find ways,find way,find way,find way,find way,find way,find way,finding way,find way,find way,found ways,find ways,finding way,find way,find ways,find way,finding ways,find way,find way,find way,find ways,find ways,find way,find way,finding way,found way,find way,find way,find way,find way	7	finding ways,find common common way,find way,find find find way way,find ways,find way,find way,finding ways,find find way forward,find way forward,find way,find way,finding ways,will find way forward,find way way forward,will find way into,find way,find find way forward,will find find way out out out,has to be found find find way,find way,find way,find find way forward,find way,finding way,find way,finding way into,find way,find way forward,find way,find way,finds way into,find find way,find way,way must be found,way must be found,finding ways,find way,find way,have found way,find way,find ways,find ways,find way,find way out,find way,find way out,find ways,find way,find ways,find way,find way forward,find way,find way to,find way,has just been found way,find way,find ways,find ways,finding way,find way,find way,find way,ways should be found,finds way,have not found found way forward,find ways,find way,find ways forward,find way forward,way is found,will find way,find find ways,will find way,can find way around,find way,find way,find find way to,find way,are finding way,find way out,find way,ways found found found found found found found,find ways,is finding way into,find way,find ways,will find way to,finding ways,find way,find way,find way,find ways,find ways,will find way,find way,finding finding way,should have found way into,find way,find way way,find a way through through,will find way	38	trouver solutions,trouver d' entente terrain,trouver moyen,s' engager sur la voie,trouver méthodes,trouver moyen,trouver moyen,NULL NULL,se frayer chemin chemin,trouver issue NULL,trouver manière,emprunter voie,trouvant manières,trouverons trouverons moyen NULL,trouver manière d' avancer,incorporation incorporation incorporation dans,trouver moyen,recherche de voie voie,NULL soient poussé poussé vers la sortie,doit doit être poursuivi de manière NULL,trouver moyens,trouver moyen,recherche d' solution solution,trouver moyen,NULL moyen,trouver moyen,arrive entrer dans,trouver moyen,trouver solution solution,trouver moyen,trouver manière,aboutit aboutit dans,recherche d' réponse,rechercher solution,moyen il faut trouver,moyen il faut trouver,trouver moyens,trouver moyen,trouver voie,avons trouvé solution,trouver manière,trouver solutions,trouver moyens,trouver méthode,trouver issue issue,trouver moyen,trouver issue issue,trouver moyens,trouver manière,trouver moyens,NULL moyen,trouver solution solution,trouver façon,aboutissent aboutissent dans,trouver façon,vient d' être dégagée solution,trouvions moyens,trouver moyens,trouver manières,trouver voie,trouver moyens,trouver moyen,trouver moyen,moyens il faudra trouver,trouvera moyen,parviendront parviendront parviendront à fins fins,trouver moyens,NULL NULL,envisager solutions solutions,trouver solution solution,moyen à trouver,trouvera trouvera moyen,recherche de moyens,parviendra parviendra parviendra,évolue évolue évolue facilement,trouver manière,chercher issue,se retrouver retrouver dans,trouver moyen,atteignions atteignions moyens,trouver solutions solutions,trouver moyen,NULL tirer le meilleur parti des de manière,trouver moyens,NULL NULL NULL NULL,trouver solution,trouver modes,finiront par aboutir entre,trouver moyens,trouver moyen,trouver moyen,trouver moyen,trouver méthodes,trouver solutions,trouverez trouverez moyen,trouver moyen,introduit dans NULL,puisse se retrouver retrouver dans,trouver manière,mettre au point,examiner les moyens de sortir,entamerons entamerons NULL	59	trouver solution,trouver terrain d' entente,trouver moyen,s' engager sur la voie,trouver méthode,NULL NULL,se frayer chemin,trouver issue,trouver manière,emprunter voie,trouver manière d' avancer,incorporation dans,recherche de voie,pousser vers la sortie,poursuivre NULL de manière,recherche de solution,NULL moyen,arrive à entrer dans,aboutir dans,recherche de réponse,rechercher solution,trouver voie,trouver façon,dégager solution,parvenir à fin,recherche de moyens,parvenir,évoluer facilement,chercher issue,se retrouver dans,atteindre moyen,de manière à tirer le meilleur parti,trouver mode,finir par aboutir,introduire dans NULL,se retrouver dans,mettre au point,examiner les moyens de sortir,entamer NULL	39	Literal,Figurative,Figurative,Figurative,Literal,-,Figurative,Figurative,Figurative,Figurative,Literal,Figurative,Figurative,Figurative,-,Literal,-,Literal,Figurative,Literal,Literal,Figurative,Literal,Figurative,Figurative,Literal,-,Literal,Figurative,Literal,Figurative,Literal,Literal,Literal,-,Literal,Figurative,Literal,-
float idea	10	float idea,floated ideas,floats idea,floating idea,floated ideas,floated idea,floated idea,floated idea,floated ideas,floated idea	5	float idea,ideas being floated,floats floats floats idea,floating floating idea,ideas have been floated,idea has been floated,have floated idea,idea floated,ideas have been floated,floated floated idea	9	lancer idée,idées avancées avancées,fait allusion à idée,s' agir idée,idées ont été avancées,idée a été émise,évoquons évoquons idée,idée lancée,idées sont sont apparues,a émis idée	10	lancer idée,avancer idée,faire allusion à idée,s' agir idée,émettre idée,évoquer idée,apparaître idée	7	Figurative,Figurative,Literal,Literal,Figurative,Literal,Figurative
flood market	4	flood market,flooded market,flood market,floods market	3	flood market,market is flooded,flood market,floods market	3	inonder marché,marché soit inondé,inonder marché,inonde marché	3	inonder marché	1	Figurative
follow activity	1	follow activities	1	follow activities	1	suivre activités	1	suivre activité	1	Literal
frame debate	1	frame debate	1	frame debate	1	modeler débat	1	modeler débat	1	Figurative
fuel debate	1	fuel debate	1	fuel debate	1	alimenter débat	1	alimenter débat	1	Figurative
grasp concept	1	grasp concept	1	grasp concept	1	saisir concept	1	saisir concept	1	Figurative
grasp point	1	grasp point	1	grasp point	1	saisir aspect	1	saisir aspect	1	Figurative
grasp situation	1	grasp situation	1	grasp situation	1	saisir situation	1	saisir situation	1	Figurative
juggle life	1	juggling life	1	juggling juggling life	1	cumul d' vie	1	cumul de vie	1	Figurative
kill process	1	kill process	1	kill kill process	1	faire échouer processus	1	faire échouer processus	1	Figurative
kill proposal	1	kill proposal	1	should kill kill proposal	1	doit être abandonnée proposition	1	abandonner proposition	1	Figurative
leak report	1	leaked report	1	leaked leaked report	1	aurait divulgué rapport	1	divulguer rapport	1	Literal
mount campaign	1	mount campaign	1	mount campaign	1	monter campagne	1	monter campagne	1	Figurative
mount exhibition	2	mounting exhibition,mount exhibition	2	mounting mounting exhibition,mount exhibition	2	organisation de exposition,organiser exposition	2	organisation de exposition,organiser exposition	2	Literal,Literal
pour money	3	pour money,pouring money,pour money	2	pour pour money,be pouring money,pour money	3	injecter d' argent,verser verser argent,déverser montants	3	injecter argent,verser argent,déverser montant	3	Figurative,Figurative,Figurative
push drug	1	pushing drugs	1	pushing pushing drugs	1	détention de drogues	1	détention de drogue	1	Literal
shake confidence	3	shaken confidence,shake confidence,shaken confidence	2	have shaken confidence,would shake confidence,confidence should be shaken	3	ont ébranlé confiance,ébranlerait ébranlerait confiance,confiance soit soit ébranlée	3	ébranler confiance	1	Figurative
shape outcome	1	shape outcome	1	shape outcome	1	façonner résultat	1	façonner résultat	1	Figurative
shape strategy	1	shaping strategy	1	shaping strategy	1	élaborer stratégie	1	élaborer stratégie	1	Literal
suck worker	1	suck workers	1	suck in workers	1	attirer attirer professionnels	1	attirer professionnel	1	Figurative
tackle challenge	22	tackle challenges,tackled challenges,tackle challenges,tackling challenge,tackling challenges,tackle challenges,tackle challenges,tackling challenges,tackling challenges,tackling challenges,tackle challenges,tackled challenges,tackling challenges,tackle challenges,tackling challenges,tackling challenges,tackles challenges,tackling challenges,tackle challenges,tackle challenges,tackle challenges,tackle challenge	6	tackle challenges,challenges can be tackled,tackle challenges,tackling tackling tackling challenge,tackling tackling challenges,tackle challenges,tackle tackle challenges,tackling tackling tackling challenges,tackling challenges,tackling tackling tackling challenges,tackle challenges challenges,challenges to be tackled,tackling challenges,tackle tackle tackle challenges,tackling challenges,tackling challenges,tackles tackles challenges,tackling tackling challenges,tackle tackle tackle challenges,tackle challenges,tackle tackle tackle challenges,tackle tackle tackle challenge	12	relever défis,défis peut être relevé,relever défis,faire face à NULL,lutte contre problèmes,traiter défis,réponse aux défis,s' attaquer aux défis,relever défis,nous attaquer aux défis,répondre aux défis,défis à à affronter,relever défis,faire face aux défis,affronter défis,affronter défis,répond à questions,rencontre des enjeux,nous pencher sur défis,relever défis,faire face aux défis,nous attaquer au défi	16	relever défi,faire face à NULL,lutter contre problème,traiter défi,réponse à défi,s' attaquer à défi,répondre à défi,défi à affronter,faire face à défi,affronter défi,répondre à question,rencontre de enjeu,se pencher sur défi	13	Figurative,-,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Figurative,Figurative
tackle concern	3	tackle concerns,tackle concerns,tackle concerns	1	tackle concerns,tackle tackle concerns,tackle tackle tackle tackle concerns	3	aborder problèmes,répondre à préoccupations,réponses à apporter à préoccupations	3	aborder problème,répondre à préoccupation,réponse à apporter à préoccupation	3	Figurative,Figurative,Literal
tackle crisis	8	tackle crisis,tackling crisis,tackle crisis,tackle crisis,tackling crisis,tackle crisis,tackle crises,tackle crisis	3	tackle crisis,tackling tackling crisis,tackle tackle tackle crisis,tackle tackle crisis,tackling tackling crisis,tackle tackle tackle crisis,tackle crises,tackle tackle crisis	5	endiguer crise,lutte contre crise,s' attaquer à crise,lutte contre crise,lutter contre crise,s' attaquer à crise,gérer crise,réponse à crise	6	endiguer crise,lutte contre crise,s' attaquer à crise,lutter contre crise,gérer crise,réponse à crise	6	Figurative,Figurative,Figurative,Figurative,Literal,Figurative
tackle inequality	1	tackle inequalities	1	tackle inequalities	1	résorber inégalités	1	résorber inégalité	1	Figurative
tackle issue	56	tackle issue,tackle issue,tackled issues,tackling issues,tackled issues,tackle issues,tackle issues,tackled issues,tackled issues,tackling issues,tackled issues,tackling issue,tackling issue,tackling issue,tackled issues,tackling issue,tackling issue,tackling issues,tackle issues,tackle issue,tackling issue,tackle issues,tackled issue,tackle issues,tackle issues,tackled issues,tackle issues,tackling issue,tackle issue,tackling issues,tackle issues,tackle issue,tackle issues,tackle issue,tackling issues,tackle issue,tackling issue,tackle issue,tackle issue,tackle issues,tackled issue,tackle issue,tackle issues,tackling issue,tackled issue,tackle issue,tackles issues,tackle issues,tackled issue,tackle issues,tackled issues,tackled issue,tackled issue,tackled issue,tackling issue,tackled issues	7	issue tackle,tackle tackle tackle issue,issues to be tackled,tackling issues,issues could be tackled tackled tackled,tackle tackle tackle issues,tackle tackle tackle issues,issues will be tackled,issues can be tackled,tackling issues,issues to be tackled,tackling tackling issue,tackling tackling issue,will be tackling issue,issues will be tackled,tackling tackling tackling issue,tackling issue,tackling issues,tackle issues,tackle tackle issue,is tackling issue,tackle issues,issue be tackled,tackle issues,tackle tackle issues,issues were were tackled tackled,tackle issues,tackling tackling issue,tackle issue,tackling tackling issues,tackle issues,issue have to tackle,tackle issues,tackle tackle issue,tackling tackling issues,tackle issue,tackling tackling issue,tackle issue,tackle issue,tackle issues,issue is tackled,tackle issue,issues to tackle tackle,tackling tackling tackling issue,issue can be tackled,tackle tackle tackle issue,tackles tackles tackles issues,tackle issues,issue to be tackled,tackle issues,issues should be tackled,issue must be tackled,issue must be tackled,issue must be tackled,tackling tackling tackling tackling issue,issues are tackled	30	point aborder,faire face à question,questions à à aborder,aborder questions,problèmes on pourra s' attaquer à,faire face aux problèmes,faire face à problèmes,questions seront seront abordées,questions peuvent être réglées,régler problèmes,questions à à traiter,lutte contre phénomène,résolution de question,aborderont aborderont aborderont question,questions seront seront résolues,s' attaquer à problème,règlera question,appréhender problèmes,aborder problèmes,répondre à problème,aborde aborde question,aborder questions,question soit traitée,régler questions,résolution de problèmes,problèmes se soit attaquée à,résoudre problèmes,résolution de problématique,régler question,traitement des questions,affronter problèmes,question aurons à régler,aborder sujets,répondre à question,traitement de sujets,résoudre problème,résolution de problème,enrayer problème,enrayer problème,aborder questions,point soit traité,aborder question,problèmes auxquels s' attaquer,nous attaquer à question,problème peut être résolu,s' attaque au problème,se penche sur questions,régler problèmes,priorité devant être respectée,traiter problèmes,problèmes devraient trouver solution,question devra être résolue,problème devons trouver solution,question doit être traitée,s' est attaquée à problème,questions aborder aborder	52	aborder point,faire face à question,aborder question,s' attaquer à problème,faire face à problème,régler question,régler problème,traiter question,lutte contre phénomène,résolution de question,résoudre question,appréhender problème,aborder problème,répondre à problème,résolution de problème,résoudre problème,résolution de problématique,traitement de question,affronter problème,aborder sujet,répondre à question,traitement de sujet,enrayer problème,traiter point,s' attaquer à question,se pencher sur question,respecter priorité,traiter problème,trouver solution à problème	29	Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Figurative,Literal,Literal,Literal,Figurative,Figurative,Literal,Literal,Literal,Literal,Figurative,Literal,Literal,Literal,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Literal
tackle matter	2	tackle matters,tackle matter	2	tackle matters,tackle tackle tackle matter	2	aborder préoccupations,se saisir du problème	2	aborder préoccupation,se saisir de problème	2	Figurative,Figurative
tackle point	2	tackle point,tackled points	2	will tackle point,points should be tackled	2	aborderons aborderons point,aspects devraient être abordés	2	aborder point,aborder aspect	2	Figurative,Figurative
tackle problem	90	tackling problem,tackling problem,tackling problems,tackle problem,tackle problem,tackle problem,tackling problem,tackle problems,tackled problem,tackle problems,tackle problems,tackle problems,tackled problems,tackle problems,tackled problems,tackle problem,tackle problems,tackling problems,tackling problems,tackle problem,tackling problem,tackling problem,tackled problems,tackles problem,tackle problem,tackle problems,tackle problems,tackle problems,tackle problems,tackle problems,tackle problems,tackling problem,tackling problems,tackle problems,tackle problem,tackles problem,tackle problem,tackling problems,tackling problems,tackle problems,tackle problem,tackle problem,tackle problems,tackle problem,tackle problem,tackle problem,tackle problem,tackling problems,tackle problem,tackle problem,tackle problem,tackled problem,tackle problem,tackle problem,tackle problem,tackle problem,tackling problem,tackled problems,tackle problem,tackle problem,tackled problems,tackling problem,tackled problem,tackle problem,tackle problem,tackle problems,tackle problem,tackled problems,tackling problem,tackle problems,tackle problems,tackling problem,tackle problem,tackling problem,tackling problem,tackle problem,tackle problem,tackled problem,tackle problem,tackle problem,tackled problem,tackling problem,tackle problem,tackled problems,tackle problems,tackle problems,tackle problems,tackle problem,tackle problem,tackle problems	7	tackling problem,tackling tackling problem,tackling tackling problems,tackle tackle problem,tackle problem,tackle tackle tackle problem,tackling tackling problem,tackle problems,problem must be tackled,tackle problems,tackle problems,tackle problems,problems can be tackled,tackle problems,problems can be tackled,tackle problem,tackle problems,tackling tackling problems,tackling tackling tackling tackling problems,tackle tackle tackle problem,tackling problem,tackling tackling problem,problems wants to be tackled,tackles problem,tackle problem,tackle problems,tackle problems,tackle problems,tackle tackle tackle problems,tackle problems,tackle tackle tackle problems,tackling tackling problem,tackling problems,problems tackle,tackle problem,tackles problem,tackle problem,are tackling tackling problems,tackling problems,tackle tackle tackle tackle tackle problems,tackle problem problem problem problem problem,tackle tackle problem,tackle problems,tackle problem,tackle tackle tackle problem,tackle tackle problem,tackle tackle tackle problem,tackling tackling tackling tackling problems,tackle problem,tackle problem,tackle tackle tackle problem,problem should be tackled,tackle problem,tackle problem,tackle problem,tackle problem,tackling problem,problems was tackled tackled,tackle problem,tackle problem,tackled tackled problems,tackling tackling tackling problem,problem was tackled,tackle problem,tackle tackle problem,tackle tackle tackle problems,tackle tackle tackle problem,problems can be tackled,tackling problem,tackle tackle problems,tackle tackle tackle problems,tackling problem,tackle tackle tackle problem,tackling problem,tackling tackling problem,tackle problem,tackle problem,problem is tackled,tackle tackle tackle problem,tackle problem,problem could could could be tackled,tackling tackling tackling problem,tackle problem problem problem,problems to be tackled,tackle tackle problems,tackle tackle problems,tackle problems,tackle problem,tackle problem,tackle problems	28	résoudre problème,lutte contre problème,résolution des problèmes,lutter contre mal,régler problème,s' attaquer à problème,lutter contre problème,résoudre problèmes,problème s' y attaquer,résoudre problèmes,résoudre problèmes,traiter problèmes,problèmes peuvent être combattus,résoudre problèmes,problèmes peuvent être réglés,affronter problème,résoudre problèmes,résolution de problèmes,en cherchant une solution problèmes,faire face à problème,résoudre problème,solutions à problème,problèmes doit doit doit résoudre,NULL NULL,traiter problème,résoudre problèmes,résoudre problèmes,aborder problèmes,s' attaquer aux problèmes,affronter problèmes,faire face aux problèmes,lutter contre problème,résolution problèmes,problèmes résoudre,gérer phénomène,traite problème,remédier NULL,nous attaquons aux problèmes,aborder problèmes,œuvrent à la résolution de problèmes,prendre problème à bras le corps,face à problème,résoudre problèmes,résoudre problème,s' attaquer à problème,lutter contre problème,faire face à problème,s' est penché sur problèmes,traiter problème,résoudre problème,s' attaquent à problème,problème devrait être réglé,résoudre problème,résoudre problème,régler problème,résoudre problème,affronter problème,problèmes s' attaquer à,NULL NULL,résoudre problème,a abordé problèmes,nous attaquer au problème,problème soit traité,résoudre problème,être résolu problème,s' attaquer aux problèmes,nous attaquer au problème,problèmes peuvent être résolus,attaquer problème,applicable aux problèmes,faire face aux problèmes,envisager solution,vous attaquer au problème,aborder problème,gestion des problèmes,résoudre problème,régler problème,problème aborder aborder,s' attaquer à problème,résoudre problème,problème il serait possible de résoudre,s' attaquer au problème,prendre problème à bras-le-corps,problèmes il doit résoudre,lutter contre problèmes,s' occupent problèmes,pallier problèmes,attaquer problème,traiter problème,résoudre problèmes	56	résoudre problème,lutte contre problème,résolution de problème,lutter contre mal,régler problème,s' attaquer à problème,lutter contre problème,traiter problème,combattre problème,affronter problème,chercher solution à problème,faire face à problème,présenter solution à problème,NULL NULL,aborder problème,gérer phénomène,remédier NULL,œuvrer à la résolution de problème,prendre problème à bras le corps,se trouver face à problème,se pencher sur problème,attaquer problème,applicable à problème,envisager solution,gestion de problème,s' occuper de problème,pallier à problème	27	Literal,Figurative,Literal,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Figurative,Literal,-,Figurative,Figurative,-,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Literal,Literal,Literal,Figurative
tackle question	13	tackle question,tackle question,tackle question,tackle questions,tackling question,tackle question,tackle questions,tackle questions,tackling questions,tackle question,tackle question,tackles questions,tackles question	6	tackle tackle tackle question,tackle tackle question,tackle question,will tackle questions,tackling tackling question,tackle question,questions tackle,questions tackle tackle tackle,tackling questions,tackle tackle tackle question,tackle tackle tackle question,tackles tackles questions,tackles question	10	s' attaquer à problème,nous attaquer question,aborder question,traitera traitera questions,avoir traité question,régler question,questions aborder,questions sur se penche,NULL questions,prendre en considération question,s' attaquent à question,porte sur aspects,aborde problématique	13	s' attaquer à problème,s' attaquer à question,aborder question,traiter question,régler question,se pencher sur question,NULL question,prendre question en considération,porter un dialogue sur aspect,aborder problématique	10	Figurative,Figurative,Figurative,Literal,Figurative,Figurative,-,Literal,Figurative,Figurative
tackle situation	3	tackle situation,tackling situation,tackled situation	3	tackle tackle tackle situation,tackling situation,situation has to be tackled	3	nous attaquer à NULL,traiter situation,situation nécessite nécessite nécessite intervention	3	s' attaquer à NULL,traiter situation,situation nécessite intervention	3	-,Literal,Literal
tackle task	3	tackled task,tackle tasks,tackled task	2	task must be tackled tackled tackled,tasks to tackle tackle,task has been tackled	3	tâche il faut s' atteler à,tâches s' attaquer aux,tâche a été accomplie	3	s' atteler à tâche,s' attaquer à tâche,accomplir tâche	3	Figurative,Figurative,Literal
