Phrases	Anno	Sentences
rencontre de enjeu	Figurative	Je suis convaincue que si nous élaborons cette nouvelle stratégie globale et approfondie en poursuivant les orientations politiques , diplomatiques et opérationnelles de notre engagement au Sahel , nous conférerons un nouvel élan à la lutte contre les différentes menaces et à la rencontre des enjeux présents dans la région .
s'occuper de sujet	Literal	Quant à la question de Mme Lynne sur les paiements provisoires , c' est un sujet dont peut très bien s' occuper le Parlement , étant donné qu' il est lié au budget .
recherche de solution	Literal	N' importe quelle personne à qui vous parlerez du côté palestinien vous dira que ce sont les femmes et les enfants qui ont toujours le plus souffert , mais que ce sont également eux qui ont été les plus persévérants dans la recherche d' une solution à l' absence de négociations , au non-respect des engagements , à l' incapacité de mettre fin au conflit , en d' autres mots au non-respect , tant par Israël que par la Palestine , de leurs engagements , des accords qu' ils ont signé volontairement , au non-respect par les États-Unis et l' Union européenne de leurs engagements en faveur de négociations claires et ouvertes , à l' absence de volonté de la part des autres États bordant Israël et la Palestine à jouer un rôle plus proactif et plus positif en vue de la mise en œuvre , à terme , d' une solution à deux États viable et équitable .
inonder marché	Figurative	En outre , en ce qui concerne la viande ovine , question vitale pour les agriculteurs européens , particulièrement les Irlandais , des accords mal négociés avec la Nouvelle-Zélande font qu' il n' existe aucun contrôle pour empêcher une politique néo-zélandaise délibérée d' inonder le marché européen aux périodes de production maximale .
investir capital	Literal	Ceci est tout particulièrement important pour les entreprises investissant des capitaux de fonds de pension .
soulever question	Figurative	La question que nous soulevons est celle de savoir quel doit être le profil politique de nos relations dix ans après la signature du nouvel agenda transatlantique de 1995 et quinze ans après la déclaration transatlantique de 1990 .
trouver moyen	Literal	J' espère que nous serons bientôt en mesure d' en tirer les conclusions et que nous trouverons le moyen le plus approprié d' empêcher que pareil incident ne se reproduise à l' avenir .
corrompre esprit	Figurative	Grâce au progrès technologique , ces idées sur les droits de l' enfant doivent à présent être liées à la cyber-sécurité , car nous avons vu qu' internet - malgré sa merveilleuse vocation , sa brillante innovation et les opportunités qu' il nous offre à tous - pouvait être utilisé par des personnes voulant corrompre les esprits innocents et détourner l' utilisation de l' internet par le trafic de pédophilie et la pornographie infantile .
présenter solution à problème	Literal	Le Livre vert sur le recours collectif des consommateurs présente différentes solutions à ce problème .
élaborer stratégie	Literal	Nous avons besoin des États membres , nous avons besoin des institutions européennes , nous avons besoin de l' ensemble des partenaires et de la société , nous avons besoin en particulier de l' engagement et du soutien actifs de ce Parlement , du Parlement européen , pour élaborer cette stratégie et pour la communiquer aux citoyens .
évoluer facilement	Literal	J' aimerais donner au commissaire un exemple hypothétique : prenons un fonctionnaire aveugle , âgé de 62 ans ( autrement dit à trois ans seulement de la retraite ) , travaillant dans un bureau extérieur où il est à l' aise et évolue facilement , et où son travail ne suscite aucune plainte ; trouverait -il raisonnable que l' on envisage le transfert obligatoire de cet individu à Bruxelles à ce stade de sa carrière ?
clôturer projet	Figurative	Ce que j' ai entendu au sujet du représentant au Nicaragua indique que le projet n' a pas été correctement clôturé .
fournir document	Literal	"Normalement , je ne prête pas grande attention aux documents fournis par les groupes de pression au sein de ce Parlement , en particulier si ceux-ci émanent de l' industrie , mais j' ai été stupéfaite à la lecture du document "" Cosmétiques - votre choix , notre responsabilité "" rédigé par l' Association européenne des cosmétiques , produits de toilette , et parfums ."
ébranler confiance	Literal	Cela encouragerait les forces extrémistes et ébranlerait la confiance du monde des affaires , et on n' arriverait à rien de plus qu' avec d' autres moyens .
créer incertitude	Literal	C' est particulièrement le cas dans ma région , les West Midlands , où ce retard crée beaucoup d' incertitude au niveau des communautés et des contribuables locaux , qui doivent soutenir financièrement des projets pour des sommes de plusieurs millions de livres , en attendant la solution aux problèmes que j' ai soulignés .
baisser prix	Literal	Ajoutez à cela que nos émissions de CO 2 définies à Kyoto ont dépassé de 22 % le niveau de 1990 - d' ores et déjà 10 % au-dessus de l' objectif fixé pour 2010 - et le fait qu' une suppression ou une diminution de la taxe d' immatriculation ne réduira que peu , voire pas du tout , le prix des voitures , parce que les constructeurs automobiles ont dû baisser leurs prix pour compenser notre régime de taxation élevé - et qu' ils inverseront leurs prix si les charges fiscales sont allégées - , et vous obtenez une situation très compliquée .
briser cercle	Figurative	Nous pouvons briser ce cercle vicieux en reconnaissant la légitimité du travail non rémunéré , en encourageant les femmes à travailler et à affirmer leur indépendance sur le plan économique , en nous attaquant aux causes structurelles de la ségrégation sur le marché du travail et en tenant compte de la situation des femmes dans le cadre de la réforme des régimes de retraite .
relever défi	Figurative	J' ai bon espoir que la nouvelle politique de la dimension septentrionale , dont la gestion sera à l' avenir partagée entre l' Union européenne , la Russie , la Norvège et l' Islande , bénéficie de manière substantielle à la région de la mer Baltique , car aucun des défis auxquelles celle-ci se voit confrontée ne peut être relevé sans une véritable participation de la Russie , tout comme aucun des défis auxquels doit faire face la mer de Barents ne peut être traité sans la Russie et la Norvège .
résolution de question	Literal	Dans le cadre de sa proposition de législation , la Commission inclura dès lors un programme de durabilité des biocarburants , pour veiller à ce que le secteur des biocarburants joue son rôle dans la résolution de cette question .
finaliser accord	Literal	Je suis persuadé qu' avec l' aide du Parlement européen , nous serons en mesure de finaliser un bon accord pour les deux parties .
endommager confiance	Literal	Il convient de se rappeler que l' information publique est importante si nous voulons obtenir la confiance du public , et le pavillon bleu a suscité cette confiance : nous devrions prendre garde à ne pas l' endommager .
accroitre économie	Literal	Pour simplifier , davantage d' échanges commerciaux accroissent significativement l' économie d' une nation , par l' augmentation de son PIB .
appréhender problème	Literal	La création d' une agence spécifique pour toutes les questions d' immigration légale et illégale serait très utile pour appréhender ces problèmes de manière complète et intégrée .
terminer par remarque	Literal	Je terminerai par deux remarques .
apparaître idée	Literal	Ils me sont chers à moi aussi et je peux donc comprendre pourquoi d' autres idées sont apparues afin de donner forme à ces principes via d' autres mécanismes possibles .
affronter défi	Literal	Nous entendons affronter les défis de façon ambitieuse et globale .
organiser conférence	Literal	Premièrement , concernant la sécurité sociale et le marché du travail , le rapport demande à la Commission d' organiser avant la fin de cette année une conférence internationale réunissant les États membres et les pays candidats et consacrée à la question des travailleurs frontaliers .
lutter contre crise	Literal	Enfin , nous devons rester concentrés sur la lutte contre la crise économique .
arrive à entrer dans	Literal	Dès lors , on en arrive à la situation d' un vaisseau transportant un chargement dangereux qui arrive à entrer dans un port en manipulant ces contradictions .
poser problème	Figurative	L' absence , dans certains pays ACP , de mécanismes permettant d' entamer des négociations avec la société civile pose un véritable problème .
vaincre problème	Figurative	Nous avions besoin d' une législation spécifique pour vaincre ce problème , à l' instar de ce que les États-Unis et certaines régions d' Espagne ont mis en place et qui fonctionne efficacement .
aborder axe	Figurative	Ses trois axes principaux ont été abordés de façon appropriée dans la position commune , qui reprend également de nombreuses suggestions faites par le Parlement en première lecture .
évoquer question	Figurative	J' ai évoqué la question du chevauchement d' ordre technique entre deux agences - l' ETF et le Cedefop - dans mon allocution introductive , mais je voudrais une fois encore souligner que la contribution de ces agences peut s' avérer cruciale , particulièrement dans le cadre de l' augmentation du taux d' emploi des objectifs de la stratégie ' Europe 2020 ' .
respecter priorité	Literal	Le fait que la présidence irlandaise ait accordé la priorité à la question de la drogue , et que tous les députés qui se sont exprimés dans l' hémicycle ce matin , c' est-à-dire la quasi totalité d' entre eux , considèrent le problème de la drogue comme une priorité devant être respectée par cette présidence donne carte blanche à la présidence irlandaise pour aller de l' avant et s' attaquer à ce problème comme elle jugera bon de le faire .
trouver excuse	Literal	Pouvons -nous réellement rétablir la confiance et susciter l' enthousiasme parmi les électeurs si nous continuons de mener nos politiques d' une élection nationale à l' autre , en trouvant dans celles-ci une bonne excuse pour ne pas appliquer les politiques communes ?
pallier à problème	Figurative	Je me réjouis profondément de cette mesure intelligente visant à pallier l' un des problèmes essentiels entravant l' explosion potentielle du commerce électronique à travers l' Europe , à savoir la difficulté de vérification de l' identité des utilisateurs et consommateurs .
répondre à question	Literal	Les instituts de recherche et les scientifiques attendent une action rapide et coordonnée de la Commission et du Conseil pour répondre à cette question , de sorte à leur fournir des chances égales de participer aux programmes-cadres .
prise en considération de besoin	Literal	Pour ce qui est de Tchernobyl , un soutien important fourni par l' UE a trait à la transformation du sarcophage en un système acceptable sur le plan environnemental , ainsi qu' à la prise en considération des besoins sociaux .
abandonner proposition	Literal	Je pense que cette proposition ne doit pas être abandonnée , mais il est évident qu' aucun consensus ne pourra être dégagé dans l' état actuel des choses .
encourager économie	Figurative	Collaborons plutôt afin d' obtenir un résultat qui encourage l' économie mondiale , crée une confiance politique et aide les démunis de ce monde .
tenir propos	Literal	Je sais que notre commissaire partage elle aussi cet avis sur l' héritage de M. Monti , car elle a tout récemment prononcé un discours à l' université de Bocconi et a tenu des propos très semblables au sujet de la contribution de M. Monti .
rechercher solution	Literal	Ce processus a vu le jour à Laeken il y a de nombreuses années et a impliqué différents organes démocratiques et des discussions au fil des ans afin de rechercher une solution commune qui permettrait de prendre des décisions de manière à la fois efficace , plus moderne et plus démocratique .
injecter argent	Figurative	Je veux que le commissaire garantisse que quelles que soient les mesures mises en ? uvre , celles-ci seront harmonisées au sein de l' Union européenne et financées de manière harmonisée , de sorte qu' aucun État membre ne puisse injecter davantage d' argent qu' un autre afin de soutenir son secteur en particulier .
remarque avoir trait à	Figurative	J' ai été extrêmement ravie de certaines des remarques du commissaire Verheugen ce matin , qui avaient davantage trait à la politique industrielle .
écorner confiance	Figurative	Je crains que cette confiance ne soit écornée si de la viande potentiellement contaminée venait à entrer dans la chaîne alimentaire .
comprendre raison	Figurative	J' ai dit au contraire que nous comprenions tout à fait ces raisons et que Mme Garaud avait toute notre sympathie .
amélioration de économie	Literal	Fournir une aide humanitaire c' est uniquement une approche à court terme - notre objectif doit être l' amélioration de l' économie .
régler question	Figurative	Nous devrons veiller à que la directive européenne qui règlera cette question ne contienne pas d' échappatoire et à ce qu' elle soit appliquée correctement dans tous les États membres .
s'attaquer à situation	Figurative	En conclusion , nous devons trouver le moyen de combiner les mesures et de nous attaquer à la situation .
toucher à question	Figurative	En fait , cette directive , comme tant d' autres directives touchant aux questions environnementales , n' est pas bonne .
préciser point	Figurative	Permettez -moi , Monsieur le Président , de préciser un autre petit point qui a toutefois son importance dans le contexte d' une proposition de résolution .
aborder inquiétude	Figurative	Néanmoins , je veux insister sur l' inquiétude et l' angoisse qu' engendre cette initiative de la Commission en particulier et , en fait , le rapport de M. Costa , bien que je pense personnellement que la plupart de ces inquiétudes ont été pleinement abordées en commission où , je le sais , il y a un soutien général du travail de M. Costa .
lancer idée	Figurative	Le premier concerne la création d' un Fonds monétaire européen , qui est absolument indispensable et qui était une idée également lancée par M. Schäuble , le ministre allemand des finances .
insuffler vie	Figurative	Ce serait plus facile pour nous si nous disposions de quelque indication sérieuse de la véritable intention d' Israël d' insuffler une nouvelle vie dans le processus de paix .
s'attacher à question	Figurative	Tout d' abord , je voudrais m' attacher à la question de l' amélioration de la législation pénale existante des États membres en ce qui concerne la criminalisation des trafiquants d' êtres humains à des fins d' exploitation sexuelle .
fausser jugement	Literal	Nous devrions considérer cette Commission comme un collège et , alors que les commissaires individuels doivent être tenus pour responsables , nous devons toutefois apprécier objectivement la situation et veiller à ce que des politiques de partis européens ou des politiques internationales ne faussent notre jugement .
examiner les moyens de sortir	Figurative	Si je réunissais autour d' une même table les représentants de l' industrie , concessionnaires et constructeurs , accepteriez -vous de vous joindre à eux pour examiner les moyens de sortir de cette situation en ayant , si besoin est , recours aux instruments de la concurrence ?
cumul de vie	Figurative	Nous pouvons légiférer contre la discrimination sur le lieu de travail , mais pas contre les pressions liées au cumul d' une vie professionnelle , d' une vie de famille et d' un foyer à gérer .
axer sur question	Figurative	Je pense que le financement de la science et de la recherche doit être prioritairement axé sur l' excellence .
porter un dialogue sur aspect	Literal	Bon nombre des parties directement concernées , ou de ceux qui ont toutes les données en main , reconnaissent la nécessité réelle d' un dialogue qui porte en même temps sur tous les aspects politiques et économiques , de façon à ce que chaque avancée fasse évoluer un ensemble envers lequel toutes les parties restent engagées .
digérer contenu	Figurative	Néanmoins , il se peut que vous n' ayez pas eu le temps d' en digérer le contenu , c' est pourquoi je résumerai brièvement les principaux points .
évoquer idée	Figurative	Nous évoquons également dans cette question l' idée d' instaurer un fonds de réserve destiné aux indemnisations , mais il ne faut pas considérer ceci comme une demande de notre part ou de celle de la Commission .
résolution de problème	Literal	Par ailleurs , il y a une opposition généralisée à cette idée , à juste titre , soulignant que sa nécessité nous détourne dangereusement de la résolution des problèmes qui sont réellement en jeu. .
améliorer service	Literal	Les dirigeants de l' UE y ont souligné la nécessité d' améliorer nos services de télécommunications dans leurs ensemble .
lecture de livre	Literal	Je ne veux pas m' attarder sur les livres , mais je viens de terminer la lecture du livre de Davis Landis Barnill sur ce qui rend certains pays prospères et d' autres moins prospères , et il est intéressant de noter l' importance qu' il attache aux questions ayant trait au genre dans la prospérité économique et la stabilité politique des sociétés depuis des millénaires .
s' agir idée	Figurative	Il ne s' agit que d' une simple idée .
saturer marché	Figurative	Le problème est le suivant : si vous commercialisez une importante quantité supplémentaire de viande de volaille sur les marchés internationaux - déjà saturés - et faites preuve de désinvolture dans l' utilisation des fonds publics servant à la subventionner , cette viande est susceptible de revenir sur le marché européen .
amener réflexion	Figurative	Monsieur le Président , Monsieur le Commissaire , chers collègues , j' aimerais amener deux réflexions au rapport de M. Inglewood .
payer redevance	Literal	Jadis , les personnes embarquaient au péril de leur vie à bord de navires mal équipés ; aujourd ' hui , les pêcheurs ont la capacité technique de repérer les bancs de poissons et de les exploiter , et ils devraient payer une redevance pour cela .
comprendre question	Literal	Je comprends tout à fait cette question .
envisager solution	Literal	Je voudrais donc demander à Madame le Commissaire si elle pourrait nous rencontrer , Mme Morgan et moimême , pour tenter d' envisager des solutions pratiques .
aborder question	Literal	La réunion prévue à Gaza demain entre le président Abbas et le Premier ministre Olmert a malheureusement été annulée , mais , au moins , les dirigeants du G 8 aborderont demain la question du conflit israélo-palestinien , comme nous l' avons fait à l' occasion de la réunion des ministres des affaires étrangères du G 8 .
problème faire l’objet d’attention	Literal	Si certains problèmes doivent faire l' objet d' une attention particulière , par exemple en cas d' inquiétudes concernant les personnes pauvres , vulnérables et défavorisées , nous devons mettre en œuvre des mesures sociales alternatives pour assister les intéressés et ne pas céder à la tentation d' une solution à court terme telle qu' une réduction de la fiscalité .
s' attaquer à défi	Figurative	J' espère que je n' aurai plus d' autres adieux à faire concernant la Turquie dans cette enceinte , et que nous pourrons aller de l' avant pour nous attaquer aux grands défis économiques et autres de l' Union européenne .
émettre idée	Figurative	L' idée d' un sommet spécial consacré au Liban dans le cadre de la Ligue arabe a été émise récemment .
s’occuper de question	Literal	Bien que je ne partage pas ses conclusions , je crois qu' il a illustré , dans son rapport , un grand nombre de questions dont la Commission doit s' occuper .
obtenir résultat	Literal	Tout cela doit être mis en place afin de garantir que nous obtenions les meilleurs résultats possibles pour le travail qui a été fourni et pour les dépenses qui ont été consenties .
aborder thème	Literal	Au lieu de s' ingérer de la sorte , nous devrions aborder les thèmes pour lesquels il est constructif pour les États membres de travailler ensemble en vue de développer des normes communes .
pousser vers la sortie	Literal	Prions , pleins d' espoir - pour le bien des Américains autant que pour celui du reste du monde - , pour que , très prochainement , M. Bush et ses associés bellicistes soient eux aussi poussé vers la sortie .
promotion de débat	Literal	Le Parlement européen et les acteurs de la société civile jouent traditionnellement un rôle crucial en termes de soutien apporté aux efforts abolitionnistes et de promotion du débat sur les moyens d' améliorer notre politique consentis par l' Union européenne .
développer maladie	Figurative	Il existe un lien évident entre l' exercice physique et la santé , au vu des maladies que l' on risque de développer si on ne bouge pas comme il se doit .
détention de drogue	Literal	Là où le texte de M. Pirker expose les peines en vigueur pour le trafic , la détention et la consommation de drogues de synthèse , les verts cherchent à éliminer la référence à la consommation .
stimuler croissance	Figurative	Monsieur le Président , Monsieur le Commissaire , le commerce électronique offre à l' Union européenne une occasion unique de stimuler sa croissance économique , d' accroître la compétitivité de son industrie et de créer de nouveaux emplois .
s' attaquer à problème	Figurative	Ce paquet représente une opportunité pour l' Europe pour se montrer sous son meilleur angle : s' attaquer à un problème d' importance fondamentale à long terme ; utiliser au mieux la dimension continentale de l' Union européenne ; transformer le consensus politique en mesures concrètes .
situation nécessite intervention	Literal	Cette situation nécessite une intervention , car les impôts prélevés sur les paysans ont considérablement augmenté ces derniers temps , à cause de cette modernisation .
s' attaquer à tâche	Figurative	Il s' agit là de tâches considérables auxquelles l' UE essaie de s' attaquer dans le plan d' action proposé .
faire face à défi	Literal	Le mouvement sportif cherche l' assistance des institutions européennes pour faire face aux défis posés par les agents .
conclusion de accord	Literal	Je sais qu' il a fait un compte rendu aux députés juste après que l' accord a été paraphé : il a téléphoné au député pour l' informer de la conclusion de l' accord .
trouver manière	Literal	Je suis sûr que les chefs d' État ou de gouvernement , ainsi que les députés ici présents , la considéreront dans l' esprit dans lequel elle est conçue : oui , il s' agit de quelque chose de différent , mais quelque chose qui peut donner l' exemple d' une Europe prenant une direction nouvelle et trouvant de nouvelles manières de collaborer .
s' attaquer à question	Literal	Il en va aussi de notre créativité , de notre cohérence , il s' agit de prendre au sérieux les intérêts de nos partenaires et de nous montrer ambitieux s' agissant d' ouvrir notre marché commercial et de nous attaquer à la question de la mobilité .
clôturer affaire	Figurative	Lorsqu'une solution à l' amiable n' est pas possible , je clôture l' affaire avec une remarque critique ou propose un projet de recommandation .
constituer remise en question	Literal	Plus fondamentalement , le cadre de négociation de titres a subi des bouleversements radicaux qui constituent de nouvelles remises en question pour la législation de l' UE .
divulguer rapport	Literal	Je voudrais également profiter de cette occasion pour réfuter les accusations non fondées exprimées par l' ambassadeur du Pakistan à Washington selon lesquelles la MOE de l' UE aurait divulgué un rapport intermédiaire d' information .
développement de économie	Literal	Au lieu de cela , nous pourrions aider au développement de l' économie de nos voisins européens et des pays du tiers-monde en leur ouvrant des possibilités de libre-échange .
être source de confusion	Literal	Rejeter Nice serait source de retard et de confusion .
améliorer activité	Literal	Cela signifie que nous ne disposons pas seulement de la perspective de ce sommet du Caire , mais aussi d' une base bien établie pour continuer , élargir et améliorer nos activités quotidiennes .
établir connexion	Figurative	Nous devons gagner la confiance des contribuables européens et pour ce faire , nous ne pouvons qu' augmenter la responsabilité en simplifiant - et non en compliquant - le travail du Parlement , en diminuant le jargon , en améliorant le processus d' approbation des législations , en améliorant la machine législative et en établissant une connexion claire entre ce que nous faisons ici et de quelle manière l' individu en tire profit .
entamer confiance	Figurative	J' espère de tout cœur que l' Iran se réengagera dans ces processus et saisira l' occasion de clarifier sa position , de dissiper les malentendus et de commencer à rétablir une confiance générale , qui a été gravement entamée par les récentes déclarations .
comprendre problème	Literal	Je ne comprends pas le problème .
mettre fin à enquête	Literal	C' est à l' Égypte de nous montrer ici dans cette Assemblée qu' elle prend les droits de ses minorités sérieusement , de demander la fin des discriminations contre ces minorités , de libérer les homosexuels et de mettre fin aux enquêtes dont ils font l' objet sur tout le territoire égyptien et qui préoccupent cette Assemblée .
lire article	Literal	Ces deux articles , quelque soit leur combinaison , doivent être lus l' un avec l' autre .
consacrer argent	Figurative	Plutôt que d' investir des milliards d' euros dans de nouvelles centrales nucléaires , nous devrions consacrer cet argent au développement des sources d' énergie renouvelable .
gestion de problème	Literal	L' Association des compagnies aériennes européennes a été jusqu'à suggérer que certains gouvernements , en particulier le gouvernement britannique , faisaient preuve d' une certaine complaisance dans la gestion des problèmes de congestion du trafic aérien .
émettre remarque	Literal	J' aimerais à présent émettre deux remarques à l' égard de M. García-Margallo y Marfil et de Mme Kauppi .
résoudre crise	Literal	Nous connaissons actuellement une crise , en particulier dans l' agriculture , et cette crise doit être résolue .
encourager débat	Literal	Des événements tels que la crise de l' ESB ou la crise de la dioxine ont encouragé un débat public de plus en plus large sur les circonstances dans lesquelles une mesure de précaution est justifiée et nécessaire .
répondre à défi	Literal	Je suis tout à fait d' accord avec vous , et je suis sûr qu' avec votre soutien et celui des gouvernements des États membres , la nouvelle Commission sera en mesure de répondre aux défis à venir .
question s’adresser	Literal	La deuxième question s' adresse en fait plus largement au Parlement : allons -nous mettre en place un comité de liaison permanent composé de parlementaires et chargé des questions de développement et de coopération afin de présenter à l' Assemblée générale des Nations unies un rapport annuel sur notre coopération ?
