pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
address topic	1	address topics	1	address topics	1	aborder sujets	1	aborder sujet	1	Literal
attract worker	3	attracted workers,attract workers,attract workers	2	workers workers workers attracted,attract workers,attract workers	2	main- d' œuvre attirer,attirer professionnels,attirer professionnels	2	attirer main d'oeuvre,attirer professionnel	2	Figurative,Figurative
cancel project	1	cancel project	1	cancel cancel project	1	qu' annule projet	1	annuler projet	1	Literal
cause confusion	2	causes confusion,caused confusion	2	causes confusion,would have caused caused confusion	2	suscite confusion,serait serait source de confusion	2	susciter confusion,être source de confusion	2	Literal,Figurative
cause death	3	cause death,causes deaths,caused death	3	cause death,causes causes causes deaths,death caused caused	3	provoque mort,est responsable de décès,décès imputables à	3	provoquer mort,être responsable de décès,décès imputable à	3	Literal,Literal,Literal
cause reaction	1	cause reaction	1	cause reaction	1	causer réaction	1	causer réaction	1	Literal
cause uncertainty	1	causing uncertainty	1	is causing uncertainty	1	crée crée incertitude	1	créer incertitude	1	Literal
corrupt mind	1	corrupt minds	1	corrupt minds	1	corrompre esprits	1	corrompre esprit	1	Figurative
damage confidence	9	damaged confidence,damaged confidence,damage confidence,damaged confidence,damage confidence,damaged confidence,damaged confidence,damage confidence,damage confidence	2	have damaged confidence,confidence has been damaged,confidence damage,confidence has been damaged,would damage confidence,confidence will will be be damaged damaged,confidence has been damaged,will damage confidence,damage confidence	7	ont terni confiance,confiance a été affaiblie,confiance endommager,confiance a été entamée,soit écornée confiance,confiance se retrouvera se retrouvera en lambeaux,confiance ont été frappées,perdions perdions confiance,perdre confiance	9	ternir confiance,affaiblir confiance,endommager confiance,entamer confiance,écorner confiance,retrouver confiance en lambeaux,frapper confiance,perdre confiance	8	Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Literal
end agreement	2	end agreement,ending agreement	2	end end end end agreement,ending ending ending ending agreement	2	mettre un terme à accord,mettre un terme à accord	1	mettre terme à accord	1	Figurative
end contract	1	end contract	1	end end end contract	1	mettre fin au contrat	1	mettre fin au contrat	1	Literal
end investigation	1	end investigations	1	end end end investigations	1	mettre fin aux enquêtes	1	mettre fin à enquête	1	Literal
finalise agreement	2	finalised agreement,finalised agreements	2	had finalised finalised agreement,are having finalised agreements	2	conclusion conclusion de accord,ont été finalisés accords	2	conclusion de accord,finaliser accord	2	Literal,Literal
finalize deal	1	finalize deal	1	finalize deal	1	finaliser accord	1	finaliser accord	1	Literal
forget problem	1	forget problems	1	forget problems	1	oublions problèmes	1	oublier problème	1	Literal
get chance	1	get chance	1	get get chance	1	que ayons occasion	1	avoir occasion	1	Literal
get disease	2	gets disease,get diseases	2	gets disease,diseases get	2	contracte maladie,maladies développer	2	contracter maladie,développer maladie	2	Figurative,Figurative
get information	2	get information,get information	1	get information,get information	1	obtenir informations,fournis documents	2	obtenir information,fournir document	2	Literal,Literal
get message	1	got message	1	got got message	1	ai compris message	1	comprendre message	1	Literal
get opportunity	2	got opportunity,get opportunity	2	got got opportunity,get get opportunity	2	a eu occasion,profitent de programmes	2	avoir occasion,profiter de programme	2	Literal,Literal
get result	3	get results,getting result,get result	3	get results,getting getting result,will get result	3	obtenions résultats,avoir obtenu résultat,sera sera résultat	3	obtenir résultat,résultat être	2	Literal,Literal
improve economy	7	improve economy,improving economy,improve economy,improve economies,improve economies,improve economy,improve economies	3	improve economy,improving improving economy,improve economy,improve economies,improve improve economies,improve economy,improve economies	4	améliorer économie,amélioration de économie,améliorer économie,améliorer économies,développement de économie,améliorer économie,NULL NULL	5	améliorer économie,amélioration de économie,développement de économie,NULL NULL	4	Literal,Literal,Literal,-
improve service	3	improve services,improve services,improve services	1	improve improve services,improve services,improve services	2	amélioration des services,améliorer services,améliorer services	2	amélioration de service,améliorer service	2	Literal,Literal
improve situation	7	improve situation,improve situation,improving situation,improving situation,improve situation,improve situation,improving situation	2	improve situation,improve situation,improving situation,improving situation,improve situation,improve situation,improving situation	2	améliorer situation,améliorer situation,améliorer situation,améliorer situation,améliorer NULL,améliorer situation,améliorer situation	2	améliorer situation,améliorer NULL	2	Literal,-
improve system	5	improving system,improve system,improve system,improving systems,improve systems	4	improving system,improve system,improve system,Improving Improving Systems,improve systems	4	améliorer système,améliorer système,améliorer système,amélioration des systèmes,améliorer systèmes	3	améliorer système,amélioration de système	2	Literal,Literal
improve work	2	improve work,improve work	1	improve work,improve work	1	améliorer activités,améliorer travail	2	améliorer activité,améliorer travail	2	Literal,Literal
invest money	17	invest money,investing money,invest money,investing money,invest money,investing money,invested money,investing money,invested money,investing money,invest money,invested money,invest money,invest money,investing money,invested money,invested money	3	money invest,investing money,invest invest money,investing money,invest money,investing money,have invested money,investing money,money is invested,investing money,invest money,money invested,invest money,money money,investing money,money invested,money be invested	9	argent investissent,investissant capitaux,investissement de argent,investir argent,investir argent,investissons ressources,ont investi sommes,investir argent,fonds sont investis,investir argent,investir NULL,argent investi,investir argent,consacrer argent,investir argent,argent placé,revenus être investi	12	investir argent,investir capital,investissement de argent,investir ressource,investir somme,investir fond,investir NULL,consacrer argent,placer argent,investir revenu	10	Literal,Literal,Literal,Literal,Literal,Literal,-,Figurative,Figurative,Literal
make comment	24	make comments,made comments,making comments,make comments,make comments,make comments,make comments,made comment,made comments,make comment,make comment,made comments,made comments,made comments,made comments,make comment,make comments,made comment,make comments,make comment,make comment,make comments,make comments,make comment	5	make comments,have made comments,making comments,make comments,make comments,make comments,comments to make,comment was made,have made comments,make comment,make comment,comments made,comments have been made,have made comments,comments made,make comment,make comments,have made made made made comment,make comments,make comment,make make comment,make comments,make comments,make comment	10	faire remarques,NULL NULL propos,faire commentaires,commenter commenter,faire commentaires,faire commentaires,commentaires à faire,commentaire fait fait,avez faites observations,faire observation,faire commentaire,remarque NULL,commentaires formulés formulés formulés,ai fait commentaires,commentaires émis,faire observation,faire commentaires,agissait il s' agissait d' observation,faire observations,faire commentaire,me prononcer NULL,amener réflexions,faire commentaires,ferai commentaires	18	faire remarque,faire commentaire,commenter,commentaire à faire,faire observation,formuler commentaire,émettre commentaire,s' agir de observation,se prononcer,amener réflexion,NULL propos,NULL remarque	12	Literal,Literal,-,Literal,Literal,Literal,Literal,Literal,-,Figurative,-,-
make connection	2	made connection,making connection	2	connection can be made,by making connection	2	relation on peut établir,en établissant connexion	2	établir relation,établir connexion	2	Literal,Figurative
