pair	inflected_pair	alignments	Source Language	Target Language
('make', 'remark')	('made', 'remarks')	[('remarks', 'remarques'), ('that', 'formulées'), ('are', 'formulées'), ('made', 'formulées')]	Yet we hear from remarks that are made from time to time by the Commission that there are real problems and we find it difficult to do our job within this Parliament without that degree of transparency .	Cependant , nous sommes forcés de constater au vu des remarques formulées de temps en temps par la Commission qu' il existe de réels problèmes et nous trouvons difficile d' effectuer notre travail au sein de ce Parlement sans que soit atteint ce degré de transparence .
('address', 'problem')	('addressing', 'problem')	[('are', 'pourrions'), ('addressing', 'pourrions'), ('are', 'traiter'), ('addressing', 'traiter'), ('problem', 'problème')]	Do you not foresee an opportunity here to bring ECHO under your policy-making umbrella so that we have a more cohesive approach to emergencies when they arise ; so that we do not have this problem of different instruments ; so that we are addressing the problem with one mind and can then deliver with urgency and efficiency ?	N' envisagez -vous pas la possibilité de placer ECHO sous votre responsabilité politique afin que le traitement des situations d' urgence , au moment où elles surviennent , soit plus cohérent ; ainsi , nous n' aurions pas ce problème d' instruments différents ; ainsi , nous pourrions traiter le problème comme un seul homme et travailler vite et efficacement ?
('address', 'problem')	('addressed', 'problem')	"[('problem', 'problème'), ('be', ""s'""), ('be', 'attaquer'), ('be', 'à'), ('addressed', ""s'""), ('addressed', 'attaquer'), ('addressed', 'à')]"	The problem needs to be addressed urgently in my opinion , with demographic pressures in recent years already generating deficits in the pay-as-you-go schemes in France , Germany , Italy and Spain .	Je pense qu' il est urgent de s' attaquer à ce problème dans la mesure où les pressions démographiques ont déjà , ces dernières années , généré des déficits dans les systèmes de retenue à la source en France , en Allemagne , en Italie et en Espagne .
('make', 'remark')	('make', 'remarks')	[('make', 'exprimer'), ('remarks', 'remarques')]	- ( SV ) As representatives of the Swedish Christian Democrats , who view enlargement towards the East as being clearly the most important issue for the EU , I wish to make the following remarks before the Heads of Government and State discuss the European Union ' s powers and forms of decision making at the forthcoming Intergovernmental Conference .	. ( SV ) En tant que représentant des chrétiens-démocrates suédois , qui considèrent l' élargissement de l' UE vers l' est comme l' une des questions dont l' importance est la plus évidente , je voudrais exprimer les remarques suivantes , en vue du travail que nos gouvernements et chefs d' États sont appelés à effectuer , au sein de la conférence dite intergouvernementale , sur les compétences et les processus de décision de l' Union européenne .
('address', 'problem')	('address', 'problem')	[('address', 'aborder'), ('problem', 'problème')]	Finally , I have to address the problem of Parliament in Strasbourg .	Pour terminer , je voudrais aborder le problème du Parlement par rapport à Strasbourg .
('address', 'problem')	('address', 'problem')	[('address', 'se'), ('address', 'pencher'), ('address', 'sur'), ('problem', 'problème')]	I ask Parliament , Commission and the Council of Ministers to address that problem .	Je demande au Parlement , à la Commission et au Conseil de ministres de se pencher sur ce problème .
('address', 'question')	('address', 'question')	[('address', 'aborder'), ('question', 'question')]	What I would like to address , before I look at the substance , is the question behind this question , - that is what we really have to look at here .	Avant d' envisager le fond , je voudrais aborder la question qui se cache derrière cette question - c' est vraiment ce que nous devons envisager .
('address', 'problem')	('address', 'problems')	[('failed', 'a'), ('failed', 'pas'), ('to', 'a'), ('to', 'pas'), ('address', 'abordé'), ('problems', 'problèmes')]	Whilst it has supported projects in Asia to a great degree it has failed to address properly and with sufficient vigour the problems of refugees and internally displaced people in Latin America .	Bien qu' elle ait fortement soutenu des projets en Asie , elle n' a pas abordé de façon adéquate et avec suffisamment d' énergie les problèmes des réfugiés et des populations déplacées à l' intérieur de leur pays en Amérique latine .
('address', 'problem')	('address', 'problem')	[('failed', 'a'), ('failed', 'pas'), ('to', 'a'), ('to', 'pas'), ('address', 'abordé'), ('problem', 'problème')]	It is a disgrace that with this regulation the European Commission in the past has failed to address this problem .	C' est une honte que , malgré ce règlement , l' Union européenne n' a pas abordé ce problème dans le passé .
('get', 'disease')	('gets', 'disease')	[('gets', 'contracte'), ('disease', 'maladie')]	If one of those animals gets a disease , why kill the whole herd ?	Si l' un des animaux contracte la maladie , pourquoi faut -il abattre tout le troupeau ?
('address', 'problem')	('addressing', 'problems')	[('is', 'est'), ('addressing', 'en'), ('addressing', 'train'), ('addressing', 'de'), ('addressing', 'traiter'), ('problems', 'problèmes')]	The Commission is addressing many of these problems which you identify at the moment .	La Commission est en train de traiter un grande nombre des problèmes auxquels vous faites référence pour le moment .
('address', 'question')	('addressed', 'questions')	[('questions', 'questions'), ('be', 'être'), ('addressed', 'traitées')]	We think that though questions of readmission are no doubt relevant , they should be mainly addressed in the readmission agreements that the Union is now negotiating with third countries .	Nous pensons bien sûr que les questions de réadmission sont importantes , mais qu' elles doivent être traitées par les accords de réadmission que l' Union négocie actuellement avec les pays tiers .
('make', 'remark')	('make', 'remark')	[('make', 'faire'), ('remark', 'remarque')]	If I might make a remark about a currently controversial topic in my own country , I think it is a pity to see such vigorous efforts being made to de-mutualise excellent old mutual assurance companies which fully express the collective aspect of insurance , and I am sad to think of a raid being made on the Standard Life in this way .	Permettez -moi de faire une remarque relative à une controverse en cours dans mon pays : je regrette de voir autant d' efforts déployés pour démutualiser d' anciennes compagnies d' assurance mutuelle qui personnalisent pleinement et avec excellence l' aspect collectif de l' assurance et l' idée d' une tentative de rachat de la compagnie Standard Life m' attriste profondément .
('address', 'question')	('addressed', 'question')	[('question', 'question'), ('has', 'a'), ('been', 'été'), ('addressed', 'abordée')]	The question of tobacco growing subsidy has not been addressed in this report .	La question des subventions accordées à la culture du tabac n' a pas été abordée dans le rapport .
('address', 'question')	('addresses', 'question')	[('addresses', 'aborde'), ('question', 'question')]	I should like to say that this proposal on temporary protection addresses explicitly the question raised by several speakers on burden-sharing as we have adopted an approach on burden-sharing on the proposal we have already submitted to the Council for a European fund for refugees .	Je voudrais dire que cette proposition sur la protection temporaire aborde de manière explicite la question soulevée par plusieurs intervenants sur le partage de la charge , étant donné que nous avons adopté une approche concernant ce problème dans la proposition de création d' un Fonds européen pour les réfugiés que nous avons déjà soumise au Conseil .
('address', 'problem')	('addressing', 'problem')	[('addressing', 'NULL'), ('problem', 'problème')]	A key remedy for addressing this very real problem is the effective use of exit strategies as a prerequisite to the awarding of funding .	Une solution essentielle à ce réel problème est l' usage efficace des stratégies de sortie en tant que condition préalable à l' attribution des fonds .
('address', 'problem')	('address', 'problem')	"[('address', ""s'""), ('address', 'attaquer'), ('address', 'à'),('problem', 'problème')]"	They want to address this problem .	Ils veulent s' attaquer à ce problème .
('pose', 'question')	('pose', 'question')	[('pose', 'poser'), ('question', 'question')]	There has been much debate in recent months about the strength or otherwise of the currency and I would like to pose a very simple question to the detractors of EMU .	On a beaucoup discuté ces derniers mois de la force ou de la faiblesse de la monnaie et je voudrais poser une question très simple aux détracteurs de l' UEM .
('address', 'problem')	('addressing', 'problem')	[('addressing', 'aborder'), ('problem', 'problème')]	Mr Karas acknowledges a high level of support for the euro but also some shortcomings in the provision of information within the euro zone and I support his ideas for addressing that problem .	M. Karas reconnaît que l' euro bénéficie d' un large soutien , mais qu' il existe aussi quelques lacunes dans la fourniture d' informations au sein la zone euro , et je soutiens les idées qu' il a présentées pour aborder ce problème .
('reduce', 'price')	('reducing', 'price')	[('reducing', 'réduction'), ('reducing', 'du'), ('price', 'prix')]	In my own country this would mean GBP 45 - 55 or EUR 70 - 90 per animal without any benefit in return and , as Mr Goodwill has already said , the scheme could have the effect of reducing the market price of certain categories of cattle , particularly of young bulls .	Dans mon pays , cela reviendrait à 45 - 55 livres sterling ou 70 - 90 euros par animal , sans aucun bénéfice en retour et , comme l' a déjà souligné M. Goodwill , ce projet pourrait entraîner une réduction du prix marchand de certaines catégories de bestiaux , notamment des jeunes taureaux .
('address', 'problem')	('addressing', 'problem')	[('addressing', 'aborder'), ('problem', 'problème')]	I would like to congratulate Commissioner Palacio for having the initiative to bring this to our committee in the terms that she did , and with the force and verve that she has shown , initially , in setting up the high level group , and also in the leadership that she has given to addressing this problem .	Je voudrais féliciter la commissaire de Palacio pour avoir pris l' initiative d' en référer à notre commission dans les termes qu' elle a utilisés , avec la force et la verve dont elle a fait preuve initialement en établissant le groupe de haut niveau , ainsi que dans le leadership dont elle a fait usage pour aborder ce problème .
('address', 'problem')	('address', 'problems')	[('address', 'aborder'), ('problems', 'problèmes')]	Unfortunately this report fails to make the vital link between congestion and air traffic reduction and therefore misses a vital opportunity to address these problems in a lasting manner .	Malheureusement , ce rapport n' établit pas le lien vital entre congestion et réduction du trafic aérien et manque , dès lors , une occasion unique d' aborder ces problèmes de manière durable .
('address', 'problem')	('address', 'problem')	[('problem', 'problème'), ('address', 'auquel'), ('address', 'nous'), ('address', 'attaquer')]	It is a clear problem that we need to address .	Il est clair que c' est un problème auquel nous devons nous attaquer .
('address', 'problem')	('addresses', 'problem')	[('addresses', 'touche'), ('addresses', 'au'), ('problem', 'problème')]	But it also addresses this problem of undeclared work .	Mais une telle politique touche également au problème du travail au noir .
('address', 'problem')	('address', 'problem')	[('address', 'résoudre'), ('problem', 'problème')]	This is perverse and it is in all our interests to address the problem .	Il s' agit d' un effet pervers et il est dans notre intérêt de résoudre ce problème .
('make', 'remark')	('make', 'remark')	[('make', 'faire'), ('cautionary', 'mise'), ('cautionary', 'en'), ('cautionary', 'garde'), ('remark', 'mise'), ('remark', 'en'), ('remark', 'garde')]	We can and should do something , but I wanted to make that cautionary remark .	Certes , nous pouvons et devrions agir , mais je voulais d' abord faire cette mise en garde .
('address', 'problem')	('address', 'problem')	[('address', 'se'), ('address', 'pencher'), ('address', 'sur'), ('problem', 'problème')]	You have to address the problem within the situation in which young people find themselves today .	Il faut se pencher sur le problème en tenant compte de la situation des jeunes d' aujourd'hui .
('address', 'problem')	('address', 'problem')	[('problem', 'problème'), ('address', 'NULL')]	You only have to look at the financial situation right throughout the European Union at the moment to see that we have a terrible problem here and one that is not going to be easy to address .	Il suffit de se pencher sur la situation financière existant actuellement dans l' Union européenne pour se rendre compte de l' ampleur et de la difficulté du problème .
('address', 'problem')	('address', 'problem')	[('problem', 'problème'), ('address', 'traiter')]	That is the problem we have to address and we must address it now .	C' est ce problème que nous devons traiter , et sans tarder .
('address', 'problem')	('address', 'problems')	[('address', 'résoudre'), ('problems', 'problèmes')]	This combines action on the one hand to address immediate problems with longer term assistance .	Elle combine l' action - destinée à résoudre les problèmes immédiats - et l' assistance à long terme .
('address', 'problem')	('addressing', 'problems')	"[('addressing', ""s'""), ('addressing', 'attaquer'), ('addressing', 'aux'), ('problems', 'problèmes')]"	The Swedish government has made it clear that it intends to prioritise what is known as the 3 Es during its presidency of the Union , and this relates to addressing the key problems of enlargement of the Union , employment matters and promoting environmental issues .	Le gouvernement suédois a annoncé clairement son intention de donner la priorité à ce que l' on appelle les 3 E durant sa présidence de l' Union , c' est-à-dire de s' attaquer aux trois problèmes essentiels que sont l' élargissement de l' Union , les questions d' emploi , et les problèmes d' environnement .
('address', 'problem')	('addresses', 'problem')	[('addresses', 'aborde'), ('problem', 'problème')]	Amendment No 16 addresses this problem , which was highlighted to me by the cabin crew themselves and even some airlines .	L' amendement 16 aborde ce problème , que le personnel de cabine et même certaines compagnies ont porté à mon attention .
('address', 'question')	('address', 'question')	[('address', 'abordions'), ('question', 'question')]	But there is a desire from consumers that we should address the question of the natural production of food .	Toutefois , les consommateurs expriment le désir que nous abordions la question de la production naturelle des aliments .
('address', 'problem')	('address', 'problem')	[('address', 'abordent'), ('problem', 'problème')]	I detected a mood in the Council last Monday that ministers accepted the proposition that we have to abandon unilateral measures in individual Member States and go forward with the measures that address the problem on a Europe-wide basis .	De l' ambiance qui régnait au sein du Conseil ce lundi , j' ai noté que les ministres ont accepté la proposition selon laquelle les États membres devaient abandonner les mesures unilatérales et passer à des mesures qui abordent le problème sur une base européenne .
('address', 'question')	('addressed', 'question')	[('addressed', 'ai'), ('addressed', 'parlé'), ('addressed', 'de'),  ('question', 'question')]	I should have also mentioned earlier when I addressed the question of testing that live tests are not available yet .	J' aurais dû dire , lorsque j' ai parlé de la question des tests , que les tests en exploitation ne sont pas encore disponibles .
('address', 'question')	('address', 'question')	[('address', 'considérer'), ('question', 'question')]	Mr Graefe zu Baringdorf then asked me to address the question of a total ban of ruminant fats in animal feed .	M. Graefe zu Baringdorf m' a demandé de considérer la question de l' interdiction totale des graisses de ruminants dans l' alimentation animale .
('address', 'question')	('addressed', 'question')	[('question', 'question'), ('be', 'soit'), ('addressed', 'prise'),  ('addressed', 'en'), ('addressed', 'considération')]	I would ask Parliament to reconsider its view on this issue , because I believe that it is of considerable importance that the question of comitology be seriously addressed in this issue .	Je demanderais au Parlement de reconsidérer son point de vue , parce que j' estime qu' il est crucial que la question de la comitologie soit sérieusement prise en considération en la matière .
('address', 'question')	('address', 'questions')	[('address', 'aborder'), ('questions', 'questions')]	I should now like to address some of the questions and comments made this afternoon more specifically .	Je voudrais à présent aborder plus spécifiquement certaines des questions et remarques soulevées cette après-midi .
('address', 'question')	('address', 'question')	[('address', 'répondre'), ('address', 'à'), ('question', 'question')]	I just want to address the question of why we on this side have chosen to propose a motion of rejection .	Je veux juste répondre à la question de savoir pourquoi nous avons déposé une proposition de rejet .
('address', 'question')	('address', 'question')	[('address', 'aborde'), ('question', 'question')]	This piece of paper includes provision to make buses more accessible for disabled users , but it does not address the whole question of operating regulations for public transport systems across the European Union .	Ce document contient des dispositions visant à faciliter l' accès des personnes handicapées aux autobus , mais il n' aborde pas dans sa globalité la question des règlements de service des systèmes de transport public dans l' Union européenne .
('pose', 'question')	('posed', 'question')	[('posed', 'posait'), ('question', 'question')]	Mr Paasilinna , in his written contribution , posed the question who will regulate the regulator and I think that the role of the Commission is absolutely crucial in this .	Dans sa contribution écrite à ce débat , M. Paasilinna posait la question de savoir qui régulerait les régulateurs et je pense qu' en l' occurrence , le rôle de la Commission est tout à fait crucial .
('pose', 'question')	('posing', 'question')	[('am', 'poserai'), ('posing', 'poserai'), ('question', 'question')]	Mr Clegg spent an enormous amount of time just last year on the local loop unbundling rules and I am posing a separate question to you , Commissioner , to ask if you will give an indication of where already we are seeing resistance at Member State level to implementing local loop unbundling .	L' année dernière encore , M. Clegg a passé énormément de temps sur les règles de dégroupage de l' accès à la boucle locale et je vous poserai donc une question séparée , Monsieur le Commissaire , pour savoir si l' on note déjà des résistances au niveau des États membres en matière de mise en uvre dudit dégroupage .
('address', 'question')	('address', 'question')	[('did', 'have'), ('address', 'abordé'), ('question', 'question')]	Equatorial Guinea is notorious in relation to that and you did not address the question .	La Guinée Équatoriale est bien connue à cet égard et vous n' avez pas abordé cette question .
('address', 'question')	('addressing', 'question')	[('is', 'aborde'), ('addressing', 'aborde'), ('question', 'question')]	It seems extraordinary that this Parliament , which represents the people of Europe , is not addressing this question this week , given the deepening of the crisis since the Commission last spoke .	Il semble en effet inouï que ce Parlement , qui représente les citoyens européens , n' aborde pas cette question cette semaine , étant donné l' aggravation de la crise depuis la dernière déclaration de la Commission à ce sujet .
('make', 'remark')	('made', 'remarks')	[('remarks', 'remarques'), ('made', 'faites')]	I agree with the remarks to that effect made by several Members and I would like to thank in particular Mrs Langenhagen for her kind words of appreciation .	Je rejoins les remarques faites en ce sens par de nombreux députés et je voudrais remercier en particulier Mme Langenhagen pour ses propos favorables .
('address', 'problem')	('addressed', 'problem')	[('problem', 'problème'),  ('be', 'aborde'), ('addressed', 'aborde')]	The scandalous exploitation of young African footballers is a problem which I would ask you to look at again , because it does not seem to me to be addressed by the ban on inter-club transfers .	L' exploitation scandaleuse des jeunes footballeurs africains est un problème que j' aimerais que vous réexaminiez , car il ne me semble pas que l' interdiction des transferts entre clubs l' aborde .
('address', 'problem')	('address', 'problem')	"[('address', ""s'""), ('address', 'attaque'), ('address', 'à'), ('problem', 'question')]"	I recognise that this was a difficult compromise which does address the problem - the potentially disastrous consequences of absolute freedom of movement - while at the same time recognising the need to respect the new law .	Je reconnais qu' il s' agit d' un compromis qui a été difficile à atteindre , car il s' attaque véritablement à la question des conséquences potentielles désastreuses liées à une liberté absolue de circulation , tout en reconnaissant la nécessité de respecter la nouvelle législation .
('invest', 'money')	('invest', 'money')	[('money', 'argent'), ('invest', 'investissent')]	Clubs in my region are concerned that the money they invest in buying players will not give them a return on their investment and , as Mr Cushnahan said , they will not be interested in running football academies and in investing in the local community if they can not see a return on their investment .	Les clubs de ma région craignent que l' argent qu' ils investissent dans leurs joueurs ne leur rapporte pas et , comme M. Cushnahan l' a dit , cela ne les intéressera pas de gérer des écoles de football et d' investir dans leur communauté locale si leurs investissements ne leur rapportent rien .
('address', 'problem')	('addressed', 'problem')	[('has', 'a'), ('addressed', 'abordé'), ('problem', 'problème')]	Mrs Müller has addressed this problem .	Mme Müller a abordé ce problème .
('make', 'remark')	('made', 'remarks')	[('remarks', 'remarques'), ('were', 'ont'), ('were', 'été'), ('made', 'faites')]	Some remarks were made earlier this evening to the effect that client identification might be unduly cumbersome and bureaucratic .	Certaines remarques ont déjà été faites ce soir quant au risque de lourdeur bureaucratique que pourrait comporter l' identification du client .
('address', 'question')	('addressed', 'question')	"[('question', 'question'), ('addressed', ""s'""), ('addressed', 'adresse')]"	The second question is really more broadly addressed to Parliament : are we going to set up a permanent standing liaison committee of MEPs involved with development and cooperation to report to the General Assembly of the United Nations each year on our joint cooperation ?	La deuxième question s' adresse en fait plus largement au Parlement : allons -nous mettre en place un comité de liaison permanent composé de parlementaires et chargé des questions de développement et de coopération afin de présenter à l' Assemblée générale des Nations unies un rapport annuel sur notre coopération ?
('address', 'question')	('address', 'questions')	[('address', 'aborder'), ('questions', 'questions')]	I would like to address the three key questions that I tried to answer in my report : Why is this so important ?	Je voudrais aborder les trois questions clés auxquelles j' ai essayé d' apporter une réponse dans mon rapport : Pourquoi ce domaine est -il si important ?
('make', 'remark')	('make', 'remarks')	[('make', 'faire'), ('remarks', 'remarques')]	I should like to make a few technical remarks about the report .	Je voudrais faire quelques remarques techniques sur le rapport .
('address', 'question')	('address', 'question')	[('address', 'aborder'), ('question', 'question')]	This is the first time that a broad-based international forum , like the OIE , has decided to address this question .	C' est la première fois qu' un forum international aussi large que l' OIE décide d' aborder cette question .
('address', 'question')	('address', 'question')	[('address', 'aborder'), ('question', 'question')]	Finally , I would like to address the question of the location of the Authority .	Finalement , je voudrais aborder la question de la localisation de l' Autorité .
('make', 'remark')	('make', 'remarks')	[('make', 'émettre'), ('remarks', 'remarques')]	I should now like to make two remarks to Mr García-Margallo y Marfil and Mrs Kauppi .	J' aimerais à présent émettre deux remarques à l' égard de M. García-Margallo y Marfil et de Mme Kauppi .
('make', 'remark')	('made', 'remark')	[('made', 'a'), ('made', 'émis'), ('remark', 'critique')]	Mrs Kauppi made a remark about the costs of electronic signatures , in particular for small and medium-sized enterprises .	Mme Kauppi a , quant à elle , émis une critique concernant le coût des signatures électroniques , notamment pour les petites et moyennes entreprises .
('pose', 'question')	('posed', 'questions')	[('questions', 'questions'), ('posed', 'a'), ('posed', 'posées')]	I have a further question - in fact I agree with all the questions posed by the honourable Member from the PPE-DE .	J' ai encore une autre question - je me joins , pour le reste , à toutes les questions qu' un de mes collègues du PPE a posées .
('address', 'problem')	('addressed', 'problems')	[('problems', 'problèmes'), ('be', 'être'), ('addressed', 'résolus')]	I understand that the recent FMD crisis has prompted Parliament to raise some horizontal problems related to animal health , which certainly need to be addressed .	Je comprends que la crise récente de la fièvre aphteuse a poussé le Parlement à soulever quelques problèmes horizontaux liés à la sécurité animale , qui doivent sans aucun doute être résolus .
('address', 'problem')	('address', 'problem')	[('address', 'résoudre'), ('problem', 'problème')]	We have tried to address the growing problem of cyber squatting by asking the registry to run a mediation and arbitration service , either free or on a cost-recovery basis to deal with speculative and abusive registration of domain names .	"Pour tenter de résoudre le problème de plus en plus répandu du "" cyber-squatting "" , nous avons demandé que le registre fournisse un service de médiation et d' arbitrage , soit gratuitement , soit sur la base d' un recouvrement des dépens afin de pouvoir réagir en cas d' enregistrement spéculatif ou abusif de noms de domaine ."
('address', 'problem')	('address', 'problems')	[('address', 'aborder'), ('problems', 'problèmes')]	More systematic use of country-strategy papers will help to ensure the cogent use of Community instruments to address both the root causes of conflict and other human rights problems .	Un usage plus systématique des études stratégiques par pays contribuera à garantir une utilisation convaincante des instruments communautaires en vue d' aborder les causes des conflits , ainsi que d' autres problèmes liés aux droits de l' homme .
('make', 'remark')	('made', 'remarks')	[('remarks', 'remarques'), ('has', 'a'), ('made', 'formulées')]	Mr President , ladies and gentlemen , I should like to start by thanking Mrs Jackson for the question she has raised and the remarks she has made concerning this very serious issue indeed about which we are all concerned .	Monsieur le Président , Mesdames et Messieurs , je voudrais tout d' abord remercier Mme Jackson pour la question qu' elle a posée et les remarques qu' elle a formulées en ce qui concerne cette grave problématique qui nous préoccupe tous .
('address', 'problem')	('addressing', 'problem')	[('addressing', 'aborder'), ('problem', 'problème')]	There are great opportunities for , and advantages in , addressing this problem by using technology which is in the process of being developed or has been developed to change our practices and reduce global warming .	L' utilisation des technologies en cours de développement ou qui ont déjà été développées en vue d' aborder ce problème , de modifier nos pratiques et de réduire le réchauffement de la planète , offre des opportunités importantes , ainsi que des avantages .
('make', 'remark')	('make', 'remarks')	[('make', 'faire'), ('make', 'part'), ('make', 'de'), ('remarks', 'remarques')]	I am grateful for your indulgence , President , but this seemed to me to be a sufficiently important subject on which to make those remarks .	Monsieur le Président , je vous suis reconnaissant de votre indulgence , mais il me semblait que ce sujet était suffisamment important pour vous faire part de ces quelques remarques .
('make', 'remark')	('make', 'remark')	[('make', 'faire'), ('remark', 'observation')]	Madam President , allow me , without mentioning this proposal - of which I am in favour - to make just one small remark : I am campaigning somewhat for the respect of the large groups .	Madame la Présidente , permettez -moi de faire une brève observation sans que je ne m' exprime au sujet de la demande - à laquelle je suis favorable - : je me bats un peu en faveur du respect des grands groupes .
('address', 'problem')	('addressed', 'problems')	"[('problems', 'problèmes'), ('addressed', 'auxquels'),  ('addressed', ""s'""), ('addressed', 'attaquer')]"	My report is in effect a final report on the performance of the last government and an indicator as to the problems that need to be addressed by the new administration .	Mon rapport est en fait un rapport final sur les résultats atteints par le gouvernement sortant et relève les problèmes auxquels les nouveaux dirigeants doivent s' attaquer .
('address', 'problem')	('addressing', 'problems')	[('addressing', 'abordent'),('problems', 'problèmes')]	Secondly , in addition to the aforementioned thematic strategies , the Commission intends to propose legislative initiatives addressing specific problems such as batteries and packaging waste .	Deuxièmement , en plus des stratégies thématiques mentionnées ci-dessus , la Commission a l' intention de proposer des initiatives législatives qui abordent des problèmes spécifiques tels que les piles et les déchets d' emballage .
('address', 'problem')	('addressing', 'problem')	[('are', 'nous'), ('are', 'occupons'), ('are', 'de'), ('addressing', 'nous'), ('addressing', 'occupons'), ('addressing', 'de'), ('problem', 'problème')]	This is not to say that we have a powerful and guaranteed effective instrument but it does mean that everything is out in the open and that we are addressing this problem .	Cela ne veut pas dire que nous disposons d' un instrument efficace et puissant , mais que quelque chose existe et que nous nous occupons de ce problème .
('address', 'question')	('address', 'question')	[('address', 'traiter'), ('question', 'question')]	As far as technologies used in Europolis and Eurint systems are concerned , the Commission is not in a position to address the question of the honourable Member .	Pour ce qui est des technologies utilisées dans le cadre d' Europolis et des systèmes Eurint , la Commission n' est pas en mesure de traiter la question soulevée par l' honorable parlementaire .
