pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
close debate	23	closed debate,closing debate,close debate,closed debate,closed debate,closed debate,closed debate,closed debate,closed debate,closed debate,closed debate,closed debate,close debate,close debate,close debate,closed debate,closing debate,closed debate,close debate,close debate,close debate,close debate,close debate	3	debate is closed,closing closing debate debate,close debate debate,is debate closed,is debate closed,is debate closed,is debate closed,debate is closed,is closed closed debate,is closed debate,debate is closed,debate closed,close close debate,close debate,close debate,debate to be closed,closing debate,closed closed debate,close debate,close debate,close debate,close debate,close debate	12	Aussprache ist geschlossen,am Ende der Aussprache,Abschluss dieser Aussprache,ist Aussprache geschlossen,ist Debatte beendet,ist Aussprache geschlossen,ist Aussprache geschlossen,Aussprache ist geschlossen,NULL Abschluss der Beratungen,NULL geschlossen Aussprache,Aussprache ist geschlossen,Aussprache geschlossen,Abschluss der Aussprache,schließen Debatte,beenden Aussprache,debatte NULL haben Beendigung,abzuschließen Aussprache,habe geschlossen Aussprache,abschließen Aussprache,Abschluß Aussprache,Abschluß Debatte,Abschluß Debatte,Abschluß Debatte	17	Aussprache schließen,am Ende Aussprache,Abschluss Aussprache,Debatte beenden,Abschluss Beratung,Debatte schließen,Aussprache beenden,Beendigung Debatte,Aussprache abschließen,Abschluss Debatte	10	Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal
close plan	1	close plan	1	close plan	1	Abbau Anlage	1	Abbau Anlage	1	Literal
close project	1	closed project	1	closed project	1	beendet Projekt	1	Projekt beenden	1	Literal
colour judgement	1	colouring judgement	1	colouring colouring judgement	1	getrübt sein Urteilsvermögen	1	Urteilsvermögen getrübt sein	1	Figurative
digest content	1	digest contents	1	digest contents	1	verarbeiten Inhalt	1	Inhalt verarbeiten	1	Literal
digest information	1	digest information	1	digest information	1	verdauen Information	1	Information verdauen	1	Figurative
drop rate	5	dropped rate,dropped rates,dropping rate,drop rates,dropped rate	4	has dropped rate,have raƒtes dropped,rate dropping,rates drop,has dropped rate	4	hat gesenkt Tagesgeldsatz,sind raten zurückgegangen,rate zurückgegangen,raten zurückgehen,beträgt beträgt Wachstumsrate	5	Tagesgeldsatz senken,Rate zurückgehen,Rate betragen	3	Literal,Figurative,Literal
find connection	1	find connections	1	find find connections	1	auf zurückgreifen Kontakte	1	auf Kontakt zurückgreifen	1	Figurative
find excuse	2	found excuse,finding excuse	2	excuse found,finding finding excuse	2	Entschuldigung hast,dafür bieten Entschuldigung	2	Entschuldigung haben,Entschuldigung bieten	2	Literal,Literal
find way	186	find way,finding way,find way,find way,find ways,find ways,find way,finding ways,find ways,find way,find way,find way,find way,find way,find way,find ways,finding way,find way,find way,find way,find way,find way,finding way,finding way,find way,found way,find way,found way,finding way,find ways,find way,find way,find ways,find way,find way,find ways,find way,found ways,find way,find way,find way,find ways,find way,finding way,find way,find way,find way,find way,find ways,find way,find way,find way,find ways,found way,find way,find way,find way,find way,find ways,find way,find way,find way,find ways,find way,find ways,find way,find way,find way,find way,finding way,find way,find ways,find ways,find ways,found ways,find ways,find way,find way,find ways,finding ways,find way,find way,find way,find ways,find way,find way,finding way,find way,find way,find way,find way,find way,finding ways,find way,find way,find way,find way,find way,find ways,find way,found way,find way,find way,find way,find way,finding way,find way,finding way,find way,find way,find way,find way,finds way,find way,find way,found way,found way,finding ways,find way,found way,find way,find ways,find ways,find way,find way,find way,find way,find ways,find way,find ways,find way,find way,find way,find way,find ways,find way,found way,find way,find ways,find ways,finding way,find way,find way,find way,finds way,found way,find ways,find way,find ways,find way,found way,find way,find ways,find way,find way,find way,find way,find way,find way,find way,find way,finding way,find way,find way,found ways,find ways,finding way,find way,find ways,find way,finding ways,find way,find way,find way,find way,find ways,find ways,find way,find way,finding way,find ways,found way,find way,find way,find way,find way	7	find way,finding be way,find way find,find way,find find ways,find ways,find way,finding finding ways,find find ways,find way,find way,find way,find way,will find way,find way,find ways,finding finding way finding finding,find way,find way,find find way,find way way,find find find,finding way way,are finding way finding,find find way,be way found,find way,be way found,finding finding way,find ways,find way,find way,find ways,find way way,find find way way,find ways,find way,be ways found,find way,find find way way,will find way,find find find ways,find find way,finding way way,find way,find way,find way,find way,find find ways,find way,find way,find way,find ways,will be way way found found found,find way way,find way,find way way,find way,find ways,find way,will find way,find way,find ways,find way,find ways,find way,find way,find way,find way,finding way,find way,find ways,find ways,find ways ways,ways found found found,find ways,find way,find find way,find ways,finding ways,find way,find way,find way,find ways,find find way,find way,finding way,find way,find way forward forward forward forward,find way,find find way,find way,finding ways,find way,find way foward foward,find find way,find way,find find way,find find ways,find way,way to be found,find ways,find way,find find way forward,find way,finding way,find way,finding finding way,find way,find way forward,find way,find way,finds way into,find find way,find way,way must be found,way must be found,finding finding ways,way find,found way,find way,find ways,find find ways,find way,find way,find way,find way,find ways,find way,find ways,find way,find find find way,find way,find way,find ways,find way,way has been found,find way,find ways,find ways,finding way,find way,find way,find way,finds way,found way,find ways,find way,find ways,find way,find way,find way,find ways,find way,find find way,find way,find way,find way,find way,find way,find way,finding finding finding way way,find way,find way,found ways,find ways,find way,find way,find ways,find way,finding ways,find way,find way,find way,find way,find ways,find ways,find way,find find way,finding way,find ways,found way,find find find find way,find find way,find find find way,find way	38	finden Möglichkeit,NULL NULL NULL,nach Lösung suchen,finden Wege,ausfindig machen Möglichkeiten,finden Wege,finden Weg,Suche nach Möglichkeiten,sucht nach Möglichkeit,in Weise,finden Möglichkeit,finden Weg,finden Weg,werden finden Möglichkeiten,finden Weg,finden Wege,in der Lage sein werden,finden Weg,finden Lösung,es uns gelingt,suchen nach Wegen,nach Wegen suchen,auf die Weise NULL,NULL es gelingt uns,zu finden Weg,werden Ausweg gefunden,finden Möglichkeit,werden Weg gefunden,gefunden werden Weg,finden Wege,finden Weg,finden Lösung,finden Wege,finden einen Weg,Suche nach einer Lösung,finden Methoden,finden Wege,NULL Wege finden,finden Vorgehensweisen,suchen nach einem Weg,wird finden Möglichkeiten,uns bemüht um Möglichkeiten,suchen nach Lösungen,finden eine Möglichkeit,vereinbaren Möglichkeiten,ermöglichen Fortentwicklung,gefunden Möglichkeit,finden Weg,suchen nach Möglichkeiten,finden Lösung,finden Weg,finden weg,finden Möglichkeiten,NULL NULL ein Weg lässt sich finden,finden eine Möglichkeit,NULL NULL,finden eine Möglichkeit,finden Möglichkeit,finden Möglichkeiten,finden Möglichkeit,wird finden Weg,NULL NULL,finden Möglichkeiten,finden Weg,suchen Möglichkeiten,finden Weg,suchen Kooperationsmöglichkeiten,finden Weg,finden Weg,finden Weg,finden Lösung,finden Wege,finden Wege,nach Möglichkeiten suchen,Möglichkeiten sich auf einigen,NULL Möglichkeiten,finden Weg,uns um bemühen Lösung,finden Wege,NULL NULL,suchen Weg,suchen Weg,findet Weg,finden Formen,gefunden werden Weg,finden Weg,NULL NULL,entscheiden Vorgehensweise,finden Weg in die richtige Richtung,finden Weg,nach suchen Lösung,finden Weg,findet Wege,finden Weg,finden Weg nach vorn,wiederfinden werden NULL,finden Weg,Suche nach Weg,Suche nach Wegen,finden Weg,Methode werden werden gefunden,finden Wege,finden Möglichkeit,haben gesucht Weg aus,finden Weg,finden Möglichkeit,irgendwie irgendwie,verschaffen kann Zugang,finden NULL,finden Weg Weg,finden Weg,finden Weg,findet Weg in,erzielt wurden Fortschritte,finden Weg,Weg muss werden herausgefunden,Weg muss werden herausgefunden,gefunden werden Wege,Möglichkeiten finden,finden Weg,finden Ansatz,finden Wege,gefunden werden Wege,finden Weg,finden Weg,finden Weg,suchen Wegen,finden Wege,finden Weg,finden Wege,finden Weg,gefunden werden kann Weg,finden Weg,gelangen NULL,finden Weg,finden Weg,Möglichkeit haben haben gefunden,finden Weg,finden Ersatzlösungen,finden Wege,finden Zweistaatenlösung,finden Weg,finden Weg,finden Weg,findet Weg,einschlagen Weg,finden Wege,finden Ausweg,erörtern Lösungsmöglichkeiten,finden Lösung,gefunden Möglichkeit,finden Möglichkeit,Suche NULL,finden Wege,sich zurechtfindet NULL,aufzuzeigen Ausweg,auseinandersetzen NULL,finden Weg,finden Weg,landen NULL,finden Weg,in versetzt wurden die Lage,NULL Ausweg,finden Weg,gefunden Wege,finden Wege,gelangt NULL,finden Weg,finden Finanzierungsmöglichkeiten,erreichen NULL,finden Wege,finden Lösung,finden Kombinationsmöglichkeit,finden Weg,finden Weg,finden Wege,finden Wege,finden Möglichkeit,zustande bringen NULL,findet Weg,gefunden Wege,gefunden Weg,auf der Suche nach Vorgehensweise,ist es Aufgabe,nach zu suchen Lösung,finden Möglichkeit	96	Möglichkeit finden,Möglichkeit vereinbaren,nach Möglichkeit suchen,Suche nach Möglichkeit,NULL Möglichkeit,Möglichkeit ausfindig machen,sich um Möglichkeit bemühen,sich auf Möglichkeit einigen,Möglichkeit erörtern,NULL NULL,nach Lösung suchen,Lösung finden,Suche nach Lösung,sich um Lösung bemühen,Weg finden,nach Weg suchen,Suche nach Weg,Ausweg finden,Weg herausfinden,Weg einschlagen,Ausweg aufzeigen,Ausweg NULL,NULL wiederfinden,NULL auseinandersetzen,NULL sich zurechtfinden,NULL landen,Suche NULL,NULL gelangen,NULL finden,NULL erreichen,Methode finden,Vorgehensweise finden,auf der Suche nach Vorgehensweise,Vorgehensweise entscheiden,Ansatz finden,Form finden,Entwicklung ermöglichen,Aufgabe sein,in der Lage sein,in die Lage versetzen,gelingen,irgendwie,Zugang verschaffen,Fortschritte erzielen,auf die Weise NULL,NULL zustande bringen	46	Literal,Literal,Literal,Literal,-,Literal,Literal,Literal,Literal,-,Literal,Literal,Literal,Literal,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,-,-,-,-,-,-,-,-,-,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Figurative,-,-,Literal,Literal,-,-
float idea	10	float idea,floated ideas,floats idea,floating idea,floated ideas,floated idea,floated idea,floated idea,floated ideas,floated idea	5	float idea float,being floated ideas,floats floats idea,floating floating idea,ideas have been floated floated floated,idea has been floated,have floated floated floated floated idea,idea was floated,ideas have been floated floated floated,has floated idea	9	ins Gespräch bringen,NULL geäußerten Gedanken,wird präsentiert Idee,Mir kam Idee,Ideen NULL NULL im Umlauf sein,Idee wurde wurde aufgeworfen,haben in den Raum gestellt Idee,Element wurde vorgeschlagen,Ideen wurden wurden in Umlauf gebracht,hat lanciert Idee	10	ins Gespräch bringen,Gedanke äußern,Idee presentieren,sich Idee kommen,Idee im Umlauf sein,Idee aufwerfen,Idee in den Raum stellen,Element vorschlagen,Idee im Umlauf bringen,Idee lancieren	10	Literal,Literal,Literal,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Figurative
flood market	4	flood market,flooded market,flood market,floods market	3	flood market,market is flooded,flood market,floods market	3	überschwemmen Markt,Marktes wird überflutet,überschwemmen Markt,überschwemmt Markt	3	Markt überschwemmen,Markt überfluten	2	-,Figurative
follow activity	2	following activity,follow activities	2	are following activity,follow activities	2	NULL verfolgen Vorgänge,verfolgen Aktivitäten	2	Vorgang verfolgen,Aktivität verfolgen	2	Literal,Figurative
follow religion	1	follow religion	1	follow religion	1	auszuüben Religion	1	Religion ausüben	1	Literal
frame debate	1	frame debate	1	frame frame frame debate frame	1	Rahmen für die Debatte abstecken	1	Rahmen für die Debatte abstecken	1	Figurative
fuel debate	1	fuel debate	1	debate fuel	1	Aussprache führen	1	Aussprache führen	1	Literal
fuel growth	2	fuel growth,fuel growth	1	growth fuel,fuel fuel growth	2	Wirtschaftswachstum anzukurbeln,für sorgen Wachstum	2	Wachstum ankurbeln,Wachstum sorgen	2	Figurative,Figurative
grasp concept	1	grasp concept	1	grasp concept	1	begreifen Konzept	1	Konzept begreifen	1	Literal
grasp point	2	grasp point,grasp point	1	grasp point point,grasp point	2	begreifen diesen Punkt,erfassen Punkt	2	Punkt begreifen,Punkt erfassen	2	Literal,Figurative
grasp situation	1	grasp situation	1	grasp situation	1	erfassen Situation	1	Situation erfassen	1	Figurative
juggle career	1	juggle career	1	juggle juggle juggle career career	1	in Einklang bringen berufliche Entwicklung	1	berufliche Entwicklung in Einklang bringen	1	Figurative
juggle life	1	juggling life	1	juggling juggling juggling juggling life	1	unter einen Hut bringen Familie	1	Familie unter einen Hut bringen	1	Figurative
kill process	1	kill process	1	kill process	1	zunichtemachen Prozess	1	Prozess zunichtemachen	1	Figurative
kill proposal	1	kill proposal	1	kill kill proposal	1	grundsätzlich ablehnen Vorschlag	1	Vorschlag grundsätzlich ablehnen	1	Literal
leak report	1	leaked report	1	leaked leaked leaked leaked report	1	an die Öffentlichkeit gelangt Zwischenbericht	1	Bericht an die Öffentlichkeit langen	1	Literal
mount campaign	7	mount campaign,mount campaign,mount campaign,mounted campaign,mount campaign,mount campaign,mount campaign	2	mount campaign,mount campaign,mount campaign,have mounted campaign,campaign mount,mount mount mount mount campaign,mount mount mount mount campaign	4	NULL NULL,durchzuführen Wahlkampfkampagne,führen Kampf,haben gestartet Kampagne,Kampagne starten,in Gang zu setzen Attentatsserie,auf die Beine stellen Militäraktion	7	NULL NULL,Kampagne durchführen,Kampf führen,Kampagne starten,NULL in Gang setzen,Aktion auf die Beine stellen	6	-,Literal,Figurative,Literal,-,Figurative
mount exhibition	2	mounting exhibition,mount exhibition	2	mounting exhibition,mount exhibition	2	Aufbau Ausstellung,veranstaltet Ausstellung	2	Aufbau Ausstellung,Ausstellung veranstalten	2	Literal,Literal
pour money	3	pour money,pouring money,pour money	2	pour money,should be pouring money,money money	3	zahlen Subventionen,sollte stecken stecken Geld,überweisen Geld	3	Subventionen zahlen,Geld stecken,Geld überweisen	3	Literal,Figurative,Literal
push drug	1	pushing drugs	1	pushing drugs	1	Konsum Drogen	1	Konsum Droge	1	Literal
shake confidence	3	shaken confidence,shake confidence,shaken confidence	2	have shaken confidence,shake confidence,should be confidence shaken	3	haben erschüttert Vertrauen,untergraben Vertrauen,sollte sein Vertrauen erschüttert	3	Vertrauen erschüttern,Vertrauen untergraben	2	Figurative,Figurative
shake foundation	1	shake foundation	1	shake shake shake foundation	1	ins Wanken gerät Fundament	1	Fundament ins Wanken geraten	1	Figurative
shape outcome	2	shaping outcome,shape outcome	2	shaping outcome outcome shaping,shape outcome	2	zu diesem Ergebnis beigetragen,NULL Ergebnis	2	Ergebnis beigetragen,Ergebnis NULL	2	Literal,-
shape strategy	3	shape strategy,shape strategy,shaping strategy	2	strategy shape,strategy strategy,shaping strategy	3	Strategie entwickeln,Strategie erarbeiten,entwickeln Strategie	3	Strategie entwickeln,Strategie erarbeiten	2	Literal,Literal
suck worker	1	suck workers	1	suck workers	1	anzuziehen Pflegekräfte	1	Pflegekräfte anziehen	1	Figurative
tackle challenge	37	tackle challenge,tackling challenge,tackle challenges,tackling challenge,tackle challenges,tackle challenges,tackled challenges,tackle challenges,tackle challenges,tackle challenges,tackle challenges,tackle challenge,tackled challenge,tackle challenges,tackling challenges,tackle challenges,tackled challenges,tackle challenges,tackling challenge,tackling challenges,tackle challenges,tackle challenges,tackling challenges,tackling challenges,tackling challenges,tackle challenges,tackled challenges,tackling challenges,tackle challenges,tackling challenges,tackling challenges,tackles challenges,tackling challenges,tackle challenges,tackle challenges,tackle challenges,tackle challenge	7	tackle tackle challenge,tackling tackling challenge,tackle tackle challenges challenges,tackling challenge challenge,tackle challenges challenges,challenges challenges challenges,be challenges tackled,tackle tackle tackle challenges,tackle tackle challenges,tackle challenges,challenges tackle tackle,tackle tackle challenge,challenge be tackled,tackle tackle tackle challenges,tackling tackling challenges,tackle tackle challenges,challenges tackled be,tackle challenges,Tackling Tackling challenge,tackling tackling challenges,tackle tackle challenges,tackle challenges tackle,tackling tackling challenges,tackling tackling challenges,tackling challenges,tackle tackle challenges,to be tackled challenges,tackling challenges,tackle challenges,tackling challenges,tackling challenges,tackles tackles challenges,tackling challenges,tackle challenges,tackle challenges,tackle challenges,tackle challenge	21	nach suchen Lösung,Handeln gegen Bedrohung,die Bewältigung der Aufgaben,Bekämpfung der Geißel,Bewältigung der Herausforderungen,diese Herausforderungen bewältigen,werden Hauptaufgaben angegangen,sich rüstet für Aufgaben,Inangriffnahme weiterer Aufgaben,bewältigen Herausforderungen,Herausforderungen stehen vor,Bewältigung der Aufgaben,Herausforderung werden bewältigt,auf die reagieren Herausforderungen,Bewältigung der Aufgaben,Bewältigung dieser Herausforderungen,Bewährungsproben gemeistert werden,begegnen Herausforderungen,Bewältigung des Problems,Meisterung dieser Herausforderungen,bewältigt werden Herausforderungen,sich Herausforderungen stellt,Annahme der Herausforderungen,Bewältigung der Herausforderungen,meistern kann Herauforderungen,zu zu meistern Herausforderungen,Bewältigung Herausforderungen,Beseitigung Probleme,Bewältigung Herausforderungen,angehen Herausforderungen,auf eingeht Schwierigkeiten,Bewältigung Herausforderungen,bewältigen Herausforderungen,Bewältigung Herausforderungen,meistern Herausforderungen,angehen Herausforderung	30	nach Lösung suchen,Handeln gegen Bedrohung,Bewältigung Aufgabe,Bekämpfung Geißel,Bewältigung Herausforderung,Herausforderung bewältigen,Aufgabe angehen,sich für Aufgabe rüsten,Inangriffnahme Aufgabe,Herausforderung vorstehen,auf Herausforderung reagieren,Bewährungsprobe meistern,Herausforderung begegnen,Bewältigung Problem,Meisterung Herausforderung,sich Herausforderung stellen,Annahme Herausforderung,Herausforderung meistern,Beseitigung Problem,Herausforderung angehen,Schwierigkeit eingehen	21	Literal,Literal,Literal,Figurative,Literal,Literal,Figurative,Figurative,Figurative,Figurative,Literal,Literal,Figurative,Literal,Literal,Figurative,Literal,Literal,Figurative,Figurative,Figurative
tackle concern	5	tackling concerns,tackle concerns,tackle concerns,tackle concerns,tackle concerns	2	tackling concerns concerns,tackle concerns concerns,tackle concerns,tackle concerns,tackle tackle concerns	4	angehen diese Probleme,entsprechen den Sorgen,zuzuwenden Umweltproblemen,entgegenzukommen Bedenken,behandelt werden Sorgen	5	Problem angehen,Sorge entsprechen,sich Problem zuwenden,Bedenken entgegenkommen,Sorge behandeln	5	Figurative,Literal,Literal,Figurative,Figurative
tackle crisis	12	tackle crisis,tackle crisis,tackled crisis,tackling crises,tackled crisis,tackling crisis,tackle crisis,tackle crisis,tackling crisis,tackle crisis,tackle crisis,tackle crisis	4	tackle crisis crisis,tackle crisis,was crisis crisis tackled tackled,tackling tackling crises,crisis must be tackled,tackling tackling crisis,tackle tackle crisis,tackle crisis,tackling crisis,tackle crisis,tackle crisis,tackle crisis	8	Bewältigung der Krise,lösen probleme,NULL der krise Maßnahmen entgegensetzen,Inangriffnahme der Krisen,Veterinärkrise erforderlich macht Handeln,Bekämpfung der Wirtschaftskrise,Bekämpfung der Finanzkrise,bewältigen Krise,Überwindung Finanzkrise,Bewältigung Schuldenkrise,bekämpfen Krisen,bekämpfen Finanzkrise	12	Bewältigung Krise,Problem lösen,Krise Maßnahme entgegensetzen,Inangriffnahme Krise,Krise macht Handeln,Bekämpfung Krise,Krise bewältigen,Überwindung Krise,Bewältigung Krise,Krise bekämpfen	10	Literal,Literal,Figurative,Figurative,Literal,Figurative,Literal,Figurative,Literal,Figurative
tackle inequality	2	tackle inequalities,tackle inequalities	1	tackle tackle tackle tackle tackle inequalities,tackle tackle tackle inequalities	2	Lösungen für die zu finden Ungleichheiten,widmen zu können Ungleichheiten	2	Lösung für Ungleichheit finden,Ungleichheit widmen	2	Literal,Literal
