pair	inflected_pair	alignments	Source Language	Target Language
('attack', 'problem')	('attacking', 'problem')	[('attacking', 'angingen'), ('problem', 'Problem')]	By attacking them rather than the problem , the leaders of the groups have missed an opportunity today .	Indem die Fraktionsvorsitzenden lieber sie als das Problem angingen , haben sie heute eine Chance verspielt .
('tackle', 'question')	('tackle', 'questions')	[('will','wird'),('tackle', 'sich'), ('tackle', 'mit'), ('tackle', 'befassen'), ('questions', 'Fragen')]	A strategy paper will draw on the results of this debate and tackle fundamental questions about the future of Europe .	Ein Strategiepapier wird sich ausgehend von den Ergebnissen dieser Debatte mit den grundlegenden Fragen zur Zukunft Europas befassen .
('find', 'excuse')	('found', 'excuse')	[('excuse', 'Entschuldigung'), ('found', 'hast')]	It does not matter who you are or what excuse you think you have found for your perverse and nihilistic , violent ideology .	Es spielt keine Rolle , wer du bist oder welche Entschuldigung du deiner Meinung nach für deine perverse , nihilistische und gewalttätige Ideologie hast .
('break', 'agreement')	('breaking', 'agreements')	[('breaking', 'aufzukündigen'), ('agreements', 'Vereinbarungen')]	There is no case for breaking these agreements .	Es gibt keinen Grund , diese Vereinbarungen aufzukündigen .
('boost', 'economy')	('boosts', 'economy')	[('boosts', 'ankurbelt'), ('economy', 'Wirtschaft')]	Let us rather work together for an outcome that boosts the world 's economy , generates political confidence and helps the world 's poor .	Wir sollten lieber gemeinsam auf ein Ergebnis hinarbeiten , das die Weltwirtschaft ankurbelt , politisches Vertrauen erzeugt und den Armen der Welt hilft .
('tackle', 'question')	('tackle', 'questions')	[('tackle', 'Lösung'), ('tackle', 'von'), ('questions', 'Fragen')]	We now have a new and more effective framework to tackle human rights questions : the neighbourhood policy .	Mit der Nachbarschaftspolitik verfügen wir nunmehr über einen neuen und wirksameren Rahmen zur Lösung von Menschenrechtsfragen .
('boost', 'economy')	('boost', 'economy')	[('boost', 'voranbringen'), ('economy', 'Wirtschaft')]	At the summit we agreed to make more concrete progress in a series of key areas : boosting research and development with the creation of a European research council ; improving our universities and their links with business ; creating a more competitive energy market ; examining how migration can boost our economy ; how we can use more extensive and better quality child care to give people a fairer balance between work and family life ; how we can re-skill workers to meet the global challenge , and how we can strengthen Europe 's place in the world and our collective security .	Auf dem Gipfel haben wir vereinbart , in einer Reihe von Schlüsselbereichen konkretere Fortschritte zu machen , und zwar Forschung und Entwicklung mit der Schaffung eines Europäischen Forschungsrates anzukurbeln ; unsere Hochschulen und ihre Verbindungen zur Wirtschaft zu verbessern ; einen Energiemarkt mit mehr Wettbewerb zu schaffen ; zu überprüfen , wie Migration unsere Wirtschaft voranbringen kann ; wie wir mehr und bessere Kinderbetreuungsmöglichkeiten nutzen können , damit die Menschen Beruf und Familie besser in Einklang bringen können ; wie wir Arbeitnehmer neu qualifizieren können , um sie auf die globale Herausforderung vorzubereiten , und wie wir Europas Platz in der Welt und unser aller Sicherheit stärken können .
('pour', 'money')	('pouring', 'money')	[('should', 'sollte'), ('be', 'stecken'), ('pouring', 'stecken'), ('money', 'Geld')]	No nation should be pouring taxpayers ' money into a corrupt system .	Keine Nation sollte das Geld ihrer Steuerzahler in ein korruptes System stecken .
('float', 'idea')	('floats', 'idea')	[('floats', 'wird'), ('floats', 'präsentiert'), ('idea', 'Idee')]	The resolution floats the idea of a solidarity contribution on air tickets , but that should not be the only avenue , and like Mrs Kinnock I should like to suggest other possibilities .	In der Entschließung wird die Idee von einem Solidarbeitrag auf Flugscheine präsentiert , aber das sollte nicht der einzige Weg sein , und wie Frau Kinnock möchte ich andere Möglichkeiten vorschlagen .
('tackle', 'question')	('tackling', 'question')	[('tackling', 'sich'), ('tackling', 'mit'), ('question', 'Frage'), ('tackling', 'auseinander'), ('tackling', 'setzt')]	Mr President , I congratulate the rapporteur on tackling the very important question of managing risk and crises in the agricultural sector , and taking the situation of the new Member States into account too .	-- Herr Präsident ! Ich gratuliere dem Berichterstatter zu seinem Bericht , in dem er sich mit der äußerst wichtigen Frage des Risiko - und Krisenmanagements in der Landwirtschaft auseinander setzt und auch die Lage der neuen Mitgliedstaaten nicht unberücksichtigt gelassen hat .
('boost', 'economy')	('boost', 'economy')	[('boost', 'ankurbeln'), ('economy', 'Wirtschaft')]	The UK has shown how free labour markets , coupled with proper social protection , can boost a prosperous economy .	Das Vereinigte Königreich hat den Beweis dafür geliefert , wie freie Arbeitsmärkte , verbunden mit einem angemessenen Sozialschutz , eine florierende Wirtschaft ankurbeln können .
('suck', 'worker')	('suck', 'workers')	[('suck', 'anzuziehen'), ('workers', 'Pflegekräfte')]	We are therefore trying to suck in the health workers from other countries in order to deal with our own problems .	Wir versuchen daher , Pflegekräfte aus anderen Ländern anzuziehen , um unsere eigenen Probleme zu lösen .
('shake', 'confidence')	('shake', 'confidence')	[('shake', 'untergraben'), ('confidence', 'Vertrauen')]	It would encourage extremist forces and shake business confidence , and nothing would be achieved that can not be achieved by other means .	Er würde den extremistischen Kräften Zulauf verschaffen und das Vertrauen in die Wirtschaft untergraben , und man würde damit nichts erreichen , was sich nicht auch auf anderem Wege erreichen ließe .
('find', 'excuse')	('finding', 'excuse')	[('finding', 'dafür'), ('finding', 'bieten'), ('excuse', 'Entschuldigung')]	Can we really restore trust and generate inspiration among the voters if we continue to conduct our policies from one national election to another , finding in them a good excuse not to apply the common policies ?	Können wir das Vertrauen wirklich wiederherstellen und die Wähler inspirieren , wenn unsere Politik nur von einer nationalen Wahl zur nächsten reicht und wenn diese Wahlen eine willkommene Entschuldigung dafür bieten , dass wir unsere gemeinsamen politischen Strategien nicht umsetzen ?
('float', 'idea')	('floating', 'idea')	[('floating', 'Mir'), ('floating', 'kam'), ('idea', 'Idee')]	I am just floating the idea .	Mir kam nur so eine Idee .
('float', 'idea')	('floated', 'ideas')	[('ideas', 'Ideen'), ('have', 'NULL'), ('been', 'NULL'), ('floated', 'im'), ('floated', 'Umlauf'), ('floated', 'sein')]	Many ideas have been floated on a comprehensive approach to peace in the Middle East .	Es sind viele Ideen zu einem umfassenden Konzept für den Frieden im Nahen Osten im Umlauf .
('tackle', 'question')	('tackle', 'question')	[('tackle', 'in'), ('tackle', 'Angriff'), ('tackle', 'nehmen'), ('question', 'Frage')]	However , one needs to underline that if we really want to tackle the question of security on board aircraft then cost considerations can only be secondary .	Doch man muss unterstreichen , dass Kostenerwägungen nur zweitrangig sein können , wenn wir die Frage der Sicherheit an Bord von Flugzeugen wirklich in Angriff nehmen wollen .
('boost', 'economy')	('boosted', 'economy')	[('economy', 'Economy'), ('should', 'sollte'), ('be', 'werden'), ('boosted', 'gefördert')]	Member of the Commission . - ( CS ) Madam President , ladies and gentlemen , the Commission agrees entirely with the honourable Member that the silver economy is a very promising area of development and should be boosted at local , national and European levels .	Mitglied der Kommission . - ( CS ) Frau Präsidentin , meine Damen und Herren ! Die Kommission gibt dem Herrn Abgeordneten absolut Recht : Die so genannte `` Silver Economy '' ( Seniorenwirtschaft ) bietet viel Entwicklungsspielraum und sollte auf lokaler , nationaler und europäischer Ebene gefördert werden .
('tackle', 'question')	('tackle', 'question')	[('tackle', 'annehmen'), ('question', 'des'), ('question', 'Problems')]	Let us try to tackle this question on non-compliant parties .	Wir sollten uns endlich des Problems annehmen , dass sich einige Vertragsstaaten einfach nicht an den Vertrag halten .
('float', 'idea')	('floated', 'idea')	[('idea', 'Idee'), ('has', 'wurde'), ('been', 'wurde'), ('floated', 'aufgeworfen')]	The idea of a special Lebanon Summit within the Arab League framework has recently been floated .	Vor kurzem wurde die Idee aufgeworfen , im Rahmen der Arabischen Liga einen Libanon-Gipfel zu veranstalten .
('boost', 'economy')	('boost', 'economies')	[('boost', 'zur'), ('boost', 'Belebung'), ('economies', 'Wirtschaftsräume')]	I would be more than happy to continue this dialogue and to provide more information about how we approach this , because I agree completely with the view that we have to support our industries through this economic recession , be mindful of the poverty and deprivation that can occur , and give new trading opportunities that will actually help boost those economies and those sectors .	Ich würde diesen Dialog sehr gerne weiterführen und über unseren diesbezüglichen Ansatz gerne mehr Informationen liefern . Ich stimme der Ansicht vollständig zu , dass wir unsere Branchen in dieser wirtschaftlichen Rezession unterstützen , an die Armut und die Entbehrungen , die auftreten können , denken und neue Handelsmöglichkeiten verfügbar machen müssen , die tatsächlich zur Belebung dieser Wirtschaftsräume und Branchen beitragen .
('float', 'idea')	('floated', 'idea')	[('have', 'haben'), ('floated', 'in'), ('floated', 'den'), ('floated', 'Raum'), ('floated', 'gestellt'), ('idea', 'Idee')]	In this question we have also floated the idea of establishing a reserve compensation fund , but this must not be seen as a demand on our part or by the Commission .	Wir haben in diesem Zusammenhang auch die Idee in den Raum gestellt , einen Reserveausgleichsfonds einzurichten , was jedoch nicht als Forderung unsererseits oder seitens der Kommission aufgefasst werden soll .
('attack', 'problem')	('attacking', 'problem')	[('attacking', 'Bekämpfung'), ('attacking', 'dieses'), ('problem', 'Problems')]	However , I still believe that the Commission must continue to exploit various ways of attacking this problem , especially through programmes that target not only developing countries , but also certain vulnerable groups and our own Member States , because here too in our European Union , which should really set the world an example as far as the protection of human rights and the rights of women are concerned , there are still problems .	Ich glaube trotzdem , dass die Kommission weiterhin verschiedene Möglichkeiten zur Bekämpfung dieses Problems nutzen muss , insbesondere durch Programme , die nicht nur auf Entwicklungsländer zielen , sondern auch auf bestimmte schutzbedürftige Gruppen und unsere eigenen Mitgliedstaaten , weil auch hier in der Europäischen Union , die wirklich ein Beispiel bezüglich des Schutzes der Menschenrechte und der Rechte von Frauen setzen sollte , noch Probleme existieren .
('tackle', 'question')	('tackle', 'question')	[('tackle', 'lösen'), ('question', 'Frage')]	But there are also questions of society which go very deep and which we have to tackle with the help of women 's organisations , with the help of the Ministers in the Member States , with the help of national laws , with the help of European laws , and there is , of course , the terrible question of violence against women .	Aber es gibt auch gesellschaftsrelevante Fragen , die sehr tief gehen und die wir mit Hilfe von Frauenorganisationen , mit der Hilfe der Minister in den Mitgliedstaaten , mit Hilfe nationaler Gesetze , mit Hilfe europäischer Gesetze lösen müssen , und dann gibt es natürlich noch die schreckliche Frage nach der Gewalt gegen Frauen .
('tackle', 'question')	('tackle', 'questions')	[('questions', 'Fragen'), ('tackle', 'stellen')]	Therefore , I would ask the Member to hand me the questions he would like to ask the European Union Agency for Fundamental Rights to tackle and I will see what can be done in a positive way .	Daher möchte ich den Abgeordneten bitten , mir die Fragen zu geben , die er gerne an die Agentur der Europäischen Union für Grundrechte stellen möchte und ich werde mich darum kümmern , dass dies auf eine positive Weise erledigt wird .
('float', 'idea')	('floated', 'idea')	[('idea', 'Element'), ('was', 'wurde'), ('floated', 'vorgeschlagen')]	The first is the creation of a European Monetary Fund , which is absolutely necessary and was an idea also floated by Mr Schäuble , the German Minister for Finance .	Das erste Element ist die Schaffung eines europäischen Währungsfonds , der unbedingt notwendig ist , und der auch von Herrn Schäuble , dem deutschen Finanzminister , vorgeschlagen wurde .
('breathe', 'life')	('breathe', 'life')	[('life', 'Leben'), ('life', 'einhauchen')]	So we are pleased to have been able to breathe a little more life into this body .	Daher sind wird zufrieden darüber , dass wir diesem Körper wieder ein wenig Leben einhauchen konnten .
('pour', 'money')	('pour', 'money')	[('money', 'überweisen'), ('money', 'Geld')]	The UK will continue to pour increasing amounts of money into Brussels , yet the one area where some of that money is recouped - albeit very little - is the area the Commission are looking to axe .	Das Vereinigte Königreich wird weiterhin wachsende Geldmengen nach Brüssel überweisen , aber der eine Bereich , in den ein Teil dieses Geldes zurückfließt - wenn auch sehr wenig - ist der Bereich , in dem die Kommission den Rotstift ansetzen möchte .
('boost', 'economy')	('boost', 'economies')	[('boost', 'Ankurbelung'), ('boost', 'der'), ('economies', 'Volkswirtschaften')]	While national governments implement drastic cuts , in some cases , with a short-term vision , the EU budget can provide stability and long-term planning to help - through funds such as the structural funds and cohesion funds - create jobs , provide job training and boost European economies through the recovery , particularly by providing structural funds to deprived areas hit the hardest .	Während die nationalen Regierungen drastische Kürzungen einführen , die in einigen Fällen kurzfristig ausgelegt sind , kann der EU-Haushalt für Stabilität und eine langfristige Planung - mithilfe von Fonds , wie dem Strukturfonds und dem Kohäsionsfonds - sorgen , um die Schaffung von Arbeitsplätzen , die Bereitstellung von Lehrstellen , die Ankurbelung der europäischen Volkswirtschaften durch den Aufschwung , insbesondere durch die Bereitstellung von Strukturfonds für benachteiligte Gebiete , die am stärksten betroffen sind , zu fördern .
('fuel', 'debate')	('fuel', 'debate')	[('debate', 'Aussprache'), ('fuel', 'führen')]	Mr President , yes , I am indeed glad that the Commissioner has understood that we are calling for the drawing up of a Green Paper without delay in order to fuel a more in-depth debate on the Commission 's proposals .	Ja , Herr Präsident , ich bin wirklich erfreut , dass der Herr Kommissar verstanden hat , dass wir die unverzügliche Erarbeitung eines Grünbuches fordern , um eine intensivere Aussprache über die Vorschläge der Kommission führen zu können .
('tackle', 'question')	('tackling', 'question')	[('question', 'Fragen'), ('tackling', 'Bewältigung')]	Concerning the question to the Commission on the implementation of the EU-Russia visa facilitation agreement that I tabled on behalf of the ALDE Group , I wanted to learn what progress has been made so far and whether we are , at the moment , in a position to expect a breakthrough in tackling technical questions such as the requirement for EU citizens to register with the authorities within three days if staying in a private home in Russia .	Hinsichtlich der Anfrage an die Kommission zur Umsetzung des Abkommens über Visaerleichterungen EU-Russland , die ich im Namen der ALDE-Fraktion eingereicht habe , möchte ich erfahren , welcher Fortschritt bisher erzielt wurde und ob wir im Moment einen Durchbruch bei der Bewältigung technischer Fragen , wie den Anforderungen an Bürgerinnen und Bürger der EU , sich innerhalb von drei Tagen bei den Behörden zu melden , wenn sie sich in einem Privatquartier in Russland aufhalten , erwarten können .
('kill', 'proposal')	('kill', 'proposal')	[('kill', 'grundsätzlich'), ('kill', 'ablehnen'), ('proposal', 'Vorschlag')]	I think we should not kill the proposal , but it is obvious that there is no consensus at this stage .	Ich denke , wir sollten den Vorschlag nicht grundsätzlich ablehnen , aber es ist offensichtlich , dass es zu diesem Zeitpunkt keine Übereinstimmung gibt .
('float', 'idea')	('floated', 'ideas')	[('ideas', 'Ideen'), ('have', 'wurden'), ('been', 'wurden'),  ('floated', 'in'), ('floated', 'Umlauf'), ('floated', 'gebracht')]	They are close to my heart too , so I can understand why other ideas have been floated to give form to these principles through other possible mechanisms .	Sie liegen auch mir am Herzen und darum kann ich verstehen , warum andere Ideen in Umlauf gebracht wurden , um diese Prinzipien durch andere mögliche Mechanismen zu verwirklichen .
('boost', 'economy')	('boosting', 'economy')	[('boosting', 'Ankurbelung'), ('economy', 'Wirtschaft')]	Mr President , the European Heritage Label is , without doubt , a very important project , for at least two reasons : firstly , it enables European citizens to feel closer to their common and diverse history and heritage ; secondly it is a good tool for promoting cultural tourism and boosting the economy .	Herr Präsident ! Das Europäische Kulturerbe-Siegel ist zweifellos ein sehr wichtiges Projekt , und zwar aus mindestens zwei Gründen : erstens ermöglicht es den Bürgerinnen und Bürgern Europas , sich ihrer gemeinsamen und vielfältigen Geschichte und ihrem kulturellen Erbe näher zu fühlen ; zweitens ist es ein gutes Instrument für die Förderung des Kulturtourismus sowie zur Ankurbelung der Wirtschaft .
('shake', 'confidence')	('shaken', 'confidence')	[('should', 'sollte'), ('be', 'sein'), ('confidence', 'Vertrauen'), ('shaken', 'erschüttert')]	I can well understand why consumer confidence should be shaken at this moment .	Ich kann gut verstehen , warum das Vertrauen der Verbraucher derzeit erschüttert sein sollte .
('breathe', 'life')	('breathe', 'life')	[('breathe', 'Leben'), ('breathe', 'einzuhauchen')]	It would be easier for us to do that if we had some serious indications that Israel is really willing to breathe new life into the peace process .	Es wäre einfacher für uns , wenn wir einige ernsthafte Hinweise dafür hätten , dass Israel wirklich dazu bereit ist , dem Friedensprozess neues Leben einzuhauchen .
('boost', 'economy')	('boost', 'economies')	[('boost', 'ankurbeln'), ('economies', 'Wirtschaften')]	Targeted EU spending is one way in which we can boost local economies and bring jobs to our communities .	Zielgerichtete EU-Ausgaben sind eine Art und Weise , auf die wir die lokalen Wirtschaften ankurbeln und Arbeitsplätze in unseren Gemeinschaften schaffen können .
('flood', 'market')	('flood', 'market')	[('flood', 'überschwemmen'), ('market', 'Markt')]	It is paramount that these directories are given prominence in the UK market and are not expunged by allowing EU companies to flood the British market under the aegis of EU trade legislation .	Es ist entscheidend , dass diesen Richtlinien auf dem Markt des Vereinigten Königreichs Bedeutung verliehen wird , und dass sie nicht dadurch aufgehoben werden , dass es EU-Unternehmen erlaubt wird , den britischen Markt unter der Ägide des EU-Handelsrechts zu überschwemmen .
('attack', 'problem')	('attack', 'problems')	[('attack', 'zur'), ('attack', 'Bewältigung'), ('problems', 'Probleme')]	It is a positive report , supported unanimously in the Committee on Budgetary Control , and I hope the Commission will acknowledge it for what it is - a sensible approach to working jointly to attack the twin problems we have to face .	Es ist ein positiver Bericht , der vom Ausschuß für Haushaltskontrolle einstimmig unterstützt wird , und ich hoffe , die Kommission erkennt ihn als das an , was er ist , nämlich ein vernünftiger Ansatz zur gemeinsamen Bewältigung der doppelten Probleme , vor die wir gestellt sind .
('flood', 'market')	('floods', 'market')	[('floods', 'überschwemmt'), ('market', 'Markt')]	But in micro-economic terms at the level of the salmon industry consider the implications of Norway , a state outside the Union which produces a massive surplus for export - and has the potential to produce much more in the immediate future - and floods our market to such an extent that the anti-dumping case when it is examined will hold .	Aber die mikroökonomischen Bedingungen auf der Ebene der Lachsindustrie berücksichtigen die Auswirkungen von seiten Norwegens , einem Staat außerhalb der Union , der erhebliche Überschüsse für den Export erzeugt - und über das Potential verfügt , in der unmittelbaren Zukunft seine Produktion noch erheblich zu steigern - und unseren Markt in einem solchen Ausmaß überschwemmt , daß eine Klage wegen DumpingPraktiken sicherlich Erfolg haben wird .
('tackle', 'question')	('tackle', 'question')	[('tackle', 'anzugehen'), ('question', 'Frage')]	I also deplore their attitude towards the Rational Planning Directive which is a piece of legislation which would allow us seriously to tackle the question of energy efficiency in the distribution sector .	Ebenso bedauerlich ist seine Haltung zur Richtlinie `` Rationale Planung '' , bei der wir es mit einem gesetzgeberischen Akt zu tun haben , der uns ernsthaft die Möglichkeit gäbe , die Frage der Energieeffizienz im Versorgungsbereich anzugehen .
('boost', 'economy')	('boost', 'economy')	[('boost', 'Belebung'), ('economy', 'Wirtschaft')]	Secondly , I want to turn to something that the Irish Prime Minister , Mr Bruton , said about the role of government in trying to create jobs and boost the economy .	Zweitens möchte ich auf eine Bemerkung des irischen Premierministers , Herrn Bruton , über die Rolle der Regierung bei der Schaffung von Arbeitsplätzen und der Belebung der Wirtschaft eingehen .
('attack', 'problem')	('attack', 'problem')	[('attack', 'gelöst'), ('attack', 'werden'),  ('problem', 'Problem')]	You can not even begin to attack the problem .	So kann das Problem noch nicht einmal im Ansatz gelöst werden .
('tackle', 'question')	('tackle', 'question')	[('tackle', 'gehen'), ('tackle', 'auf'), ('tackle', 'die'), ('question', 'Frage'), ('tackle', 'ein')]	This means measures fail totally to tackle the whole question of animal suffering .	Das heißt , die Maßnahmen gehen nicht im geringsten auf die gesamte Frage des Leidens von Tieren ein .
('cast', 'doubt')	('cast', 'doubt')	[('cast', 'schürte'), ('doubt', 'Zweifel')]	In the UK the previous Tory government cast a great deal of doubt on whether or not the euro would actually happen .	Im Vereinigten Königreich schürte die vergangene konservative Regierung erhebliche Zweifel daran , ob der Euro tatsächlich eingeführt werden würde oder nicht .
