Phrase	Anno	Maj_anno	Sentence
Sache in Angriff nehmen	Figurative,Figurative,Figurative	Figurative	Ich kann nur hoffen , dass die Kommission und der spanische Ratsvorsitz in den nächsten Monaten diese wichtige Sache gemeinsam in Angriff nehmen .
Lösung für Ungleichheit finden	Literal,Literal,Literal	Literal	Wir können doch nicht erwarten , Lösungen für die Ungleichheiten im Bereich der Gesundheit zu finden ohne die aktive Mitarbeit derer , die dank ihrer Lebenserfahrung Experten auf diesem Gebiet sind .
Abhilfe schaffen	Literal,Literal,Literal	Literal	Seit Mai vergangenen Jahres unternimmt die Kommission Schritte , um Abhilfe zu schaffen .
Frage lösen	Figurative,Literal,Literal	Literal	Globale Fragen wie Terrorismus und gesundheitliche Gefahren könnten nur durch das multilaterale internationale System mit den UN im Mittelpunkt , gelöst werden .
Kreis durchbrechen	Figurative,Figurative,Figurative	Figurative	In einem zweiten Schritt müssen sie die technische Ausstattung erwerben , die es ihnen ermöglicht , den Teufelskreis der Abhängigkeit von uns zu durchbrechen , sich selbst zu versorgen und mit eigenen Unternehmen selbständig zu sein .
Bewältigung Problem	Literal,Literal,Literal	Literal	Die Initiativen von Artikel 185 spielen eine Schlüsselrolle bei der Bewältigung einiger dieser Hauptprobleme .
Frage klären	Figurative,Literal,Literal	Literal	Als Erstes müssen wir über die Bedeutung der Digitalumstellung informieren , als Zweites müssen wir unsere Kollegen für die grundlegende wirtschaftliche Bedeutung dieser Umstellung sensibilisieren , und als Drittes müssen wir auf politischer Ebene die Frage klären , wie wir mit der Frequenzbereichszuweisung und der digitalen Dividende verfahren wollen .
Ausweg aufzeigen	Literal,Figurative,Literal	Literal	Ob seine Arbeit von Erfolg gekrönt ist , hängt zwar vom jeweiligen individuellen Standpunkt ab , doch möchte ich ihm meine Anerkennung für die lange , schwere und engagierte Arbeit aussprechen , die er geleistet hat , um einen Kompromiß zu finden und einen Ausweg aufzuzeigen .
Thema in Angriff nehmen	Figurative,Figurative,Figurative	Figurative	Ich möchte den amtierenden Präsidenten auffordern , den steinigen Weg zu begehen , der unserer Meinung nach die Eröffnungskonferenz begleitet , nämlich , den Diskussionsprozeß über das komplexe Thema zu beginnen , das in Amsterdam nicht abgeschlossen wurde und zu dem der Luxemburger Gipfel zumindest äußerte , es müsse in Angriff genommen werden .
nach Möglichkeit suchen	Literal,Literal,Literal	Literal	In Zusammenarbeit mit unseren Freunden und Kollegen im Haushaltskontrollausschuss mussten wir nach rechtlich unanfechtbaren Möglichkeiten zur Ausdehnung dieser Bestimmungen bis 2007 suchen .
Vorgang verfolgen	Figurative,Literal,Literal	Literal	Ich plane derzeit keinen Besuch vor Ort , aber wir verfolgen die Vorgänge im Lande sehr aufmerksam .
Situation in den Griff bekommen	Figurative,Figurative,Figurative	Figurative	Zweitens vertritt der Bericht des Parlaments auf überzeugende Weise die Notwendigkeit , einen ganzheitlichen Ansatz zu verfolgen , um die sozioökonomische Situation der Roma in den Griff zu bekommen .
Maßnahmen Problem	Literal,Literal,Literal	Literal	Durch einen offenen Umgang mit diesen Problemen und den diesbezüglich eingeleiteten Maßnahmen werden wir die Zweifler besser überzeugen können .
Gedanke äußern	Figurative,Literal,Literal	Literal	Den bereits mehrfach geäußerten Gedanken , dass die Kommission Fischereifahrzeuge zur Verfügung stellen könnte , das heißt , dass die Fischer in den betroffenen Ländern Schiffe aus der Flotte der Europäischen Union bekommen , habe ich mit Interesse zur Kenntnis genommen .
Leben einhauchen	Figurative,Figurative,Figurative	Figurative	Wir müssen der Runde neues Leben einhauchen .
Idee lancieren	Figurative,Figurative,Literal	Figurative	Die Kommission hat diese Idee eines hochrangigen Handels - und Umwelttreffens im Herbst in Genf lanciert , auf dem Spitzenpolitiker zusammenkommen sollen , um darüber zu diskutieren , wie die Arbeit des CTE verstärkt werden kann .
Bewährungsprobe meistern	Literal,Figurative,Literal	Literal	Ich bin mir sicher , dass die neue Strategie für die Nördliche Dimension , an der sich künftig die Europäische Union , Russland , Norwegen und Island beteiligen , große Vorteile für die Ostseeregion bringen wird , denn keine der Bewährungsproben , vor denen diese Region steht , kann ohne eine grundlegende Beteiligung Russlands gemeistert werden , genauso wie keine der Herausforderungen , mit denen die Barentsseeregion konfrontiert ist , ohne Russland und Norwegen angegangen werden kann .
Strategie entwickeln	Figurative,Literal,Literal	Literal	Wir brauchen also meiner Auffassung nach eine langfristige europäische Strategie , damit wir wissen , was wir wollen , bevor wir eine transatlantische Strategie entwickeln und uns inhaltlich den USA annähern können .
Konzept begreifen	Figurative,Literal,Literal	Literal	Solche nationalen Behörden , die das Konzept des Binnenmarktes noch immer nicht begreifen können , sollten an der Punkteliste von Kommissar Montis Binnenmarkt gemessen werden .
Beendigung Debatte	Literal,Literal,Literal	Literal	Frau Präsidentin , ich möchte lediglich darauf hinweisen , daß wir am Mittwoch auf Initiative der Präsidentschaft für eine Unterbrechung , nicht jedoch für eine Beendigung der Dringlichkeitsdebatte über Zaire gestimmt haben .
Punkt in Angriff nehmen	Figurative,Figurative,Figurative	Figurative	Die Schwerpunkte , die es im Rahmen der Überprüfung in Angriff zu nehmen gilt , betreffen folglich die Harmonisierung und Ausweitung des Anwendungsbereichs der Richtlinie , die weitere Harmonisierung und eine bessere Berechenbarkeit des Prozesses der Festsetzung von Obergrenzen und Zuteilungen -- einschließlich der Berücksichtigung der Wettbewerbsfähigkeit , einer konsequenteren Einhaltung und Durchsetzung der Vorschriften und der Anbindung an Handelssysteme in Drittstaaten sowie der verstärkten Einbeziehung von Entwicklungsländern .
Zyklus durchbrechen	Figurative,Figurative,Figurative	Figurative	Sodann müssen wir ihnen die richtige Technologie übergeben Dritte-Welt-Technologie , mit der sie dann lokale Unternehmen gründen können , um diesen Zyklus der Abhängigkeit von uns zu durchbrechen .
Bruch Vertrag	Figurative,Figurative,Figurative	Figurative	Diese Unterstützung jetzt zu beschränken bedeutet einen Bruch des Vertrags .
nach Lösung suchen	Literal,Literal,Literal	Literal	Dies ist unserer Ansicht nach auf fortgesetzte Ausweichmanöver der US-Regierung zurückzuführen , die uns in der Vergangenheit keinerlei Garantien für ihre Bereitschaft zur ernsthaften Verhandlungen im Rahmen der ICAO geben konnte , um nach einer Lösung für unsere Schwierigkeiten zu suchen .
Form finden	Figurative,Literal,Literal	Literal	Natürlich ist es den einzelnen Fraktionen bzw . Gruppen überlassen , andere Formen der Zusammenarbeit zu finden , so wie das bereits jetzt der Fall ist , und ich nehme an , dass sich dieser Prozess fortsetzen und in Zukunft verstärken wird .
Thema ansprechen	Literal,Literal,Figurative	Literal	Der Gipfel bot der EU zudem Gelegenheit , politisch heikle Themen wie gutes Regierungsverhalten und die Menschenrechte bei den afrikanischen Staatsführern anzusprechen .
Vorgehensweise entscheiden	Literal,Literal,Literal	Literal	Die Europäische Union muss nun über ihre eigene Vorgehensweise entscheiden .
Situation abhelfen	Literal,Literal,Figurative	Literal	Deshalb sollte die Kommission besondere Aufmerksamkeit darauf verwenden , wie dieser für Frauen in Europa nicht hinnehmbaren Situation abgeholfen werden kann .
Punkte aufgreifen	Figurative,Figurative,Figurative	Figurative	Weitere vom Parlament angesprochene Punkte , wie Aufgabenbeschreibungen , Personalumsetzungen , neue Delegationen , Überwachung und Bewertung werden wir in der Mitteilung über die Entwicklung des Außendienstes aufgreifen , die wir Ihnen demnächst vorlegen werden .
sich Problem annehmen	Figurative,Figurative,Figurative	Figurative	Stattdessen müssen wir uns dieser Probleme auf einzelstaatlicher Ebene annehmen und strengere Maßnahmen zur Abschreckung von Menschenhändlern und Scheinasylanten ergreifen .
Aussprache führen	Literal,Literal,Figurative	Literal	Ja , Herr Präsident , ich bin wirklich erfreut , dass der Herr Kommissar verstanden hat , dass wir die unverzügliche Erarbeitung eines Grünbuches fordern , um eine intensivere Aussprache über die Vorschläge der Kommission führen zu können .
Fall beiseitelegen	Figurative,Figurative,Figurative	Figurative	Die Täter dieser Verbrechen wurden nie ergriffen , und viele Fälle sind einfach beiseite gelegt worden .
Vereinbarung brechen	Figurative,Figurative,Figurative	Figurative	Wenn wir jetzt aber die Interinstitutionelle Vereinbarung brechen , landen wir wieder beim Vertrag , der dem Parlament viel mehr Macht und Autorität einräumt .
Bewältigung Krise	Literal,Literal,Literal	Literal	Der Präsident der Europäischen Kommission hat dramatisch verkündet , dass die Demokratie in Griechenland , Spanien und Portugal der Vergangenheit angehören könnte , wenn nicht umgehend Maßnahmen zur Bewältigung der Schuldenkrise ergriffen werden .
Möglichkeit finden	Literal,Literal,Literal	Literal	Wir müssen eine Möglichkeit finden , solche Länder zur Einhaltung der Vorschriften zu zwingen , damit wir das Vertrauen unserer Bürger wiedererlangen .
Frage Berücksichtigung finden	Literal,Literal,Literal	Literal	Die abschreckend hohen Kosten des Anschlusses abgelegener Alternativstromerzeuger an das Netz und die Abschaffung von Durchleitungsgebühren sind weitere Fragen , die in der Richtlinie Berücksichtigung finden sollten .
Themenbereich abdecken	Figurative,Figurative,Figurative	Figurative	Was den politischen Dialog betrifft , so soll mit diesen Abkommen ein großer Themenbereich abgedeckt werden , beispielsweise der Klimawandel , Energie , Migration und der Kampf gegen Drogen .
auf Herausforderung reagieren	Literal,Literal,Literal	Literal	Bei der Lektüre des Dokuments drängt sich der Eindruck einer gewissen Selbstgefälligkeit auf , Frau Kommissarin , und es scheint das nötige Bewusstsein für die Dringlichkeit zu fehlen , auf die allgemeinen wirtschaftlichen und politischen Herausforderungen zu reagieren , mit denen die Europäische Union konfrontiert ist .
sich Herausforderung stellen	Figurative,Figurative,Literal	Figurative	Die Europäische Kommission , die sich dieser Herausforderungen bewusst ist , arbeitet mit einer Entwicklungspolitik , die Armut bekämpft , nachhaltige Entwicklung fördert und sich politischen Herausforderungen stellt , um Stabilität zu fördern .
Punkt angehen	Figurative,Figurative,Literal	Figurative	Wir werden diesen Punkt angehen , wenn immer noch Bedenken überwunden werden müssen .
Vertrauen erschüttern	Figurative,Literal,Figurative	Figurative	Die tragischen Ereignisse in New York , Washington und Pennsylvania am 11 . September haben zweifellos das Vertrauen in die Wirtschaft weiter erschüttert .
Abschluss Beratung	Literal,Literal,Literal	Literal	Nach Abschluss der Beratungen mit den griechischen Behörden werde ich in der Lage sein , Ihnen schriftlich mitzuteilen , welche Programme in welchem Umfang betroffen sein werden .
Auseinandersetzung mit Frage	Literal,Literal,Literal	Literal	Natürlich könnte man diese sehr großzügige Interpretation des Vertrages letztlich vertreten , um der EU die Auseinandersetzung mit dieser Frage zu ermöglichen .
Entwicklung ein Ende sezten	Figurative,Literal,Literal	Literal	Beabsichtigt sie , bei der albanischen Regierung zu intervenieren , um diesen Entwicklungen ein Ende zu setzen ?
Weg herausfinden	Figurative,Figurative,Literal	Figurative	Die Wirtschaft von Bosnien-Herzegowina ist in einer ernsten Lage , und es ist klar , dass ein Weg aus dieser Krise herausgefunden werden muss .
Beendigung Fall	Literal,Literal,Literal	Literal	Die Kommission ist tätig geworden , indem sie den Beschluss zur Einleitung eines Vertragsverletzungsverfahrens fasste . Und sie wurde noch einmal aktiv , als sie sich zur Beendigung des Falls entschloss , nachdem sie von den britischen Behörden eine zufrieden stellende Antwort erhalten hatte .
Bekämpfung Problem	Figurative,Literal,Figurative	Figurative	Im Juni billigten 150 Länder eine globale UN-Strategie zur Bekämpfung des weltweiten Drogenproblems .
Problem in den Griff bekommen	Figurative,Figurative,Figurative	Figurative	Wenn man diese Probleme in den Griff bekommt , kann die Aquakultur , wie gesagt , eine gute Quelle guter Lebensmittel für unsere Bevölkerung sein und auch Arbeitsplätze schaffen .
Fortschritte erzielen	Literal,Literal,Literal	Literal	Ich kann auch sagen , dass unter dem Ratsvorsitz von Frankreich und Tschechien entscheidende Fortschritte erzielt wurden , was das Aufheben der Bedenken in der irischen Bevölkerung angeht .
Frage ansprechen	Literal,Literal,Figurative	Literal	Wir müssen auch rechtzeitig die Frage des Handels mit landwirtschaftlichen Erzeugnissen ansprechen .
Aussprache abschließen	Figurative,Literal,Literal	Literal	Danke , Frau Green , aber ich habe heute keine Möglichkeit , diese Aussprache abzuschließen , solange es Wortmeldungen gibt .
sich für Aufgabe rüsten	Figurative,Figurative,Figurative	Figurative	Vom Wesen der Vereinbarung für die nächste Finanzierungsrunde wird in entscheidendem Maße abhängen , wie die Union sich für die bevorstehenden Aufgaben , einschließlich derjenigen , die für das Leben und wirtschaftliche Wohlergehen unserer Bürger ausschlaggebend sind , rüstet .
gegen Problem vorgehen	Figurative,Literal,Literal	Literal	Gibt es Pläne seitens der Kommission , es den Mitgliedstaaten zu ermöglichen oder sie sogar zu zwingen , ihre Kontrollen an den Außengrenzen der EU zu verstärken , um gegen das Problem des Zollbetrugs vorzugehen ?
Problem beikommen	Literal,Literal,Literal	Literal	Ich denke , dass den Hauptproblemen der Inseln zum Beispiel mit horizontalen Instrumenten wirksamer beizukommen ist .
Suche nach Weg	Figurative,Figurative,Literal	Figurative	Ich weiß , das Europäische Parlament setzt wie auch die Europäische Kommission alles daran , die Arbeit des deutschen Ratsvorsitzes bei der Suche nach dem richtigen Weg nach vorn nachhaltig zu unterstützen .
Poblem bei der Wurzel packen	Figurative,Figurative,Figurative	Figurative	Die Berichterstatterin ist sich dessen deutlich bewußt , und sie weiß , daß man nicht einfach diejenigen bestrafen kann , die von den Versäumnissen der Gesellschaft am meisten betroffen sind , nur weil die Sozialkosten ansteigen . Man muß das Problem bei der Wurzel packen und dafür sorgen , daß die Menschen wieder Arbeit haben .
Projekt beenden	Literal,Literal,Literal	Literal	Was ich über den Repräsentanten in Nicaragua gehört habe , weist darauf hin , daß das Projekt nicht ordnungsgemäß beendet wurde .
Thema auf Tagesordnung setzen	Literal,Literal,Literal	Literal	Herr Präsident , einmal mehr möchte ich dieses Parlament und die Kommission dazu beglückwünschen , dass sie das Thema Tibet auf die Tagesordnung gesetzt haben .
Ausweg finden	Figurative,Figurative,Literal	Figurative	Wir erklären unmissverständlich , dass der Palästinensischen Autonomiebehörde oder ihrem Präsidenten unter keinen Umständen Schaden zugefügt werden darf und dass sie nicht zum Ziel von Angriffen werden dürfen , wenn ein Ausweg aus der Krise gefunden werden soll .
Abbau Anlage	Literal,Literal,Literal	Literal	Hauptziel des `` Shelter Improvement Plan '' muß die völlige Stillegung und der vollständige Abbau der Anlage sein , und zwar so bald wie möglich .
Weg einschlagen	Figurative,Figurative,Figurative	Figurative	Wir begrüßten gestern abend zwar , daß die amerikanische Seite eine Verschiebung um 6 Monate angekündigt hat , dennoch sind wir grundsätzlich gegen dieses Gesetz , und wir möchten betonen , daß unseres Erachtens die Amerikaner nicht den richtigen Weg einschlagen , wenn sie ihre Verbündeten unter Druck setzen .
Bericht an die Öffentlichkeit langen	Figurative,Literal,Literal	Literal	Ich möchte an dieser Stelle auch die unwahre Behauptung des pakistanischen Botschafters in Washington zurückweisen , dass es in der Wahlbeobachtungsmission der EU eine undichte Stelle gegeben habe , durch die ein Zwischenbericht an die Öffentlichkeit gelangt sei .
Kampf führen	Figurative,Figurative,Figurative	Figurative	Herr Kommissar , die Europäische Union steht vor mehreren bedeutenden Herausforderungen , die es schnellsten aufzunehmen gilt , wenn sie einen wirksamen , kohärenten und langfristigen politischen Kampf gegen den Terrorismus und - wie ich hervorheben möchte - zur Zerschlagung der terroristischen Netzwerke führen will .
sich Idee kommen	Figurative,Figurative,Figurative	Figurative	Mir kam nur so eine Idee .
Wachstum ankurbeln	Figurative,Figurative,Figurative	Figurative	In Irland liefern Kürzungen der Sozialausgaben Geld , um das Wirtschaftswachstum anzukurbeln .
Sache klären	Figurative,Literal,Literal	Literal	Die Verifizierung nun ist eine weitere Sache , die mit den Mitgliedstaaten geklärt werden muß , denn auch sie tragen Schuld .
Ergebnis beigetragen	Literal,Literal,Literal	Literal	Dabei ist jedoch zu berücksichtigen , dass sich die Faktoren , die zu diesem Ergebnis beigetragen haben , der Kontrolle durch die EZB entzogen .
Wirtschaft ankurbeln	Figurative,Figurative,Figurative	Figurative	Das Vereinigte Königreich hat den Beweis dafür geliefert , wie freie Arbeitsmärkte , verbunden mit einem angemessenen Sozialschutz , eine florierende Wirtschaft ankurbeln können .
Aussprache schließen	Figurative,Literal,Literal	Literal	Die Aussprache über diesen Tagesordnungspunkt ist geschlossen .
Idee aufwerfen	Figurative,Literal,Figurative	Figurative	or kurzem wurde die Idee aufgeworfen , im Rahmen der Arabischen Liga einen Libanon-Gipfel zu veranstalten .
Lösung Problem finden	Literal,Literal,Literal	Literal	Wir sind verpflichtet , für dieses Problem in den EU-Gewässern eine Lösung zu finden , doch handelt es sich hier letztlich um ein Problem , bei dem ein Vorgehen auf internationaler Ebene erforderlich ist .
Fall schließen	Figurative,Literal,Literal	Literal	Im Anschluss daran wird entschieden , ob der Fall geschlossen oder ein offizielles Vertragsverletzungsverfahren nach Artikel 226 eingeleitet wird .
Herausforderung meistern	Literal,Figurative,Literal	Literal	Ich bin mir sicher , dass die neue Strategie für die Nördliche Dimension , an der sich künftig die Europäische Union , Russland , Norwegen und Island beteiligen , große Vorteile für die Ostseeregion bringen wird , denn keine der Bewährungsproben , vor denen diese Region steht , kann ohne eine grundlegende Beteiligung Russlands gemeistert werden , genauso wie keine der Herausforderungen , mit denen die Barentsseeregion konfrontiert ist , ohne Russland und Norwegen angegangen werden kann .
Element vorschlagen	Figurative,Figurative,Literal	Figurative	Das erste Element ist die Schaffung eines europäischen Währungsfonds , der unbedingt notwendig ist , und der auch von Herrn Schäuble , dem deutschen Finanzminister , vorgeschlagen wurde .
Behandlung Thema	Figurative,Literal,Literal	Literal	Es geht dabei auch um unsere Kreativität , unseren Zusammenhalt , darum , dass wir die Interessen unserer Partner ernst nehmen und ehrgeizig sind , was die Öffnung unserer Handelsmärkte und die Behandlung des Mobilitätsthemas anbelangt .
Frage erörtern	Literal,Literal,Literal	Literal	Die Vorbereitungen für ein Ministertreffen haben bereits begonnen , bei dem alle Fragen von der illegalen Einwanderung bis hin zum Menschenhandel und Menschenschmuggel erörtert werden sollen .
Strategie erarbeiten	Figurative,Literal,Literal	Literal	Es ist durchaus möglich , die Integrität der Gemeinsamen Außen - und Sicherheitspolitik zu wahren und die Beziehungen zum Rat und zu den Mitgliedstaaten aufrechtzuerhalten und gleichzeitig die Kompetenzen zu nutzen , für die die Kommission zuständig ist und die uns in ihrer Gesamtheit in die Lage versetzen sollten , eine Strategie für die Außenbeziehungen zu erarbeiten , die den Anforderungen des 21 . Jahrhunderts entspricht .
Lektion aufnehmen	Figurative,Literal,Literal	Literal	Ich hoffe , dass dies eine Lektion ist , die er in seine zukünftige Arbeit in diesem Parlament aufnehmen wird .
nach Weg suchen	Figurative,Figurative,Literal	Figurative	Ich weiß , dass es durchaus nicht einfach ist , eine Lösung für dieses Problem zu finden , aber wir müssen nach einem Weg suchen , der den Mitgliedstaaten die Möglichkeit gibt , nach umfassender Information mit einer klaren Begründung abschließend zu entscheiden , ob sie einem Transport von radioaktivem Material -- oder jedem anderen gefährlichen Stoff -- durch ihr Territorium zustimmen oder nicht .
Problematik behandeln	Figurative,Literal,Figurative	Figurative	Die Kommission arbeitet zurzeit an einem Verordnungsentwurf zu amtlichen Futter - und Nahrungsmittelkontrollen , in dem auch die Sanktionsproblematik behandelt wird .
Problem anpacken	Figurative,Figurative,Figurative	Figurative	Zwar können wir sagen , was die Hersteller produzieren sollen , aber so darf die Kommission das Problem eben nicht anpacken .
auf Frage eingehen	Literal,Literal,Literal	Literal	Das heißt , die Maßnahmen gehen nicht im geringsten auf die gesamte Frage des Leidens von Tieren ein .
Krise bewältigen	Figurative,Literal,Literal	Literal	Die erneuerbaren Energiequellen , über die diese Länder verfügen , sind wesentlich für ihre wirtschaftliche und soziale Entwicklung und ermöglichen es ihnen , eine Energieunabhängigkeit zu erreichen und so die globale Krise zu bewältigen .
Vorgehensweise finden	Literal,Literal,Literal	Literal	Dazu möchte ich sagen , dass der CESR eine neue Einrichtung ist , die Zeit braucht , um sich zu entwickeln und geeignete Vorgehensweisen zu finden .
Geld stecken	Figurative,Figurative,Figurative	Figurative	Keine Nation sollte das Geld ihrer Steuerzahler in ein korruptes System stecken .
Entwicklung ermöglichen	Literal,Literal,Literal	Literal	Herr Präsident , im Namen der PSE-Fraktion begrüße ich diesen Vorschlag und viele der Änderungsanträge , die von den Kolleginnen und Kollegen sowie vom Berichterstatter vorgelegt wurden , der sich bereits umfangreich darum bemüht hat , in diesem Bereich eine vernünftige Fortentwicklung zu ermöglichen .
Frage behandeln	Figurative,Literal,Figurative	Figurative	Lassen Sie mich zu Protokoll geben , daß es wichtig ist , daß wir Fragen , die für die Menschen in Europa wirklich von Bedeutung sind und nicht nur globale Themen , nicht nur die grande politique , sondern wirkliche Fragen , die das wirkliche Leben der Menschen beeinflussen , behandeln .
Problem beheben	Literal,Literal,Figurative	Literal	Strengere grenzübergreifende Vorschriften , Kontrollmechanismen und einheitliche Mindeststandards für Vermittlerverträge würden dazu beitragen , dieses Problem zu beheben . Sie sind notwendig , um die Integrität des Fußballs zu gewährleisten .
in der Lage sein	Literal,Literal,Literal	Literal	Unsere gemeinsame Zukunft hängt davon ab , ob wir wirklich in der Lage sein werden , Integration und Nachhaltigkeit zu gewährleisten .
Fall abschließen	Figurative,Literal,Literal	Literal	Wir sind diesen Fällen intensiv nachgegangen , so dass vier der neun im Bericht erwähnten Fälle bereits erfolgreich abgeschlossen werden konnten .
Herausforderung vorstehen	Figurative,Figurative,Literal	Figurative	In unserem Zeitalter stehen wir in Irland und überall in der Europäischen Union vor großen gesundheitlichen Herausforderungen : Herz-Kreislauf-Erkrankungen , neuropsychiatrische Störungen , Krebs , Erkrankungen des Verdauungsapparats , Erkrankungen der Atemwege , Störungen der Sinnesorgane , Übergewicht und Diabetes , um nur einige zu nennen .
Problem bekämpfen	Figurative,Figurative,Figurative	Figurative	Ich bin nach wie vor sehr besorgt darüber , dass die Vereinigten Staaten das Problem der Klimaänderung weiterhin mit einseitigen Aktionen bekämpfen wollen .
Methode finden	Literal,Literal,Literal	Literal	In den Jahren , in denen ich während meiner akademischen Tätigkeit mit dieser Frage zu tun hatte , war allgemein bekannt , dass es innerhalb der Rechtssoziologie außerordentlich schwierig ist , zuverlässige Methoden zur Bewertung der Auswirkungen bestehender Rechtsvorschriften zu finden .
Thema betrachten	Literal,Literal,Literal	Literal	Ich habe für den Entschließungsantrag zum sicheren Recycling von Schiffen gestimmt , weil ich der Meinung bin , dass dieses Thema als integraler Teil des Nutzungszyklus von Schiffen betrachtet werden sollte .
Lösung Problem herbeiführen	Figurative,Literal,Literal	Literal	Ich vertrete nachdrücklich den Standpunkt , dass die EMA nicht nur , wenn es um Informationen über Arzneimittel geht , ein Schutzschild für die Verbraucher sein , sondern auch die Möglichkeit haben sollte , dann tätig zu werden , wenn Verbraucher offensichtlich zu hohe Preise für Arzneimittel zahlen müssen und ihre nationalen Regierungen nicht in der Lage sind , eine Lösung des Problems herbeizuführen .
